biostudies_accession,xref_type,xref_accession
E-GEOD-11293,GEO,GSE11293
E-GEOD-11293,GXA,E-GEOD-11293
E-GEOD-15043,GEO,GSE15043
E-GEOD-15043,GXA,E-GEOD-15043
E-GEOD-16179,GEO,GSE16179
E-GEOD-16179,GXA,E-GEOD-16179
E-GEOD-16446,GEO,GSE16446
E-GEOD-16446,GXA,E-GEOD-16446
E-GEOD-16716,GEO,GSE16716
E-GEOD-16716,GEO,GSE20194
E-GEOD-16716,GXA,E-GEOD-16716
E-GEOD-17630,GEO,GSE17630
E-GEOD-17630,GXA,E-GEOD-17630
E-GEOD-20194,GEO,GSE20194
E-GEOD-20194,GXA,E-GEOD-20194
E-GEOD-38008,GEO,GSE38008
E-GEOD-38008,GXA,E-GEOD-38008
E-GEOD-38415,GEO,GSE38415
E-GEOD-38415,GXA,E-GEOD-38415
E-GEOD-41118,GEO,GSE41118
E-GEOD-41118,GXA,E-GEOD-41118
E-GEOD-41656,GEO,GSE41656
E-GEOD-41656,GXA,E-GEOD-41656
E-GEOD-44272,GEO,GSE44272
E-GEOD-44272,GXA,E-GEOD-44272
E-GEOD-52660,GEO,GSE52660
E-GEOD-52660,GXA,E-GEOD-52660
E-GEOD-52707,GEO,GSE52707
E-GEOD-52707,GXA,E-GEOD-52707
E-GEOD-55005,GEO,GSE55005
E-GEOD-55005,ENA_STUDY,SRP037775
E-GEOD-55005,GXA,E-GEOD-55005
E-GEOD-67019,GEO,GSE67019
E-GEOD-67019,GXA,E-GEOD-67019
E-GEOD-67193,GEO,GSE67193
E-GEOD-67193,GXA,E-GEOD-67193
E-GEOD-69017,GEO,GSE69017
E-GEOD-69017,GXA,E-GEOD-69017
E-GEOD-69042,GEO,GSE69042
E-GEOD-69042,GXA,E-GEOD-69042
E-GEOD-70233,GEO,GSE70233
E-GEOD-70233,GXA,E-GEOD-70233
E-GEOD-75367,GEO,GSE75367
E-GEOD-75367,ENA_STUDY,SRP066632
E-GEOD-75367,GXA,E-GEOD-75367
E-MTAB-12224,ENA_STUDY,ERP141485
E-MTAB-12224,GXA,E-MTAB-12224
E-MTAB-12225,GXA,E-MTAB-12224
E-MTAB-12225,GXA,E-MTAB-12225
E-MTAB-7433,ENA_STUDY,ERP112312
E-MTAB-7433,GXA,E-MTAB-7433
E-MTAB-965,GXA,E-MTAB-965
