dataset_id,source,source_accession,sample_rows,resistant_n,sensitive_or_parental_n,unresolved_n,enrichment_status
SRA:SRR33650052,SRA,SRR33650052,1,0,0,1,ENRICHED
SRA:SRR33650053,SRA,SRR33650053,1,0,0,1,ENRICHED
SRA:SRR33650054,SRA,SRR33650054,1,0,0,1,ENRICHED
SRA:SRR33650055,SRA,SRR33650055,1,0,0,1,ENRICHED
SRA:SRR33650056,SRA,SRR33650056,1,0,0,1,ENRICHED
SRA:SRR33650057,SRA,SRR33650057,1,0,0,1,ENRICHED
SRA:SRR33650058,SRA,SRR33650058,1,0,0,1,ENRICHED
SRA:SRR33650059,SRA,SRR33650059,1,0,0,1,ENRICHED
SRA:SRR33650060,SRA,SRR33650060,1,0,0,1,ENRICHED
SRA:SRR33650061,SRA,SRR33650061,1,0,0,1,ENRICHED
SRA:SRR33650062,SRA,SRR33650062,1,0,0,1,ENRICHED
SRA:SRR33650063,SRA,SRR33650063,1,0,0,1,ENRICHED
SRA:SRR33650064,SRA,SRR33650064,1,0,0,1,ENRICHED
SRA:SRR33650065,SRA,SRR33650065,1,0,0,1,ENRICHED
SRA:SRR33650066,SRA,SRR33650066,1,0,0,1,ENRICHED
SRA:SRR33650067,SRA,SRR33650067,1,0,0,1,ENRICHED
SRA:SRR33650068,SRA,SRR33650068,1,0,0,1,ENRICHED
SRA:SRR33650069,SRA,SRR33650069,1,0,0,1,ENRICHED
SRA:SRR33650070,SRA,SRR33650070,1,0,0,1,ENRICHED
SRA:SRR33650071,SRA,SRR33650071,1,0,0,1,ENRICHED
SRA:SRR33662215,SRA,SRR33662215,1,0,0,1,ENRICHED
SRA:SRR33662216,SRA,SRR33662216,1,0,0,1,ENRICHED
SRA:SRR33662217,SRA,SRR33662217,1,0,0,1,ENRICHED
GEO:GSE107473,GEO,GSE107473,3,0,0,3,ENRICHED
GEO:GSE119397,GEO,GSE119397,13,0,0,13,ENRICHED
GEO:GSE132055,GEO,GSE132055,15,0,0,15,ENRICHED
GEO:GSE15043,GEO,GSE15043,10,8,2,0,ENRICHED
GEO:GSE161743,GEO,GSE161743,34,0,0,34,ENRICHED
GEO:GSE17630,GEO,GSE17630,2,0,1,1,ENRICHED
GEO:GSE188513,GEO,GSE188513,2,0,0,2,ENRICHED
