dataset_id,file_id,file_name,file_type,local_path,remote_url,size_bytes,md5,sha256,download_status,source_release
SRA:SRR26401907,SRR26401907,SRR26401907.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR26401907,SRA_TOOLKIT:SRR26401907,868220928,,,PLANNED,
SRA:SRR26401908,SRR26401908,SRR26401908.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR26401908,SRA_TOOLKIT:SRR26401908,896532480,,,PLANNED,
SRA:SRR26401909,SRR26401909,SRR26401909.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR26401909,SRA_TOOLKIT:SRR26401909,1038090240,,,PLANNED,
SRA:SRR26401910,SRR26401910,SRR26401910.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR26401910,SRA_TOOLKIT:SRR26401910,954204160,,,PLANNED,
SRA:SRR33650052,SRR33650052,SRR33650052.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650052,SRA_TOOLKIT:SRR33650052,1722810368,,,PLANNED,
SRA:SRR33650053,SRR33650053,SRR33650053.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650053,SRA_TOOLKIT:SRR33650053,1727004672,,,PLANNED,
SRA:SRR33650054,SRR33650054,SRR33650054.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650054,SRA_TOOLKIT:SRR33650054,2776629248,,,PLANNED,
SRA:SRR33650055,SRR33650055,SRR33650055.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650055,SRA_TOOLKIT:SRR33650055,2522873856,,,PLANNED,
SRA:SRR33650056,SRR33650056,SRR33650056.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650056,SRA_TOOLKIT:SRR33650056,1224736768,,,PLANNED,
SRA:SRR33650057,SRR33650057,SRR33650057.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650057,SRA_TOOLKIT:SRR33650057,1256194048,,,PLANNED,
SRA:SRR33650058,SRR33650058,SRR33650058.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33650058,SRA_TOOLKIT:SRR33650058,898629632,,,PLANNED,
SRA:SRR33662215,SRR33662215,SRR33662215.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33662215,SRA_TOOLKIT:SRR33662215,2081423360,,,PLANNED,
SRA:SRR33662216,SRR33662216,SRR33662216.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33662216,SRA_TOOLKIT:SRR33662216,2074083328,,,PLANNED,
SRA:SRR33662217,SRR33662217,SRR33662217.sra,SRA_RUN,/home/regulus/Documents/ATLAS/data/raw/sra/SRR33662217,SRA_TOOLKIT:SRR33662217,2086666240,,,PLANNED,
