dataset_id,source_accession,status,relationship_role,mirrors,sdrf_file,sdrf_rows,unique_samples,error
BIOSTUDIES:E-GEOD-38415,E-GEOD-38415,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE38415,,0,0,
BIOSTUDIES:E-GEOD-52660,E-GEOD-52660,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE52660,,0,0,
BIOSTUDIES:E-GEOD-41118,E-GEOD-41118,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE41118,,0,0,
BIOSTUDIES:E-GEOD-15043,E-GEOD-15043,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE15043,,0,0,
BIOSTUDIES:E-GEOD-17630,E-GEOD-17630,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE17630,,0,0,
BIOSTUDIES:E-GEOD-55005,E-GEOD-55005,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE55005,,0,0,
BIOSTUDIES:E-GEOD-67019,E-GEOD-67019,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE67019,,0,0,
BIOSTUDIES:E-GEOD-69042,E-GEOD-69042,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE69042,,0,0,
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,ENRICHED_SDRF,INDEPENDENCE_NOT_YET_ESTABLISHED,,E-MTAB-7433.sdrf.txt,12,6,
BIOSTUDIES:E-MTAB-965,E-MTAB-965,ENRICHED_SDRF,INDEPENDENCE_NOT_YET_ESTABLISHED,,E-MTAB-965.sdrf.txt,24,24,
BIOSTUDIES:E-GEOD-16716,E-GEOD-16716,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE16716|GSE20194,,0,0,
BIOSTUDIES:E-GEOD-20194,E-GEOD-20194,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE20194,,0,0,
BIOSTUDIES:E-GEOD-44272,E-GEOD-44272,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE44272,,0,0,
BIOSTUDIES:E-GEOD-70233,E-GEOD-70233,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE70233,,0,0,
BIOSTUDIES:E-GEOD-75367,E-GEOD-75367,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE75367,,0,0,
BIOSTUDIES:E-GEOD-11293,E-GEOD-11293,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE11293,,0,0,
BIOSTUDIES:E-GEOD-16446,E-GEOD-16446,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE16446,,0,0,
BIOSTUDIES:E-MTAB-12224,E-MTAB-12224,ENRICHED_SDRF,INDEPENDENCE_NOT_YET_ESTABLISHED,,E-MTAB-12224.sdrf.txt,24,12,
BIOSTUDIES:E-GEOD-69017,E-GEOD-69017,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE69017,,0,0,
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,ENRICHED_SDRF,INDEPENDENCE_NOT_YET_ESTABLISHED,,E-MTAB-12225.sdrf.txt,24,12,
BIOSTUDIES:E-GEOD-16179,E-GEOD-16179,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE16179,,0,0,
BIOSTUDIES:E-GEOD-38008,E-GEOD-38008,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE38008,,0,0,
BIOSTUDIES:E-GEOD-52707,E-GEOD-52707,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE52707,,0,0,
BIOSTUDIES:E-GEOD-41656,E-GEOD-41656,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE41656,,0,0,
BIOSTUDIES:E-GEOD-67193,E-GEOD-67193,GEO_MIRROR,CROSS_DATABASE_MIRROR_OF_GEO,GSE67193,,0,0,
