dataset_id,source_accession,file_path,file_kind
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,E-MTAB-7433.idf.txt,IDF
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,E-MTAB-7433.sdrf.txt,SDRF
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,Exp. Design,OTHER
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,No. of Samples,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,E-MTAB-965.idf.txt,IDF
BIOSTUDIES:E-MTAB-965,E-MTAB-965,E-MTAB-965.sdrf.txt,SDRF
BIOSTUDIES:E-MTAB-965,E-MTAB-965,No. of Samples,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2227_BTC24_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2228_BTHCT24_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2229_BTC48_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2230_BTHCT48_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2231_65C24_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2232_65HCT24_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2233_65C48_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2234_65HCT48_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2235_BRC20_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2237_HR5C20_PMT800_011508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2239_BTC24_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2240_BTHCT24_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2241_BTC48_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2242_BTHCT48_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2243_65C24_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2244_65HCT24_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2245_65C48_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2246_65HCT48_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2247_BRC20_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2248_BRHCT20_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2249_HR5C20_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2250_HR5HCT20_PMT800_012508.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2255_BRHCT20_PMT800_021208.gpr,OTHER
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2256_HR5HCT20_PMT800_021208.gpr,OTHER
BIOSTUDIES:E-MTAB-12224,E-MTAB-12224,E-MTAB-12224.idf.txt,IDF
BIOSTUDIES:E-MTAB-12224,E-MTAB-12224,E-MTAB-12224.sdrf.txt,SDRF
BIOSTUDIES:E-MTAB-12224,E-MTAB-12224,Exp. Design,OTHER
BIOSTUDIES:E-MTAB-12224,E-MTAB-12224,No. of Samples,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R03C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R03C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R04C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R04C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R05C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R05C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R06C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R06C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R07C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203885690077_R07C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200001_R01C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200001_R01C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R06C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R06C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R07C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R07C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R08C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200005_R08C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R01C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R01C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R02C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R02C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R03C01_Grn.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,203930200010_R03C01_Red.idat,OTHER
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,E-MTAB-12225.idf.txt,IDF
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,E-MTAB-12225.sdrf.txt,SDRF
BIOSTUDIES:E-MTAB-12225,E-MTAB-12225,No. of Samples,OTHER
