dataset_id,sample_n,currently_resistant_n,currently_sensitive_parental_n,currently_ambiguous_n,currently_unresolved_n,resistance_hint_counts,control_hint_counts,top_metadata_tokens
GEO:GSE327983,287,0,0,0,287,res:287,,tissue:287 | name:287 | unresolved:287 | brain:278 | bone:254 | chest:42 | wall:42 | dsp-1001660022162-a-h12.stats.txt:2 | dsp-1001660022162-a-h12.dcc:2 | dsp-1001660022162-a-h11.stats.txt:2 | dsp-1001660022162-a-h11.dcc:2 | dsp-1001660022162-a-h10.stats.txt:2 | dsp-1001660022162-a-h10.dcc:2 | dsp-1001660022162-a-h09.stats.txt:2 | dsp-1001660022162-a-h09.dcc:2 | dsp-1001660022162-a-h08.stats.txt:2 | dsp-1001660022162-a-h08.dcc:2 | dsp-1001660022162-a-h07.stats.txt:2 | dsp-1001660022162-a-h07.dcc:2 | dsp-1001660022162-a-h06.stats.txt:2
GEO:GSE237607,80,0,0,0,80,hr:80 | res:80 | bt474r:40,,bt474:160 | hr:118 | type:80 | epithelial:80 | time:80 | unresolved:80 | bt474r:80 | atac-seq:40 | hr.:40 | s0_baseline:4 | s1_con:4 | s1_hrg:4 | s1_egf:4 | s12_con:4 | s12_hrg:4 | s12_egf:4 | s24_con:4 | s24_hrg:4 | s24_egf:4 | r0_baseline:4
GEO:GSE237605,40,0,0,0,40,hr:40 | res:40 | bt474r:20,,bt474:80 | hr:78 | atac-seq:40 | type:40 | epithelial:40 | time:40 | unresolved:40 | bt474r:40 | s0_baseline:2 | 0hr:2 | s1_con:2 | s1_hrg:2 | s1_egf:2 | s12_con:2 | s12_hrg:2 | s12_egf:2 | s24_con:2 | s24_hrg:2 | s24_egf:2 | r0_baseline:2
GEO:GSE237606,40,0,0,0,40,hr:40 | res:40 | bt474r:20,,bt474:80 | hr.:40 | type:40 | epithelial:40 | time:40 | hr:40 | unresolved:40 | bt474r:40 | s0_baseline:2 | s1_con:2 | s1_hrg:2 | s1_egf:2 | s12_con:2 | s12_hrg:2 | s12_egf:2 | s24_con:2 | s24_hrg:2 | s24_egf:2 | r0_baseline:2 | r1_con:2
GEO:GSE244537,20,0,0,0,20,res:20 | tr:20 | hr:10,,skbr3:67 | type:20 | mammary:20 | gland:20 | epithelial:20 | unresolved:20 | cuttag:14 | none:10 | trastuzumab:10 | skbr3_hr:7 | rep1:6 | rep2:6 | h3k27me3:4 | h3k4me3:4 | h3k27ac:4 | input:2 | skbr3_rep1:1 | skbr3_rep2:1 | skbr3_rep3:1 | skbr3_hr_rep1:1
GEO:GSE297715,20,0,0,0,20,res:20,,skbr3:50 | jimt1:40 | rep1:20 | type:20 | mammary:20 | gland:20 | epithelial:20 | name:20 | unresolved:20 | rep2:20 | h3k27me3:8 | h3k4me3:8 | h3k27ac:8 | ctcf:8 | rnapolii:8
GEO:GSE244535,14,0,0,0,14,res:14 | tr:14 | hr:7,,skbr3:49 | cuttag:14 | type:14 | mammary:14 | gland:14 | epithelial:14 | unresolved:14 | none:7 | skbr3_hr:7 | trastuzumab:7 | rep1:6 | rep2:6 | h3k27me3:4 | h3k4me3:4 | h3k27ac:4 | input:2
GEO:GSE286038,8,0,0,0,8,res:8 | tr:8,vehicle:8,fulvestrant:22 | neratinib:22 | xenograft:16 | four:16 | multiome:8 | pdx:8 | tissue:8 | type:8 | when:8 | tumors:8 | reached:8 | mm3:8 | mice:8 | were:8 | randomized:8 | into:8 | groups:8 | either:8 | vehicle:8 | mg/mouse/week:8
GEO:GSE244533,6,0,0,0,6,res:6 | tr:6 | hr:3,,skbr3:18 | type:6 | mammary:6 | gland:6 | epithelial:6 | unresolved:6 | none:3 | trastuzumab:3 | skbr3_rep1:1 | skbr3_rep2:1 | skbr3_rep3:1 | skbr3_hr_rep1:1 | skbr3_hr_rep2:1 | skbr3_hr_rep3:1
GEO:GSE297774,3,0,0,0,3,res:3,,jimt1:6 | type:3 | mammary:3 | gland:3 | epithelial:3 | name:3 | unresolved:3 | jimt1_rep1:2 | jimt1_rep2:2 | jimt1_rep3:2
GEO:GSE188513,2,0,0,0,2,res:2,,skbr3:6 | type:4 | her2:2 | positive:2 | unresolved:2 | skbr3_1:1 | atac-j9_s12:1 | skbr3_2:1 | atac-j10_s2:1
GEO:GSE132055,15,0,0,15,0,res:15 | resistance:15 | resistant:15 | tr:15,parental:15 | wt:15 | sensitive:9,lapatinib:72 | were:45 | resistant:36 | plus:36 | trastuzumab:36 | their:30 | 0.1:30 | or:30 | g/ml:30 | growth:30 | anti-her2:24 | au565:20 | skbr3:20 | sensitive:18 | parental:18 | model:15 | resistance:15 | her2+:15 | her2-targeted:15 | therapy:15
GEO:GSE230326,12,0,12,0,0,tr:12,parental:12 | sensitive:12,bt474:48 | were:36 | using:36 | parental:30 | brd8:30 | ko:30 | neratinib:30 | 200nm:30 | total:24 | was:24 | kit:24 | 4h:18 | genotype:12 | 4h.:12 | then:12 | extracted:12 | e.z.n.a:12 | omega:12 | bio-tek:12 | sequencing:12
GEO:GSE300749,12,0,0,12,0,res:12 | resistance:12 | resistant:12 | tr:12 | trastuzumab-resistant:12,control:12 | sensitive:12 | wt:9,cb2r:111 | were:60 | was:60 | tr:48 | by:48 | lentiviral:48 | ko:39 | ts:36 | usa:36 | guide:36 | addgene:36 | via:36 | type:24 | lines:24 | bt474:24 | knockout:24 | generated:24 | using:24 | plasmid:24 | atc:24
GEO:GSE230327,4,0,4,0,0,hr:4 | res:4 | tr:4,control:4 | parental:4 | sensitive:4,bt474:20 | were:20 | fulvestrant:20 | neratinib:20 | single:12 | using:12 | dmso:10 | as:8 | nm:8 | 200nm:8 | or:8 | both:8 | plus:8 | was:8 | libraries:8 | according:8 | manufacturer:8 | 10x:8 | genomics:8 | illumina:8
