dataset_id,sample_n,currently_resistant_n,currently_sensitive_parental_n,currently_ambiguous_n,currently_unresolved_n,resistance_hint_counts,control_hint_counts,ambiguous_short_token_counts,top_metadata_tokens
GEO:GSE327983,287,0,0,0,287,,,,tissue:287 | name:287 | unresolved:287 | brain:278 | bone:254 | stats:190 | txt:190 | dcc:190 | chest:42 | wall:42 | dsp-1001660022162-a-h12:5 | dsp-1001660022162-a-h11:5 | dsp-1001660022162-a-h10:5 | dsp-1001660022162-a-h09:5 | dsp-1001660022162-a-h08:5 | dsp-1001660022162-a-h07:5 | dsp-1001660022162-a-h06:5 | dsp-1001660022162-a-h05:5 | dsp-1001660022162-a-h04:5 | dsp-1001660022162-a-h03:5 | dsp-1001660022162-a-h02:5 | dsp-1001660022162-a-h01:5 | dsp-1001660022162-a-g12:5 | dsp-1001660022162-a-g11:5 | dsp-1001660022162-a-g10:5
GEO:GSE123845,227,0,0,0,227,,,,na:358 | er:293 | her2:274 | negative:273 | tn:241 | primary:227 | tumor:227 | gender:227 | female:227 | age:227 | menopausal_status:227 | bc_family_history:227 | brca1_status:227 | brca2_status:227 | cell_type_diagnosis:227 | carcinoma:227 | er_status_diagnosis:227 | er_score_diagnosis:227 | pr_status_diagnosis:227 | pr_score_diagnosis:227 | her2_status_diagnosis:227 | her2_score_diagnosis:227 | ki67_status_diagnosis:227 | ki67_diagnosis:227 | tnm_stage_clinical:227
GEO:GSE217624,84,0,0,0,84,,,,tumor:162 | her2:114 | tissue:84 | cancer_pathological_subtype:84 | chemotherapy:84 | included:84 | standard-of-care:84 | sequential:84 | doxorubicin:84 | cyclophosphamide:84 | followed:84 | by:84 | paclitaxel:84 | additional:84 | herceptin:84 | patients:84 | unresolved:84 | er:71 | post-treatment:53 | normal:52 | adjacent:52 | pre-treatment:28 | tnbc:10 | healthy:6 | epithelium:6
GEO:GSE161423,64,0,0,0,64,,untreated:10,,weekly:256 | 6mg/kg:128 | paclitaxel:74 | lapatinib:74 | t-dm1:74 | trastuzumab:74 | pertuzumab:74 | animal:64 | id:64 | mouse:64 | mice:64 | were:64 | randomized:64 | when:64 | tumors:64 | reached:64 | 5mm:64 | diameter:64 | weeks:64 | 5mg/kg:64 | 6x/week:64 | 30mg/kg:64 | 20mg/kg:64 | unresolved:64 | pdx:44
GEO:GSE161420,60,0,0,0,60,,untreated:10,,weekly:240 | 6mg/kg:120 | paclitaxel:70 | lapatinib:70 | t-dm1:70 | trastuzumab:70 | pertuzumab:70 | animal:60 | id:60 | mouse:60 | mice:60 | were:60 | randomized:60 | when:60 | tumors:60 | reached:60 | 5mm:60 | diameter:60 | weeks:60 | 5mg/kg:60 | 6x/week:60 | 30mg/kg:60 | 20mg/kg:60 | unresolved:60 | bulk:36
GEO:GSE161743,34,0,0,0,34,,,,patient:34 | tissue:34 | tumor:34 | specimen:34 | disease:34 | state:34 | her2-positive:34 | time:34 | point:34 | unresolved:34 | post-treatment:20 | trastuzumab:16 | pre-treatment:14 | n/a:14 | pertuzumab:9 | lapatinib:6 | 101-o:1 | 101-r:1 | 103-o:1 | 103-r:1 | 107-o:1 | 107-r:1 | 108-o:1 | 108-r:1 | 109-o:1
BIOSTUDIES:E-MTAB-965,24,0,0,0,24,,,,characteristics:144 | factor:144 | value:144 | bt474:64 | diseasestate:48 | cellline:48 | organism:48 | homo:48 | sapiens:48 | cell_line:48 | compound:48 | time:48 | skbr3:32 | immunoglobulin:24 | g:24 | trastuzumab:24
GEO:GSE244537,20,0,0,0,20,,,,skbr3:67 | type:20 | mammary:20 | gland:20 | epithelial:20 | unresolved:20 | cuttag:14 | none:10 | trastuzumab:10 | skbr3_hr:7 | rep1:6 | rep2:6 | h3k27me3:4 | h3k4me3:4 | h3k27ac:4 | input:2 | skbr3_rep1:1 | skbr3_rep2:1 | skbr3_rep3:1 | skbr3_hr_rep1:1 | skbr3_hr_rep2:1 | skbr3_hr_rep3:1
GEO:GSE297715,20,0,0,0,20,,,,skbr3:50 | jimt1:40 | rep1:20 | type:20 | mammary:20 | gland:20 | epithelial:20 | name:20 | unresolved:20 | rep2:20 | h3k27me3:8 | h3k4me3:8 | h3k27ac:8 | ctcf:8 | rnapolii:8
GEO:GSE186402,19,0,0,0,19,,,,antibody:35 | anti-human:25 | drug-treated:23 | trastuzumab:23 | type:19 | group:19 | was:19 | by:19 | 72h:19 | unresolved:19 | multi-omics:18 | protein:18 | sk-br-3:16 | none:15 | mcf7:11 | epcam:10 | rep1:8 | her2:8 | egfr:8 | rep2:8 | skbr3:8 | mda-mb-231:8 | 4t1-mcf7:3 | mixed:3 | mouse:3
