dataset_id,sample_n,resistant_n,sensitive_parental_n,ambiguous_n,unresolved_n,auto_classifiable_n,groups_defined_by_proposal
GEO:GSE237607,80,0,40,40,0,40,False
GEO:GSE237605,40,0,20,20,0,20,False
GEO:GSE237606,40,0,20,20,0,20,False
GEO:GSE327983,287,0,0,0,287,0,False
GEO:GSE244537,20,0,0,0,20,0,False
GEO:GSE297715,20,0,0,0,20,0,False
GEO:GSE132055,15,0,0,0,15,0,False
GEO:GSE244535,14,0,0,0,14,0,False
GEO:GSE230326,12,0,0,0,12,0,False
GEO:GSE300749,12,0,0,12,0,0,False
GEO:GSE286038,8,0,0,0,8,0,False
GEO:GSE244533,6,0,0,0,6,0,False
GEO:GSE230327,4,0,0,0,4,0,False
GEO:GSE297774,3,0,0,0,3,0,False
GEO:GSE188513,2,0,0,0,2,0,False
GEO:GSE262860,2,0,0,0,2,0,False
