query_symbol,matched_symbol,entrez_id,mapping_status,direction
IGF2,IGF2,3481,mapped,UP
LINC03040,LINC03040,221416,mapped,UP
PPP1R1B,PPP1R1B,84152,mapped,UP
GPR26,GPR26,2849,mapped,UP
ST6GALNAC4,ST6GALNAC4,27090,mapped,UP
ADCY5,ADCY5,111,mapped,UP
SPOCK1,SPOCK1,6695,mapped,UP
MDFI,MDFI,4188,mapped,UP
AQP12B,AQP12B,653437,mapped,UP
S100A1,S100A1,6271,mapped,UP
CHGB,CHGB,1114,mapped,UP
DLK1,DLK1,8788,mapped,UP
AQP12A,AQP12A,375318,mapped,UP
CIROZ,CIROZ,148345,mapped,UP
HSPD1P5,HSPD1P5,345041,mapped,UP
NAT8,NAT8,9027,mapped,UP
FOLR1,FOLR1,2348,mapped,UP
H19,H19,283120,mapped,UP
MPP1,MPP1,4354,mapped,UP
QKILA,QKILA,,no_entrez_id,UP
QKILA,QKILA,101927490,mapped,UP
HOXB3,HOXB3,3213,mapped,UP
KLK1,KLK1,3816,mapped,UP
TREM1,TREM1,54210,mapped,UP
FUT3,FUT3,2525,mapped,UP
TMEM221,TMEM221,100130519,mapped,UP
FRG1BP,FRG1BP,284802,mapped,UP
FRG1BP,FRG1BP,,no_entrez_id,UP
DDC,DDC,1644,mapped,UP
GJB5,GJB5,2709,mapped,UP
ARHGEF4-AS1,ARHGEF4-AS1,121853076,mapped,UP
PPM1N,PPM1N,147699,mapped,UP
CEL,CEL,1056,mapped,UP
SLC35F1,SLC35F1,222553,mapped,UP
ATP2B3,ATP2B3,492,mapped,UP
ITGAL,ITGAL,3683,mapped,UP
OTOP3,OTOP3,347741,mapped,UP
MUC5AC,MUC5AC,4586,mapped,UP
APOD,APOD,347,mapped,UP
RUNX3,RUNX3,864,mapped,UP
CNGB1,CNGB1,1258,mapped,UP
GP2,GP2,2813,mapped,UP
ST6GALNAC1,ST6GALNAC1,55808,mapped,UP
HAR1A,HAR1A,,no_entrez_id,UP
HAR1A,HAR1A,768096,mapped,UP
SLURP1,SLURP1,57152,mapped,UP
MYO7B,MYO7B,4648,mapped,UP
OLFML3,OLFML3,56944,mapped,UP
CIB2,CIB2,10518,mapped,UP
CNN2,CNN2,1265,mapped,UP
CSF3R,CSF3R,1441,mapped,UP
NTSR1,NTSR1,4923,mapped,UP
CTNNA2,CTNNA2,1496,mapped,UP
FCGRT,FCGRT,2217,mapped,UP
ELMO1,ELMO1,9844,mapped,UP
STRA6,STRA6,64220,mapped,UP
BRSK2,BRSK2,9024,mapped,UP
CDH5,CDH5,1003,mapped,UP
HAR1B,HAR1B,768097,mapped,UP
HOXB8,HOXB8,3218,mapped,UP
LINP1,LINP1,108570035,mapped,UP
KCNJ6,KCNJ6,3763,mapped,UP
LMTK3,LMTK3,114783,mapped,UP
GNAL,GNAL,2774,mapped,UP
PDE4B,PDE4B,5142,mapped,UP
DTX1,DTX1,1840,mapped,UP
HOXB5,HOXB5,3215,mapped,UP
MRAP2,MRAP2,112609,mapped,UP
CLDN9,CLDN9,9080,mapped,UP
DOK6,DOK6,220164,mapped,UP
ISX,ISX,91464,mapped,UP
APCDD1,APCDD1,147495,mapped,UP
COL4A1,COL4A1,1282,mapped,UP
SPON2,SPON2,10417,mapped,UP
LRTM2,LRTM2,654429,mapped,UP
TUSC3,TUSC3,7991,mapped,UP
KRT5,KRT5,3852,mapped,UP
SCARA5,SCARA5,286133,mapped,UP
GDF15,GDF15,9518,mapped,UP
AQP3,AQP3,360,mapped,UP
AMH,AMH,268,mapped,UP
AKR1B10,AKR1B10,57016,mapped,UP
SLC9A4,SLC9A4,389015,mapped,UP
NAV1,NAV1,89796,mapped,UP
HSD17B2,HSD17B2,3294,mapped,UP
NPIPP1,NPIPP1,100874381,mapped,UP
TNS4,TNS4,84951,mapped,UP
MN1,MN1,4330,mapped,UP
ABCA1,ABCA1,19,mapped,UP
ITGA5,ITGA5,3678,mapped,UP
LYN,LYN,4067,mapped,UP
S1PR5,S1PR5,53637,mapped,UP
CSGALNACT1,CSGALNACT1,55790,mapped,UP
KCNA2,KCNA2,3737,mapped,UP
PALM3,PALM3,342979,mapped,UP
NCMAP,NCMAP,400746,mapped,UP
LGALS1,LGALS1,3956,mapped,UP
FGD5,FGD5,152273,mapped,UP
UPB1,UPB1,51733,mapped,UP
AMBP,AMBP,259,mapped,UP
LINC02303,LINC02303,105370479,mapped,UP
SLC45A3,SLC45A3,85414,mapped,UP
S100A9,S100A9,6280,mapped,UP
STC1,STC1,6781,mapped,UP
SLC25A18,SLC25A18,83733,mapped,UP
TMPRSS4,TMPRSS4,56649,mapped,UP
GBX2,GBX2,2637,mapped,UP
ONECUT1,ONECUT1,3175,mapped,UP
P3H3,P3H3,10536,mapped,UP
SHC3,SHC3,53358,mapped,UP
MGAT3,MGAT3,4248,mapped,UP
PAPSS2,PAPSS2,9060,mapped,UP
CLIC3,CLIC3,9022,mapped,UP
EVPLL,EVPLL,645027,mapped,UP
SLC44A4,SLC44A4,80736,mapped,UP
PRSS1,PRSS1,5644,mapped,UP
TMEM139,TMEM139,135932,mapped,UP
LPAR5,LPAR5,57121,mapped,UP
TMEM92,TMEM92,162461,mapped,UP
KCNK3,KCNK3,3777,mapped,UP
CES3,CES3,23491,mapped,UP
CCDC160,CCDC160,347475,mapped,UP
MEG3,MEG3,55384,mapped,UP
LTBP2,LTBP2,4053,mapped,UP
TMPRSS6,TMPRSS6,164656,mapped,UP
RASD1,RASD1,51655,mapped,UP
TP73,TP73,7161,mapped,UP
DAPK1,DAPK1,1612,mapped,UP
KCND3,KCND3,3752,mapped,UP
BEND7,BEND7,222389,mapped,UP
ARHGAP23,ARHGAP23,57636,mapped,UP
ACOX2,ACOX2,8309,mapped,UP
CHRNA4,CHRNA4,1137,mapped,UP
KCNMB1,KCNMB1,3779,mapped,UP
MAL,MAL,4118,mapped,UP
ADAMTS7,ADAMTS7,11173,mapped,UP
ZNF423,ZNF423,23090,mapped,UP
LOX,LOX,4015,mapped,UP
NKD1,NKD1,85407,mapped,UP
GSTM5,GSTM5,2949,mapped,UP
CPNE4,CPNE4,131034,mapped,UP
GGT5,GGT5,2687,mapped,UP
F12,F12,2161,mapped,UP
PPM1E,PPM1E,22843,mapped,UP
PCDH20,PCDH20,64881,mapped,UP
GALNT14,GALNT14,79623,mapped,UP
SIPA1,SIPA1,6494,mapped,UP
UMODL1-AS1,UMODL1-AS1,150147,mapped,UP
SCUBE3,SCUBE3,222663,mapped,UP
TGFBR3L,TGFBR3L,100507588,mapped,UP
ADORA2A,ADORA2A,135,mapped,UP
WNT5B,WNT5B,81029,mapped,UP
SLC9A6,SLC9A6,10479,mapped,UP
APOE,APOE,348,mapped,DOWN
APOBEC3F,APOBEC3F,200316,mapped,DOWN
PDLIM4,PDLIM4,8572,mapped,DOWN
CXCL14,CXCL14,9547,mapped,DOWN
CRIP1,CRIP1,1396,mapped,DOWN
ABLIM3,ABLIM3,22885,mapped,DOWN
MAGED4B,MAGED4B,81557,mapped,DOWN
CYB5R2,CYB5R2,51700,mapped,DOWN
NUCB1,NUCB1,4924,mapped,DOWN
TCEAL8,TCEAL8,90843,mapped,DOWN
SOX15,SOX15,6665,mapped,DOWN
MAGEH1,MAGEH1,28986,mapped,DOWN
CENPBD1P,CENPBD1P,92806,mapped,DOWN
CENPBD1P,CENPBD1P,,no_entrez_id,DOWN
FAM50B,FAM50B,26240,mapped,DOWN
MAGED4,MAGED4,728239,mapped,DOWN
PTPRM,PTPRM,5797,mapped,DOWN
GABRE,GABRE,2564,mapped,DOWN
VIPR2,VIPR2,7434,mapped,DOWN
SERP2,SERP2,387923,mapped,DOWN
CYP1A2,CYP1A2,1544,mapped,DOWN
IFITM3,IFITM3,10410,mapped,DOWN
PWWP3B,PWWP3B,139221,mapped,DOWN
PSMB8,PSMB8,5696,mapped,DOWN
NLGN4X,NLGN4X,57502,mapped,DOWN
HLA-A,HLA-A,3105,mapped,DOWN
EPHX2,EPHX2,2053,mapped,DOWN
GPR180,GPR180,160897,mapped,DOWN
DYNLT3,DYNLT3,6990,mapped,DOWN
ZNF727,ZNF727,442319,mapped,DOWN
C1RL-AS1,C1RL-AS1,283314,mapped,DOWN
MUC19,MUC19,283463,mapped,DOWN
ADRA2A,ADRA2A,150,mapped,DOWN
UGT1A10,UGT1A10,54575,mapped,DOWN
TCEA3,TCEA3,6920,mapped,DOWN
CYSLTR1,CYSLTR1,10800,mapped,DOWN
PDAP1P1,PDAP1P1,,no_entrez_id,DOWN
PDAP1P1,PDAP1P1,100287653,mapped,DOWN
LERFS,LERFS,403323,mapped,DOWN
SNRPN,SNRPN,6638,mapped,DOWN
ARMCX7P,ARMCX7P,,no_entrez_id,DOWN
ARMCX7P,ARMCX7P,653354,mapped,DOWN
SNHG14,SNHG14,,no_entrez_id,DOWN
SNHG14,SNHG14,104472715,mapped,DOWN
PHACTR1,PHACTR1,221692,mapped,DOWN
MAPT-AS1,MAPT-AS1,,no_entrez_id,DOWN
MAPT-AS1,MAPT-AS1,,no_entrez_id,DOWN
MAPT-AS1,MAPT-AS1,,no_entrez_id,DOWN
MAPT-AS1,MAPT-AS1,100128977,mapped,DOWN
KLHDC8B,KLHDC8B,200942,mapped,DOWN
GRAMD1B,GRAMD1B,57476,mapped,DOWN
CYP4F12,CYP4F12,66002,mapped,DOWN
FSTL1,FSTL1,11167,mapped,DOWN
CDSN,CDSN,1041,mapped,DOWN
CEACAM21,CEACAM21,90273,mapped,DOWN
FAM95A,FAM95A,90499,mapped,DOWN
APOL6,APOL6,80830,mapped,DOWN
LINC01133,LINC01133,100505633,mapped,DOWN
SNHG18,SNHG18,100505806,mapped,DOWN
INSYN1-AS1,INSYN1-AS1,,no_entrez_id,DOWN
INSYN1-AS1,INSYN1-AS1,101929221,mapped,DOWN
SPAG16,SPAG16,79582,mapped,DOWN
UGT1A6,UGT1A6,54578,mapped,DOWN
PRRT3-AS1,PRRT3-AS1,100874032,mapped,DOWN
ACSS3,ACSS3,79611,mapped,DOWN
MAP10,MAP10,54627,mapped,DOWN
MCAM,MCAM,4162,mapped,DOWN
PI3,PI3,5266,mapped,DOWN
LINC01875,LINC01875,101927362,mapped,DOWN
PSMB9,PSMB9,5698,mapped,DOWN
GRK3,GRK3,157,mapped,DOWN
HSPB8,HSPB8,26353,mapped,DOWN
EPHA8,EPHA8,2046,mapped,DOWN
PTGER3,PTGER3,5733,mapped,DOWN
ABCA4,ABCA4,24,mapped,DOWN
THEM4,THEM4,117145,mapped,DOWN
CES4A,CES4A,283848,mapped,DOWN
LINC03104,LINC03104,102724219,mapped,DOWN
GCGR,GCGR,2642,mapped,DOWN
CDKN2A,CDKN2A,1029,mapped,DOWN
CIDEB,CIDEB,27141,mapped,DOWN
NKX2-3,NKX2-3,159296,mapped,DOWN
PGM5,PGM5,5239,mapped,DOWN
PGR,PGR,5241,mapped,DOWN
PCDHB9,PCDHB9,56127,mapped,DOWN
NHLRC1,NHLRC1,378884,mapped,DOWN
PCDHGA9,PCDHGA9,56107,mapped,DOWN
MGP,MGP,4256,mapped,DOWN
FAM88C,FAM88C,102724238,mapped,DOWN
OAT,OAT,4942,mapped,DOWN
PLAAT4,PLAAT4,5920,mapped,DOWN
CPVL,CPVL,54504,mapped,DOWN
PCDHB6,PCDHB6,56130,mapped,DOWN
TESHL,TESHL,,no_entrez_id,DOWN
TESHL,TESHL,101928327,mapped,DOWN
TACSTD2,TACSTD2,4070,mapped,DOWN
KLHL38,KLHL38,340359,mapped,DOWN
GFRA1,GFRA1,2674,mapped,DOWN
SPTLC3,SPTLC3,55304,mapped,DOWN
HNRNPA1P10,HNRNPA1P10,,no_entrez_id,DOWN
HNRNPA1P10,HNRNPA1P10,664709,mapped,DOWN
SLC43A3,SLC43A3,29015,mapped,DOWN
EIF4EBP3,EIF4EBP3,8637,mapped,DOWN
TRANK1,TRANK1,9881,mapped,DOWN
HLA-DRB1,HLA-DRB1,3123,mapped,DOWN
ARSJ,ARSJ,79642,mapped,DOWN
DDX60,DDX60,55601,mapped,DOWN
FRAS1,FRAS1,80144,mapped,DOWN
ANKRD18A,ANKRD18A,253650,mapped,DOWN
AK4,AK4,205,mapped,DOWN
MUCL1,MUCL1,118430,mapped,DOWN
MR1,MR1,3140,mapped,DOWN
FABP5,FABP5,2171,mapped,DOWN
PDZK1,PDZK1,5174,mapped,DOWN
ELOVL2,ELOVL2,54898,mapped,DOWN
UCHL1,UCHL1,7345,mapped,DOWN
DNASE2B,DNASE2B,58511,mapped,DOWN
CHGA,CHGA,1113,mapped,DOWN
CMTM3,CMTM3,123920,mapped,DOWN
TPPP3,TPPP3,51673,mapped,DOWN
ALPP,ALPP,250,mapped,DOWN
NCR3LG1,NCR3LG1,374383,mapped,DOWN
ANO2,ANO2,57101,mapped,DOWN
CADM2,CADM2,253559,mapped,DOWN
PALLD,PALLD,23022,mapped,DOWN
FAM201A,FAM201A,,no_entrez_id,DOWN
FAM201A,FAM201A,158228,mapped,DOWN
FAM86B2,FAM86B2,653333,mapped,DOWN
CCDC3,CCDC3,83643,mapped,DOWN
CNTN3,CNTN3,5067,mapped,DOWN
