query_symbol,matched_symbol,entrez_id,mapping_status,direction
PPP1R1B,PPP1R1B,84152,mapped,UP
H19,H19,283120,mapped,UP
S100A1,S100A1,6271,mapped,UP
CNN2,CNN2,1265,mapped,UP
IGF2,IGF2,3481,mapped,UP
NAV1,NAV1,89796,mapped,UP
SPON2,SPON2,10417,mapped,UP
EGFR,EGFR,1956,mapped,UP
PNMT,PNMT,5409,mapped,UP
CALML5,CALML5,51806,mapped,UP
CLCA2,CLCA2,9635,mapped,UP
KCNK3,KCNK3,3777,mapped,UP
TIMP2,TIMP2,7077,mapped,UP
CLDN9,CLDN9,9080,mapped,UP
NKAIN1,NKAIN1,79570,mapped,UP
SEPTIN3,SEPTIN3,55964,mapped,UP
DYSF,DYSF,8291,mapped,UP
ITGAL,ITGAL,3683,mapped,UP
GYG2,GYG2,8908,mapped,UP
ASS1,ASS1,445,mapped,UP
ELFN2,ELFN2,114794,mapped,UP
TMPRSS4,TMPRSS4,56649,mapped,UP
FCGRT,FCGRT,2217,mapped,UP
AQP3,AQP3,360,mapped,UP
ARHGAP23,ARHGAP23,57636,mapped,UP
COL18A1,COL18A1,80781,mapped,UP
LMTK3,LMTK3,114783,mapped,UP
SLC44A4,SLC44A4,80736,mapped,UP
PLXND1,PLXND1,23129,mapped,UP
AMBP,AMBP,259,mapped,UP
ONECUT2,ONECUT2,9480,mapped,UP
LINGO1,LINGO1,84894,mapped,UP
FGD5,FGD5,152273,mapped,UP
PPM1E,PPM1E,22843,mapped,UP
CLIC3,CLIC3,9022,mapped,UP
EHBP1L1,EHBP1L1,254102,mapped,UP
KCNMA1,KCNMA1,3778,mapped,UP
RIMS3,RIMS3,9783,mapped,UP
RDH10,RDH10,157506,mapped,UP
COL4A2,COL4A2,1284,mapped,UP
MMD,MMD,23531,mapped,UP
SLC39A4,SLC39A4,55630,mapped,UP
DNAJC22,DNAJC22,79962,mapped,UP
F12,F12,2161,mapped,UP
S100P,S100P,6286,mapped,UP
BRSK2,BRSK2,9024,mapped,UP
BACE2,BACE2,25825,mapped,UP
CRLF1,CRLF1,9244,mapped,UP
RNF152,RNF152,220441,mapped,UP
MGAT4A,MGAT4A,11320,mapped,UP
LIMD2,LIMD2,80774,mapped,UP
CADPS2,CADPS2,93664,mapped,UP
PLK2,PLK2,10769,mapped,UP
PTGES,PTGES,9536,mapped,UP
ADORA1,ADORA1,134,mapped,UP
KCND3,KCND3,3752,mapped,UP
MDFI,MDFI,4188,mapped,UP
GALNT14,GALNT14,79623,mapped,UP
AKR1B10,AKR1B10,57016,mapped,UP
TNS4,TNS4,84951,mapped,UP
RALGAPA2,RALGAPA2,57186,mapped,UP
MST1R,MST1R,4486,mapped,UP
FAM83A,,,not_found,UP
RUNX3,RUNX3,864,mapped,UP
ADA,ADA,100,mapped,UP
TRIB2,TRIB2,28951,mapped,UP
B3GAT1,B3GAT1,27087,mapped,UP
SH3TC1,SH3TC1,54436,mapped,UP
CEL,CEL,1056,mapped,UP
DGAT2,DGAT2,84649,mapped,UP
SPRY4,SPRY4,81848,mapped,UP
ST3GAL5,ST3GAL5,8869,mapped,UP
MUC5AC,MUC5AC,4586,mapped,UP
MROH6,MROH6,642475,mapped,UP
TBX10,TBX10,347853,mapped,UP
