priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
10,2,Tier 2 — Consistent reversal,4,BRD-K22096725,ALW-II-49-7,-30.964382,-90.098976,-84.463036,3,3,1,-68.508798,-84.463036,-90.098976,-90.000000,10,True,False,True,True,True,False,24875320.000000,5-((2-Methyl-5-((3-(trifluoromethyl)phenyl)carbamoyl)phenyl)amino)pyridine-3-carboxamide,C21H17F3N4O2,414.4,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CN=CC(=C3)C(=O)N,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CN=CC(=C3)C(=O)N,"InChI=1S/C21H17F3N4O2/c1-12-5-6-13(8-18(12)27-17-7-14(19(25)29)10-26-11-17)20(30)28-16-4-2-3-15(9-16)21(22,23)24/h2-11,27H,1H3,(H2,25,29)(H,28,30)",SAAYRHKJHDIDPH-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,True,RESEARCH_COMPOUND_REVIEW
13,2,Tier 2 — Consistent reversal,4,BRD-K74236984,UNC-0321,-16.522942,-78.778690,-91.155310,3,3,1,-62.152314,-78.778690,-91.155310,-90.000000,13,True,False,True,False,True,True,46901937.000000,Unc0321,C27H45N7O3,515.7,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)C)OC)OCCOCCN(C)C,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)C)OC)OCCOCCN(C)C,"InChI=1S/C27H45N7O3/c1-31(2)15-16-36-17-18-37-25-20-23-22(19-24(25)35-5)26(28-21-7-11-33(4)12-8-21)30-27(29-23)34-10-6-9-32(3)13-14-34/h19-21H,6-18H2,1-5H3,(H,28,29,30)",AULLUGALUBVBDD-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,True,RESEARCH_COMPOUND_REVIEW
16,2,Tier 2 — Consistent reversal,4,BRD-U73238814,QL-XI-92,-1.173027,-90.411026,-59.894768,3,3,1,-50.492940,-59.894768,-90.411026,-90.000000,16,True,False,True,True,True,False,73265214.000000,N-[2-methyl-5-[oxo-[3-(1-oxoprop-2-enylamino)-5-(trifluoromethyl)anilino]methyl]phenyl]-5-isoxazolecarboxamide,C22H17F3N4O4,458.4,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)NC(=O)C=C)C(F)(F)F)NC(=O)C3=CC=NO3,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)NC(=O)C=C)C(F)(F)F)NC(=O)C3=CC=NO3,"InChI=1S/C22H17F3N4O4/c1-3-19(30)27-15-9-14(22(23,24)25)10-16(11-15)28-20(31)13-5-4-12(2)17(8-13)29-21(32)18-6-7-26-33-18/h3-11H,1H2,2H3,(H,27,30)(H,28,31)(H,29,32)",UASQUKUDXJFTCO-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,True,RESEARCH_COMPOUND_REVIEW
19,2,Tier 2 — Consistent reversal,4,BRD-A06352508,SB-218078,-2.396054,-33.465538,-92.218640,3,3,1,-42.693411,-33.465538,-92.218640,-90.000000,19,True,False,True,False,True,True,3387354.000000,SB 218078,C24H15N3O3,393.4,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O,"InChI=1S/C24H15N3O3/c28-23-19-17-11-5-1-3-7-13(11)26-15-9-10-16(30-15)27-14-8-4-2-6-12(14)18(22(27)21(17)26)20(19)24(29)25-23/h1-8,15-16H,9-10H2,(H,25,28,29)",OTPNDVKVEAIXTI-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,True,RESEARCH_COMPOUND_REVIEW
20,2,Tier 2 — Consistent reversal,3,BRD-K93188295,ARC-239,-3.623069,-86.813780,-89.505760,3,3,0,-59.980870,-86.813780,-89.505760,-90.000000,30,True,False,True,False,True,False,609483.000000,AR-C-239,C24H29N3O3,407.5,CC1(C2=CC=CC=C2C(=O)N(C1=O)CCN3CCN(CC3)C4=CC=CC=C4OC)C,CC1(C2=CC=CC=C2C(=O)N(C1=O)CCN3CCN(CC3)C4=CC=CC=C4OC)C,"InChI=1S/C24H29N3O3/c1-24(2)19-9-5-4-8-18(19)22(28)27(23(24)29)17-14-25-12-15-26(16-13-25)20-10-6-7-11-21(20)30-3/h4-11H,12-17H2,1-3H3",JFNKXGOEOQCXDM-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
21,2,Tier 2 — Consistent reversal,3,BRD-K59222562,BRD-K59222562,-22.267956,-89.291270,-86.783050,3,3,0,-66.114092,-86.783050,-89.291270,-90.000000,31,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
23,2,Tier 2 — Consistent reversal,3,BRD-K84141129,VU-0400193-3,-75.512900,-85.439865,-81.856476,3,3,0,-80.936414,-81.856476,-85.439865,-90.000000,33,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
24,2,Tier 2 — Consistent reversal,3,BRD-K93095519,SJ-172550,-1.538687,-81.850030,-88.012360,3,3,0,-57.133692,-81.850030,-88.012360,-90.000000,34,True,False,True,False,True,False,1317464.000000,SJ-17255,C22H21ClN2O5,428.9,CCOC1=C(C(=CC(=C1)C=C2C(=NN(C2=O)C3=CC=CC=C3)C)Cl)OCC(=O)OC,CCOC1=C(C(=CC(=C1)/C=C/2\C(=NN(C2=O)C3=CC=CC=C3)C)Cl)OCC(=O)OC,"InChI=1S/C22H21ClN2O5/c1-4-29-19-12-15(11-18(23)21(19)30-13-20(26)28-3)10-17-14(2)24-25(22(17)27)16-8-6-5-7-9-16/h5-12H,4,13H2,1-3H3/b17-10+",RKKFQJXGAQWHBZ-LICLKQGHSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
29,2,Tier 2 — Consistent reversal,3,BRD-K48735772,PD-158780,-37.132057,-88.892075,-72.680610,3,3,0,-66.234914,-72.680610,-88.892075,-90.000000,39,True,False,True,False,True,False,4707.000000,Pd 158780,C14H12BrN5,330.18,CNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br,CNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br,"InChI=1S/C14H12BrN5/c1-16-13-6-11-12(7-17-13)18-8-19-14(11)20-10-4-2-3-9(15)5-10/h2-8H,1H3,(H,16,17)(H,18,19,20)",KFHMLBXBRCITHF-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
30,2,Tier 2 — Consistent reversal,3,BRD-K88677950,PD-198306,-2.607470,-72.456375,-75.628550,3,3,0,-50.230798,-72.456375,-75.628550,-90.000000,40,True,False,True,False,True,False,9956637.000000,PD 198306,C18H16F3IN2O2,476.2,CC1=C(C=CC(=C1)I)NC2=C(C(=C(C=C2C(=O)NOCC3CC3)F)F)F,CC1=C(C=CC(=C1)I)NC2=C(C(=C(C=C2C(=O)NOCC3CC3)F)F)F,"InChI=1S/C18H16F3IN2O2/c1-9-6-11(22)4-5-14(9)23-17-12(7-13(19)15(20)16(17)21)18(25)24-26-8-10-2-3-10/h4-7,10,23H,2-3,8H2,1H3,(H,24,25)",UHAXDAKQGVISBZ-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
