priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,fda_application_record_found,fda_label_record_found,clinical_trial_record_found,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,canonical_smiles_pubchem,isomeric_smiles_pubchem,inchikey_pubchem,molecular_formula_pubchem,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions,pubchem_safety_annotation_found,hazard_statement_codes,severe_hazard_codes,high_concern_hazard_text_flag,pubchem_safety_annotation_text_chars,pains_evaluated,pains_flag,pains_filter_matches,safety_risk_score,safety_evidence_layers_n,safety_data_completeness,hard_safety_flag,translational_nonclinical_flag,safety_screening_recommendation,safety_screening_reasons,chembl_molecule_found,molecule_chembl_id,chembl_pref_name,chembl_molecule_type,chembl_max_phase,chembl_match_score,chembl_activity_record_n,chembl_target_n,chembl_target_ids,chembl_assay_types,chembl_standard_types,chembl_median_pchembl,chembl_max_pchembl,pubchem_target_accession_n,pubchem_target_gene_id_n,pubchem_target_support_note,target_evidence_strength_score,target_support_category
3,1,Tier 1 — Strong consensus,5,BRD-K89687904,PKCbeta-inhibitor,-24.4503,-90.70964,-97.77263,3,3,2,-70.977523,-90.70964,-97.77263,-90.0,3,True,False,True,True,True,True,6419755,PKCbeta Inhibitor,C24H21N5O2,411.5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,"InChI=1S/C24H21N5O2/c30-23-21(22(24(31)27-23)26-17-7-2-1-3-8-17)19-15-29(20-10-5-4-9-18(19)20)13-6-12-28-14-11-25-16-28/h1-5,7-11,14-16H,6,12-13H2,(H2,26,27,30,31)",KIWODJBCHRADND-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,KIWODJBCHRADND-UHFFFAOYSA-N,C24H21N5O2,596.0,17.0,5.0,1.0,22.0,0.7727272727272727,0.0,0.0,1195.0 | 3718.0 | 5292.0 | 5578.0 | 5579.0 | 5581.0 | 7297.0 | 9748.0,NP_002639 | NP_055535 | NP_997700 | O60674 | P05771 | P17252 | P23458 | P29597 | P49759 | P52333 | Q02156,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL5715921,,,,5.0,9,7,CHEMBL2226 | CHEMBL2273 | CHEMBL3131 | CHEMBL3776 | CHEMBL4801 | CHEMBL5037 | CHEMBL5991,B | F,IC50,7.31,8.42,11,8,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
34,2,Tier 2 — Consistent reversal,3,BRD-K85603128,resorcinol,-1.127555,-80.63106,-70.198425,3,3,0,-50.652347,-70.198425,-80.63106,-90.0,44,True,False,True,False,True,False,5054,Resorcinol,C6H6O2,110.11,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,GHMLBKRAJCXXBS-UHFFFAOYSA-N,C6H6O2,1668.0,37.0,1399.0,107.0,1436.0,0.0257660167130919,394.0,0.0,11238.0 | 1551.0 | 1576.0 | 2101.0 | 443551.0 | 760.0 | 763.0 | 771.0 | 836.0 | 840.0 | 8856.0,3AQT_A | 4E49_A | AAP35329 | ABI96208 | ADZ17378 | ADZ17384 | CAC88866 | NP_000756 | NP_059488 | O43570 | P00918 | P05979 | P35218 | Q2PCB5 | Q9Y2D0,True,H302 | H313 | H315 | H317 | H318 | H319 | H333 | H370 | H371 | H372 | H400 | H410,H370 | H372,True,169127,True,False,,4,4,GOOD,True,False,CAUTION_MANUAL_REVIEW,"specific-organ-toxicity GHS annotation H370,H372",True,CHEMBL24147,RESORCINOL,Small molecule,-1.0,195.0,15,10,CHEMBL1293235 | CHEMBL1795125 | CHEMBL205 | CHEMBL2949 | CHEMBL3242 | CHEMBL340 | CHEMBL3969 | CHEMBL4789 | CHEMBL612545 | CHEMBL614696,A | B | F,IC50 | Ki | Potency,5.15,8.06,15,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
47,2,Tier 2 — Consistent reversal,3,BRD-K46441700,GR-55562,-12.65922,-85.61006,-60.974052,3,3,0,-53.081111,-60.974052,-85.61006,-90.0,57,True,False,True,False,True,False,128018,GR-55562,C23H25N3O2,375.5,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,"InChI=1S/C23H25N3O2/c1-26(2)15-3-4-19-16-20(7-10-22(19)27)23(28)25-21-8-5-17(6-9-21)18-11-13-24-14-12-18/h5-14,16,27H,3-4,15H2,1-2H3,(H,25,28)",ZAGAUUVCYGSPBP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,ZAGAUUVCYGSPBP-UHFFFAOYSA-N,C23H25N3O2,316.0,23.0,243.0,49.0,266.0,0.0864661654135338,3.0,0.0,1544.0 | 1565.0 | 2593.0 | 27232.0 | 3176.0 | 3351.0 | 3352.0 | 4837.0 | 5409.0,B45705 | CAQ07474 | NP_000097 | NP_000752 | NP_000854 | NP_001020332 | P08908 | P11086 | P21964 | P28221 | P28222 | P40261 | P50135 | Q14353 | Q14749,False,,,False,0,True,False,,1,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,elevated PubChem assay promiscuity,True,CHEMBL119264,GR-55562,Small molecule,,105.0,11,6,CHEMBL1898 | CHEMBL1983 | CHEMBL214 | CHEMBL289 | CHEMBL340 | CHEMBL612545,A | B | F,AC50 | EC50 | Ki | Potency,5.9,7.92,15,9,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
57,2,Tier 2 — Consistent reversal,3,BRD-K72816382,cinalukast,-2.396054,-59.528847,-63.2611,3,3,0,-41.728667,-59.528847,-63.2611,-90.0,67,True,False,True,False,True,False,6436135,Cinalukast,C23H28N2O3S,412.5,CCC(CC)(CC(=O)NC1=CC=CC(=C1)C=CC2=NC(=CS2)C3CCC3)C(=O)O,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,"InChI=1S/C23H28N2O3S/c1-3-23(4-2,22(27)28)14-20(26)24-18-10-5-7-16(13-18)11-12-21-25-19(15-29-21)17-8-6-9-17/h5,7,10-13,15,17H,3-4,6,8-9,14H2,1-2H3,(H,24,26)(H,27,28)/b12-11+",BZMKNPGKXJAIDV-VAWYXSNFSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CCC(CC)(CC(=O)NC1=CC=CC(=C1)C=CC2=NC(=CS2)C3CCC3)C(=O)O,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,BZMKNPGKXJAIDV-VAWYXSNFSA-N,C23H28N2O3S,675.0,41.0,464.0,95.0,505.0,0.0811881188118811,76.0,2.0,100135514.0 | 116160065.0 | 1544.0 | 1551.0 | 1559.0 | 1576.0 | 196.0 | 2100.0 | 4780.0 | 5468.0 | 8856.0,2O23_A | 2O23_B | AAA29795 | AAV31779 | AAY56401 | ABI96208 | ADZ17384 | AGS09764 | BAH02283 | EAL24281 | EAW99313 | NP_000756 | NP_006155 | NP_059488 | Q2NNR5,False,,,False,0,True,False,,4,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,repeated active cytotoxicity/viability assays | elevated PubChem assay promiscuity,True,CHEMBL283754,CINALUKAST,Small molecule,2.0,195.0,4,3,CHEMBL2093861 | CHEMBL340 | CHEMBL5645,A | B | F,Ki | Potency,5.2,8.19,15,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
61,2,Tier 2 — Consistent reversal,3,BRD-K11107424,tiotidine,-3.488372,-58.090363,-64.5474,3,3,0,-42.042045,-58.090363,-64.5474,-90.0,71,True,False,True,False,True,False,50287,Tiotidine,C10H16N8S2,312.4,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,"InChI=1S/C10H16N8S2/c1-14-9(16-6-11)15-2-3-19-4-7-5-20-10(17-7)18-8(12)13/h5H,2-4H2,1H3,(H2,14,15,16)(H4,12,13,17,18)",YDDXVAXDYKBWDX-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,YDDXVAXDYKBWDX-UHFFFAOYSA-N,C10H16N8S2,732.0,21.0,627.0,26.0,648.0,0.0324074074074074,81.0,0.0,100729734.0 | 1551.0 | 1565.0 | 1576.0 | 1813.0 | 3274.0,AAH21195 | ABI96208 | ANW61984 | NP_000097 | NP_000756 | NP_001020332 | NP_001124527 | NP_037097 | NP_059488 | P25021 | P47747,False,,,False,0,True,False,,0,3,GOOD,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL269646,TIOTIDINE,Small molecule,2.0,195.0,7,4,CHEMBL1293238 | CHEMBL1941 | CHEMBL2882 | CHEMBL289,A | B | F,AC50 | IC50 | Ki | Potency,7.5,8.25,11,6,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
66,2,Tier 2 — Consistent reversal,3,BRD-K08109516,L-701324,-11.283772,-60.337547,-56.637703,3,3,0,-42.753007,-56.637703,-60.337547,-90.0,76,True,False,True,False,True,False,54682505,7-Chloro-4-hydroxy-3-(3-phenoxyphenyl)-2(1H)-quinolinone,C21H14ClNO3,363.8,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,"InChI=1S/C21H14ClNO3/c22-14-9-10-17-18(12-14)23-21(25)19(20(17)24)13-5-4-8-16(11-13)26-15-6-2-1-3-7-15/h1-12H,(H2,23,24,25)",FLVRDMUHUXVRET-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O,FLVRDMUHUXVRET-UHFFFAOYSA-N,C21H14ClNO3,740.0,66.0,611.0,22.0,677.0,0.0974889217134416,13.0,0.0,1544.0 | 1565.0 | 170796.0 | 191573.0 | 24408.0 | 24409.0 | 24410.0 | 24411.0 | 24412.0 | 2902.0 | 2903.0 | 2904.0 | 2905.0 | 5049.0,2O23_A | 2O23_B | 3I06_A | NP_000097 | NP_000752 | NP_000825 | NP_000826 | NP_001020332 | NP_001127880 | NP_001171675 | NP_058706 | P35439 | Q00959 | Q00960 | Q00961 | Q62645 | Q8VHN2 | Q9R1M7,True,H315 | H319 | H335,,False,6664,True,False,,1,4,GOOD,False,False,CAUTION_MANUAL_REVIEW,elevated PubChem assay promiscuity,True,CHEMBL31741,,Small molecule,,5.0,16,7,CHEMBL1907608 | CHEMBL2096666 | CHEMBL289 | CHEMBL330 | CHEMBL3356 | CHEMBL3563 | CHEMBL376,A | B | F,AC50 | IC50 | Ki | Potency,8.29,9.0,18,14,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
69,2,Tier 2 — Consistent reversal,3,BRD-K35629949,SR-27897,-16.35113,-55.846756,-72.5287,3,3,0,-48.242195,-55.846756,-72.5287,-90.0,79,True,False,True,False,True,False,122077,Lintitript,C20H14ClN3O3S,411.9,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,"InChI=1S/C20H14ClN3O3S/c21-14-7-3-2-6-13(14)15-11-28-20(22-15)23-19(27)17-9-12-5-1-4-8-16(12)24(17)10-18(25)26/h1-9,11H,10H2,(H,25,26)(H,22,23,27)",ILNRQFBVVQUOLP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,ILNRQFBVVQUOLP-UHFFFAOYSA-N,C20H14ClN3O3S,647.0,41.0,447.0,100.0,488.0,0.0840163934426229,78.0,1.0,116160065.0 | 1551.0 | 1813.0 | 24831.0 | 24889.0 | 2798.0 | 3725.0 | 4780.0 | 5468.0 | 7201.0 | 7398.0 | 7421.0 | 8856.0 | 886.0,AAA29795 | AAH11558 | AAH18745 | AAH21195 | AAI13547 | ADZ17384 | BAH02283 | EAW91923 | EAX06628 | NP_000721 | NP_000756 | NP_001017535 | NP_001257783 | NP_006155 | NP_036820 | P32238,False,,,False,0,True,False,,2,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,active cytotoxicity/viability assay signal | elevated PubChem assay promiscuity,True,CHEMBL249973,LINTITRIPT,Small molecule,2.0,95.0,1,1,CHEMBL1901,B,IC50,9.25,9.25,16,14,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
75,2,Tier 2 — Consistent reversal,3,BRD-K01638814,rilmenidine,-22.415075,-53.919815,-65.84115,3,3,0,-47.392013,-53.919815,-65.84115,-90.0,85,True,False,True,False,True,False,68712,Rilmenidine,C10H16N2O,180.25,C1CC1C(C2CC2)NC3=NCCO3,C1CC1C(C2CC2)NC3=NCCO3,"InChI=1S/C10H16N2O/c1-2-7(1)9(8-3-4-8)12-10-11-5-6-13-10/h7-9H,1-6H2,(H,11,12)",CQXADFVORZEARL-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1CC1C(C2CC2)NC3=NCCO3,C1CC1C(C2CC2)NC3=NCCO3,CQXADFVORZEARL-UHFFFAOYSA-N,C10H16N2O,1431.0,60.0,1163.0,114.0,1223.0,0.0490596892886345,195.0,3.0,11188.0 | 148.0 | 150.0 | 151.0 | 152.0 | 1565.0 | 1576.0 | 24831.0 | 2908.0 | 306255.0 | 4128.0 | 4129.0 | 4986.0,ADP91253 | ANW61984 | B45705 | NP_000097 | NP_001020332 | NP_001257783 | NP_059488 | P08913 | P18089 | P18825 | P21397 | P27338 | P35348 | P41145 | Q4G017 | Q9Y2I1,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,repeated active cytotoxicity/viability assays,True,CHEMBL289480,RILMENIDINE,Small molecule,4.0,195.0,42,13,CHEMBL1867 | CHEMBL1916 | CHEMBL1942 | CHEMBL2095158 | CHEMBL229 | CHEMBL237 | CHEMBL289 | CHEMBL3397 | CHEMBL340 | CHEMBL3879801 | CHEMBL3923 | CHEMBL5221 | CHEMBL612545,A | B | F,AC50 | EC50 | Ki | Potency,6.4,7.95,16,13,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
78,2,Tier 2 — Consistent reversal,3,BRD-K09991945,GSK-3-inhibitor-II,-13.116282,-56.040085,-53.212753,3,3,0,-40.789707,-53.212753,-56.040085,-90.0,88,True,False,True,False,True,False,6539732,GSK-3 Inhibitor II,C14H10IN3OS,395.22,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,"InChI=1S/C14H10IN3OS/c15-12-3-1-2-10(8-12)9-20-14-18-17-13(19-14)11-4-6-16-7-5-11/h1-8H,9H2",ZRHRPGSSSVYBRG-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,C14H10IN3OS,646.0,21.0,44.0,0.0,65.0,0.3230769230769231,1.0,0.0,2669.0 | 2931.0 | 2932.0,NP_001139628 | NP_005252 | O95067 | P06493 | P14635 | P49840 | P49841 | Q8WWL7,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL5723360,,,,5.0,1,1,CHEMBL2334,F,Ki,9.17,9.17,8,3,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
82,2,Tier 2 — Consistent reversal,3,BRD-K08924299,palonosetron,-30.217133,-57.43039,-52.88507,3,3,0,-46.844198,-52.88507,-57.43039,-90.0,92,True,False,True,False,True,False,6337614,Palonosetron,C19H24N2O,296.4,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,"InChI=1S/C19H24N2O/c22-19-16-6-2-4-14-3-1-5-15(18(14)16)11-21(19)17-12-20-9-7-13(17)8-10-20/h2,4,6,13,15,17H,1,3,5,7-12H2/t15-,17-/m1/s1",CPZBLNMUGSZIPR-NVXWUHKLSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,CPZBLNMUGSZIPR-NVXWUHKLSA-N,C19H24N2O,153.0,45.0,7.0,0.0,52.0,0.8653846153846154,2.0,0.0,152.0 | 3269.0 | 3359.0 | 3757.0 | 6532.0 | 9177.0,O95264 | P18825 | P31645 | P35367 | P46098 | Q12809,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL1189679,PALONOSETRON,Small molecule,4.0,195.0,43,8,CHEMBL1899 | CHEMBL1916 | CHEMBL2111332 | CHEMBL228 | CHEMBL231 | CHEMBL240 | CHEMBL3895 | CHEMBL612545,B | F,AC50 | IC50 | Kd | Ki,9.17,10.5,6,6,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
