pert_id,pert_iname,priority_rank,priority_tier_number,molecule_chembl_id,target_chembl_id,target_pref_name,target_type,target_organism,target_accessions,target_component_descriptions,target_evidence_source,minimum_pchembl_filter
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1075183,Potassium channel subfamily K member 2,SINGLE PROTEIN,Bos taurus,Q8HY88,Potassium channel subfamily K member 2,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1075310,Transient receptor potential cation channel subfamily A member 1,SINGLE PROTEIN,Mus musculus,Q8BLA8,Transient receptor potential cation channel subfamily A member 1,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293224,Microtubule-associated protein tau,SINGLE PROTEIN,Homo sapiens,P10636,Microtubule-associated protein tau,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293231,Nuclear receptor ROR-gamma,SINGLE PROTEIN,Mus musculus,P51450,Nuclear receptor ROR-gamma,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293232,Survival motor neuron protein,SINGLE PROTEIN,Homo sapiens,Q16637,Survival motor neuron protein,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293234,Fructose-bisphosphate aldolase,SINGLE PROTEIN,Giardia intestinalis,A8B2U2,Fructose-bisphosphate aldolase,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293235,Prelamin-A/C,SINGLE PROTEIN,Homo sapiens,P02545,Prelamin-A/C,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293237,RecQ-like DNA helicase BLM,SINGLE PROTEIN,Homo sapiens,P54132,RecQ-like DNA helicase BLM,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293238,Inositol monophosphatase 1,SINGLE PROTEIN,Rattus norvegicus,P97697,Inositol monophosphatase 1,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1293256,Thrombopoietin,SINGLE PROTEIN,Homo sapiens,P40225,Thrombopoietin,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1833,5-hydroxytryptamine receptor 2B,SINGLE PROTEIN,Homo sapiens,P41595,5-hydroxytryptamine receptor 2B,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1940,Voltage-dependent L-type calcium channel subunit alpha-1C,SINGLE PROTEIN,Homo sapiens,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL1963,Thyrotropin receptor,SINGLE PROTEIN,Homo sapiens,P16473,Thyrotropin receptor,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL2026,Beta-lactamase,SINGLE PROTEIN,Escherichia coli K-12,P00811,Beta-lactamase,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL2095177,Voltage-gated L-type calcium channel,PROTEIN FAMILY,Rattus norvegicus,P22002 | P27732 | Q02485,Voltage-dependent L-type calcium channel subunit alpha-1C | Voltage-dependent L-type calcium channel subunit alpha-1D | Voltage-dependent L-type calcium channel subunit alpha-1S,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL2095229,Voltage-gated L-type calcium channel,PROTEIN FAMILY,Homo sapiens,O60840 | Q01668 | Q13698 | Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C | Voltage-dependent L-type calcium channel subunit alpha-1D | Voltage-dependent L-type calcium channel subunit alpha-1F | Voltage-dependent L-type calcium channel subunit alpha-1S,ChEMBL_activity,5.0
BRD-A30977374,nifedipine,15,2,CHEMBL193,CHEMBL2097170,Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,PROTEIN-PROTEIN INTERACTION,Homo sapiens,Q00975 | Q02410,Amyloid-beta A4 precursor protein-binding family A member 1 | Voltage-dependent N-type calcium channel subunit alpha-1B,ChEMBL_activity,5.0
