priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,fda_application_record_found,fda_label_record_found,clinical_trial_record_found,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,canonical_smiles_pubchem,isomeric_smiles_pubchem,inchikey_pubchem,molecular_formula_pubchem,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions,pubchem_safety_annotation_found,hazard_statement_codes,severe_hazard_codes,high_concern_hazard_text_flag,pubchem_safety_annotation_text_chars,pains_evaluated,pains_flag,pains_filter_matches,safety_risk_score,safety_evidence_layers_n,safety_data_completeness,hard_safety_flag,translational_nonclinical_flag,safety_screening_recommendation,safety_screening_reasons,chembl_molecule_found,molecule_chembl_id,chembl_pref_name,chembl_molecule_type,chembl_max_phase,chembl_match_score,chembl_activity_record_n,chembl_target_n,chembl_target_ids,chembl_assay_types,chembl_standard_types,chembl_median_pchembl,chembl_max_pchembl,pubchem_target_accession_n,pubchem_target_gene_id_n,pubchem_target_support_note,target_evidence_strength_score,target_support_category,network_target_n,best_network_target,best_network_support_score,best_network_support_category,best_target_linked_resistance_gene_n,best_target_linked_resistance_genes,all_network_targets,integrated_target_network_score
15,2,Tier 2 — Consistent reversal,4,BRD-A30977374,nifedipine,-7.082452,-63.485985,-92.370224,3,3,1,-54.312887,-63.485985,-92.370224,-90.0,15,True,False,True,False,True,True,4485,Nifedipine,C17H18N2O6,346.3,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",HYIMSNHJOBLJNT-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,C17H18N2O6,,,,,,,,,,,True,H302 | H361,,True,33187,True,False,,3,2,LIMITED,True,False,CAUTION_MANUAL_REVIEW,high-concern PubChem safety annotation text,True,CHEMBL193,NIFEDIPINE,Small molecule,4.0,195.0,223,62,CHEMBL1075183 | CHEMBL1075310 | CHEMBL1293224 | CHEMBL1293231 | CHEMBL1293232 | CHEMBL1293234 | CHEMBL1293235 | CHEMBL1293237 | CHEMBL1293238 | CHEMBL1293256 | CHEMBL1833 | CHEMBL1940 | CHEMBL1963 | CHEMBL2026 | CHEMBL2095177 | CHEMBL2095229 | CHEMBL2097170 | CHEMBL2189159 | CHEMBL225 | CHEMBL226 | CHEMBL2321615 | CHEMBL2366456 | CHEMBL2367363 | CHEMBL2367407 | CHEMBL2428 | CHEMBL251 | CHEMBL256 | CHEMBL2830 | CHEMBL318 | CHEMBL3356 | CHEMBL3397 | CHEMBL340 | CHEMBL3491 | CHEMBL3577 | CHEMBL3622 | CHEMBL364 | CHEMBL369 | CHEMBL374 | CHEMBL376 | CHEMBL3762 | CHEMBL3879801 | CHEMBL3883313 | CHEMBL3885501 | CHEMBL395 | CHEMBL3988632 | CHEMBL4015 | CHEMBL4078 | CHEMBL4132 | CHEMBL4138 | CHEMBL4159 | CHEMBL4261 | CHEMBL4296516 | CHEMBL4296542 | CHEMBL4306 | CHEMBL4552 | CHEMBL5763 | CHEMBL612545 | CHEMBL613488 | CHEMBL613606 | CHEMBL613672 | CHEMBL613680 | CHEMBL614532,A | B | F | T,AC50 | EC50 | IC50 | Kd | Ki | Potency,7.02,9.83,0,0,,2,MODERATE_TARGET_SUPPORT,5.0,MAPT,8.0,STRONG_NETWORK_SUPPORT,4.0,CALML5 | EGFR | TUBA1A | TUBB6,BLM | LMNA | MAPT | SMN1 | THPO,10.0
71,2,Tier 2 — Consistent reversal,3,BRD-K08996725,zolantidine,-0.493305,-54.92739,-74.507706,3,3,0,-43.309467,-54.92739,-74.507706,-90.0,81,True,False,True,False,True,False,91769,N-(3-(3-(1-Piperidinylmethyl)phenoxy)propyl)-2-benzothiazolamine,C22H27N3OS,381.5,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,"InChI=1S/C22H27N3OS/c1-4-13-25(14-5-1)17-18-8-6-9-19(16-18)26-15-7-12-23-22-24-20-10-2-3-11-21(20)27-22/h2-3,6,8-11,16H,1,4-5,7,12-15,17H2,(H,23,24)",KUBONGDXTUOOLM-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,KUBONGDXTUOOLM-UHFFFAOYSA-N,C22H27N3OS,431.0,32.0,332.0,53.0,364.0,0.0879120879120879,6.0,1.0,1544.0 | 1565.0 | 1576.0 | 2475.0 | 25229.0 | 2593.0 | 27232.0 | 3176.0 | 4837.0 | 5409.0,AAI07878 | B45705 | NP_000097 | NP_000752 | NP_001020332 | NP_004949 | NP_059488 | NP_542951 | NP_652928 | P11086 | P21964 | P40261 | P50135 | Q14353 | Q14749,False,,,False,0,True,False,,2,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,active cytotoxicity/viability assay signal | elevated PubChem assay promiscuity,True,CHEMBL419296,ZOLANTIDINE,Small molecule,,105.0,8,5,CHEMBL276 | CHEMBL340 | CHEMBL4040 | CHEMBL4096 | CHEMBL4261,A | F,AC50 | Potency,5.1,5.4,15,10,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT,4.0,TP53,6.0,STRONG_NETWORK_SUPPORT,11.0,BTG2 | CALML5 | CD44 | CDKN2A | EGFR | GATA3 | IGF2 | PLK2 | RUNX3 | S100A1 | VIM,CYP3A4 | HIF1A | MAPK1 | TP53,9.0
34,2,Tier 2 — Consistent reversal,3,BRD-K85603128,resorcinol,-1.127555,-80.63106,-70.198425,3,3,0,-50.652347,-70.198425,-80.63106,-90.0,44,True,False,True,False,True,False,5054,Resorcinol,C6H6O2,110.11,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,GHMLBKRAJCXXBS-UHFFFAOYSA-N,C6H6O2,1668.0,37.0,1399.0,107.0,1436.0,0.0257660167130919,394.0,0.0,11238.0 | 1551.0 | 1576.0 | 2101.0 | 443551.0 | 760.0 | 763.0 | 771.0 | 836.0 | 840.0 | 8856.0,3AQT_A | 4E49_A | AAP35329 | ABI96208 | ADZ17378 | ADZ17384 | CAC88866 | NP_000756 | NP_059488 | O43570 | P00918 | P05979 | P35218 | Q2PCB5 | Q9Y2D0,True,H302 | H313 | H315 | H317 | H318 | H319 | H333 | H370 | H371 | H372 | H400 | H410,H370 | H372,True,169127,True,False,,4,4,GOOD,True,False,CAUTION_MANUAL_REVIEW,"specific-organ-toxicity GHS annotation H370,H372",True,CHEMBL24147,RESORCINOL,Small molecule,-1.0,195.0,15,10,CHEMBL1293235 | CHEMBL1795125 | CHEMBL205 | CHEMBL2949 | CHEMBL3242 | CHEMBL340 | CHEMBL3969 | CHEMBL4789 | CHEMBL612545 | CHEMBL614696,A | B | F,IC50 | Ki | Potency,5.15,8.06,15,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,7.0,CA12,4.0,MODERATE_NETWORK_SUPPORT,0.0,,CA12 | CA2 | CA5A | CA5B | CDCA7 | CYP3A4 | LMNA,8.0
75,2,Tier 2 — Consistent reversal,3,BRD-K01638814,rilmenidine,-22.415075,-53.919815,-65.84115,3,3,0,-47.392013,-53.919815,-65.84115,-90.0,85,True,False,True,False,True,False,68712,Rilmenidine,C10H16N2O,180.25,C1CC1C(C2CC2)NC3=NCCO3,C1CC1C(C2CC2)NC3=NCCO3,"InChI=1S/C10H16N2O/c1-2-7(1)9(8-3-4-8)12-10-11-5-6-13-10/h7-9H,1-6H2,(H,11,12)",CQXADFVORZEARL-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1CC1C(C2CC2)NC3=NCCO3,C1CC1C(C2CC2)NC3=NCCO3,CQXADFVORZEARL-UHFFFAOYSA-N,C10H16N2O,1431.0,60.0,1163.0,114.0,1223.0,0.0490596892886345,195.0,3.0,11188.0 | 148.0 | 150.0 | 151.0 | 152.0 | 1565.0 | 1576.0 | 24831.0 | 2908.0 | 306255.0 | 4128.0 | 4129.0 | 4986.0,ADP91253 | ANW61984 | B45705 | NP_000097 | NP_001020332 | NP_001257783 | NP_059488 | P08913 | P18089 | P18825 | P21397 | P27338 | P35348 | P41145 | Q4G017 | Q9Y2I1,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,repeated active cytotoxicity/viability assays,True,CHEMBL289480,RILMENIDINE,Small molecule,4.0,195.0,42,13,CHEMBL1867 | CHEMBL1916 | CHEMBL1942 | CHEMBL2095158 | CHEMBL229 | CHEMBL237 | CHEMBL289 | CHEMBL3397 | CHEMBL340 | CHEMBL3879801 | CHEMBL3923 | CHEMBL5221 | CHEMBL612545,A | B | F,AC50 | EC50 | Ki | Potency,6.4,7.95,16,13,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,7.0,ADRA2A,4.0,MODERATE_NETWORK_SUPPORT,0.0,,ADRA1A | ADRA2A | ADRA2B | ADRA2C | CYP2C9 | CYP2D6 | CYP3A4,8.0
78,2,Tier 2 — Consistent reversal,3,BRD-K09991945,GSK-3-inhibitor-II,-13.116282,-56.040085,-53.212753,3,3,0,-40.789707,-53.212753,-56.040085,-90.0,88,True,False,True,False,True,False,6539732,GSK-3 Inhibitor II,C14H10IN3OS,395.22,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,"InChI=1S/C14H10IN3OS/c15-12-3-1-2-10(8-12)9-20-14-18-17-13(19-14)11-4-6-16-7-5-11/h1-8H,9H2",ZRHRPGSSSVYBRG-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,C14H10IN3OS,646.0,21.0,44.0,0.0,65.0,0.3230769230769231,1.0,0.0,2669.0 | 2931.0 | 2932.0,NP_001139628 | NP_005252 | O95067 | P06493 | P14635 | P49840 | P49841 | Q8WWL7,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL5723360,,,,5.0,1,1,CHEMBL2334,F,Ki,9.17,9.17,8,3,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,1.0,CASP3,4.0,MODERATE_NETWORK_SUPPORT,4.0,EGFR | MAPT | PKP1 | VIM,CASP3,8.0
80,2,Tier 2 — Consistent reversal,3,BRD-K67439147,SIB-1893,-63.677235,-52.95844,-41.334583,3,3,0,-52.656753,-52.95844,-63.677235,-90.0,90,True,False,True,False,True,False,5311432,Sib 1893,C14H13N,195.26,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,"InChI=1S/C14H13N/c1-12-6-5-9-14(15-12)11-10-13-7-3-2-4-8-13/h2-11H,1H3/b11-10+",SISOFUCTXZKSOQ-ZHACJKMWSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,SISOFUCTXZKSOQ-ZHACJKMWSA-N,C14H13N,606.0,25.0,515.0,44.0,540.0,0.0462962962962962,70.0,0.0,10013.0 | 116160065.0 | 181263.0 | 20586.0 | 2101.0 | 24418.0 | 28989.0 | 2915.0 | 4864.0 | 79915.0 | 9367.0,AAH15051 | ADZ17378 | NP_000262 | NP_001024547 | NP_001137303 | NP_001167549 | NP_001243743 | NP_004242 | P08659 | P31424 | P41594 | Q9BV86 | Q9UBN7,True,H315 | H319 | H335,,False,6614,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL88612,,Small molecule,,5.0,10,7,CHEMBL1865 | CHEMBL2564 | CHEMBL3227 | CHEMBL5150 | CHEMBL5162 | CHEMBL5567 | CHEMBL612545,B | F,IC50 | Ki | Potency,5.779999999999999,6.54,13,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT,3.0,NPSR1,5.0,MODERATE_NETWORK_SUPPORT,8.0,RPL12 | RPL15 | RPL27A | RPLP1 | RPS12 | RPS2 | RPS29 | RPS3A,GRM5 | HDAC6 | NPSR1,8.0
3,1,Tier 1 — Strong consensus,5,BRD-K89687904,PKCbeta-inhibitor,-24.4503,-90.70964,-97.77263,3,3,2,-70.977523,-90.70964,-97.77263,-90.0,3,True,False,True,True,True,True,6419755,PKCbeta Inhibitor,C24H21N5O2,411.5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,"InChI=1S/C24H21N5O2/c30-23-21(22(24(31)27-23)26-17-7-2-1-3-8-17)19-15-29(20-10-5-4-9-18(19)20)13-6-12-28-14-11-25-16-28/h1-5,7-11,14-16H,6,12-13H2,(H2,26,27,30,31)",KIWODJBCHRADND-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,KIWODJBCHRADND-UHFFFAOYSA-N,C24H21N5O2,596.0,17.0,5.0,1.0,22.0,0.7727272727272727,0.0,0.0,1195.0 | 3718.0 | 5292.0 | 5578.0 | 5579.0 | 5581.0 | 7297.0 | 9748.0,NP_002639 | NP_055535 | NP_997700 | O60674 | P05771 | P17252 | P23458 | P29597 | P49759 | P52333 | Q02156,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL5715921,,,,5.0,9,7,CHEMBL2226 | CHEMBL2273 | CHEMBL3131 | CHEMBL3776 | CHEMBL4801 | CHEMBL5037 | CHEMBL5991,B | F,IC50,7.31,8.42,11,8,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,7.0,CASP8,3.0,MODERATE_NETWORK_SUPPORT,2.0,EGFR | VIM,CASP1 | CASP10 | CASP14 | CASP4 | CASP5 | CASP8 | CASP9,7.0
47,2,Tier 2 — Consistent reversal,3,BRD-K46441700,GR-55562,-12.65922,-85.61006,-60.974052,3,3,0,-53.081111,-60.974052,-85.61006,-90.0,57,True,False,True,False,True,False,128018,GR-55562,C23H25N3O2,375.5,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,"InChI=1S/C23H25N3O2/c1-26(2)15-3-4-19-16-20(7-10-22(19)27)23(28)25-21-8-5-17(6-9-21)18-11-13-24-14-12-18/h5-14,16,27H,3-4,15H2,1-2H3,(H,25,28)",ZAGAUUVCYGSPBP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O,ZAGAUUVCYGSPBP-UHFFFAOYSA-N,C23H25N3O2,316.0,23.0,243.0,49.0,266.0,0.0864661654135338,3.0,0.0,1544.0 | 1565.0 | 2593.0 | 27232.0 | 3176.0 | 3351.0 | 3352.0 | 4837.0 | 5409.0,B45705 | CAQ07474 | NP_000097 | NP_000752 | NP_000854 | NP_001020332 | P08908 | P11086 | P21964 | P28221 | P28222 | P40261 | P50135 | Q14353 | Q14749,False,,,False,0,True,False,,1,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,elevated PubChem assay promiscuity,True,CHEMBL119264,GR-55562,Small molecule,,105.0,11,6,CHEMBL1898 | CHEMBL1983 | CHEMBL214 | CHEMBL289 | CHEMBL340 | CHEMBL612545,A | B | F,AC50 | EC50 | Ki | Potency,5.9,7.92,15,9,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,5.0,CYP3A4,3.0,MODERATE_NETWORK_SUPPORT,1.0,HSD17B8,CYP2D6 | CYP3A4 | HTR1A | HTR1B | HTR1D,7.0
57,2,Tier 2 — Consistent reversal,3,BRD-K72816382,cinalukast,-2.396054,-59.528847,-63.2611,3,3,0,-41.728667,-59.528847,-63.2611,-90.0,67,True,False,True,False,True,False,6436135,Cinalukast,C23H28N2O3S,412.5,CCC(CC)(CC(=O)NC1=CC=CC(=C1)C=CC2=NC(=CS2)C3CCC3)C(=O)O,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,"InChI=1S/C23H28N2O3S/c1-3-23(4-2,22(27)28)14-20(26)24-18-10-5-7-16(13-18)11-12-21-25-19(15-29-21)17-8-6-9-17/h5,7,10-13,15,17H,3-4,6,8-9,14H2,1-2H3,(H,24,26)(H,27,28)/b12-11+",BZMKNPGKXJAIDV-VAWYXSNFSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CCC(CC)(CC(=O)NC1=CC=CC(=C1)C=CC2=NC(=CS2)C3CCC3)C(=O)O,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,BZMKNPGKXJAIDV-VAWYXSNFSA-N,C23H28N2O3S,675.0,41.0,464.0,95.0,505.0,0.0811881188118811,76.0,2.0,100135514.0 | 116160065.0 | 1544.0 | 1551.0 | 1559.0 | 1576.0 | 196.0 | 2100.0 | 4780.0 | 5468.0 | 8856.0,2O23_A | 2O23_B | AAA29795 | AAV31779 | AAY56401 | ABI96208 | ADZ17384 | AGS09764 | BAH02283 | EAL24281 | EAW99313 | NP_000756 | NP_006155 | NP_059488 | Q2NNR5,False,,,False,0,True,False,,4,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,repeated active cytotoxicity/viability assays | elevated PubChem assay promiscuity,True,CHEMBL283754,CINALUKAST,Small molecule,2.0,195.0,4,3,CHEMBL2093861 | CHEMBL340 | CHEMBL5645,A | B | F,Ki | Potency,5.2,8.19,15,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,3.0,CYP3A4,3.0,MODERATE_NETWORK_SUPPORT,1.0,HSD17B8,CYP3A4 | KMT2A | MEN1,7.0
82,2,Tier 2 — Consistent reversal,3,BRD-K08924299,palonosetron,-30.217133,-57.43039,-52.88507,3,3,0,-46.844198,-52.88507,-57.43039,-90.0,92,True,False,True,False,True,False,6337614,Palonosetron,C19H24N2O,296.4,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,"InChI=1S/C19H24N2O/c22-19-16-6-2-4-14-3-1-5-15(18(14)16)11-21(19)17-12-20-9-7-13(17)8-10-20/h2,4,6,13,15,17H,1,3,5,7-12H2/t15-,17-/m1/s1",CPZBLNMUGSZIPR-NVXWUHKLSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,CPZBLNMUGSZIPR-NVXWUHKLSA-N,C19H24N2O,153.0,45.0,7.0,0.0,52.0,0.8653846153846154,2.0,0.0,152.0 | 3269.0 | 3359.0 | 3757.0 | 6532.0 | 9177.0,O95264 | P18825 | P31645 | P35367 | P46098 | Q12809,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL1189679,PALONOSETRON,Small molecule,4.0,195.0,43,8,CHEMBL1899 | CHEMBL1916 | CHEMBL2111332 | CHEMBL228 | CHEMBL231 | CHEMBL240 | CHEMBL3895 | CHEMBL612545,B | F,AC50 | IC50 | Kd | Ki,9.17,10.5,6,6,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT,6.0,HTR3A,2.0,WEAK_NETWORK_SUPPORT,1.0,DEGS2,ADRA2C | HRH1 | HTR3A | HTR3B | KCNH2 | SLC6A4,6.0
