stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000005178,9606.ENSP00000385523,PDK4,PPARA,9606,0.74,0.0,0.0,0.0,0.049,0.0,0.0,0.738
9606.ENSP00000161559,9606.ENSP00000221992,CEACAM1,CEACAM5,9606,0.909,0.0,0.0,0.059,0.128,0.188,0.0,0.88
9606.ENSP00000188790,9606.ENSP00000361965,FAP,ADA,9606,0.891,0.0,0.0,0.0,0.067,0.292,0.0,0.849
9606.ENSP00000215832,9606.ENSP00000428924,MAPK1,LYN,9606,0.829,0.0,0.0,0.104,0.078,0.342,0.5,0.467
9606.ENSP00000215832,9606.ENSP00000351273,MAPK1,CASP8,9606,0.839,0.0,0.0,0.0,0.123,0.294,0.0,0.761
9606.ENSP00000215832,9606.ENSP00000330237,MAPK1,CASP9,9606,0.841,0.0,0.0,0.0,0.076,0.294,0.4,0.642
9606.ENSP00000215832,9606.ENSP00000239938,MAPK1,EGR1,9606,0.946,0.0,0.0,0.0,0.087,0.099,0.9,0.425
9606.ENSP00000215832,9606.ENSP00000340820,MAPK1,MAPT,9606,0.952,0.0,0.0,0.0,0.055,0.314,0.9,0.348
9606.ENSP00000215832,9606.ENSP00000386135,MAPK1,DAPK1,9606,0.956,0.0,0.0,0.0,0.042,0.385,0.9,0.354
9606.ENSP00000215832,9606.ENSP00000311032,MAPK1,CASP3,9606,0.961,0.0,0.0,0.0,0.1,0.045,0.9,0.599
9606.ENSP00000215832,9606.ENSP00000381185,MAPK1,BCL2,9606,0.969,0.0,0.0,0.0,0.086,0.292,0.9,0.586
9606.ENSP00000215832,9606.ENSP00000437955,MAPK1,HIF1A,9606,0.985,0.0,0.0,0.0,0.049,0.626,0.9,0.648
9606.ENSP00000215832,9606.ENSP00000269305,MAPK1,TP53,9606,0.998,0.0,0.0,0.0,0.045,0.806,0.9,0.912
9606.ENSP00000226218,9606.ENSP00000265132,VTN,AMBP,9606,0.737,0.0,0.0,0.0,0.376,0.0,0.0,0.596
9606.ENSP00000226218,9606.ENSP00000378431,VTN,MMRN1,9606,0.738,0.0,0.0,0.0,0.047,0.05,0.54,0.446
9606.ENSP00000226218,9606.ENSP00000233813,VTN,IGFBP5,9606,0.875,0.0,0.0,0.0,0.0,0.292,0.0,0.831
9606.ENSP00000226218,9606.ENSP00000252486,VTN,APOE,9606,0.989,0.0,0.0,0.0,0.139,0.045,0.0,0.988
9606.ENSP00000231004,9606.ENSP00000369530,LOX,ALOX15B,9606,0.826,0.0,0.0,0.0,0.0,0.091,0.0,0.817
9606.ENSP00000231004,9606.ENSP00000345008,LOX,FBLN5,9606,0.969,0.0,0.0,0.0,0.163,0.456,0.4,0.9
