target_symbol,target_is_resistance_gene,linked_resistance_gene_n,mean_string_score_to_resistance,max_string_score_to_resistance,network_support_score,network_support_category,linked_resistance_genes
ABCC4,False,0,,,0,NO_NETWORK_SUPPORT,
ADRA1A,False,0,,,0,NO_NETWORK_SUPPORT,
ADRA2A,True,0,,,4,MODERATE_NETWORK_SUPPORT,
ADRA2B,False,0,,,0,NO_NETWORK_SUPPORT,
ADRA2C,False,1,0.781,0.781,2,WEAK_NETWORK_SUPPORT,ADRA2A
ALDH1A1,False,3,0.8529999999999999,0.969,4,MODERATE_NETWORK_SUPPORT,CD44 | RBP1 | RDH10
BLM,False,0,,,0,NO_NETWORK_SUPPORT,
CA12,True,0,,,4,MODERATE_NETWORK_SUPPORT,
CA2,False,0,,,0,NO_NETWORK_SUPPORT,
CA5A,False,0,,,0,NO_NETWORK_SUPPORT,
CA5B,False,0,,,0,NO_NETWORK_SUPPORT,
CASP1,False,0,,,0,NO_NETWORK_SUPPORT,
CASP10,False,0,,,0,NO_NETWORK_SUPPORT,
CASP14,False,0,,,0,NO_NETWORK_SUPPORT,
CASP3,False,4,0.84825,0.98,4,MODERATE_NETWORK_SUPPORT,EGFR | MAPT | PKP1 | VIM
CASP4,False,0,,,0,NO_NETWORK_SUPPORT,
CASP5,False,0,,,0,NO_NETWORK_SUPPORT,
CASP8,False,2,0.7785,0.82,3,MODERATE_NETWORK_SUPPORT,EGFR | VIM
CASP9,False,1,0.753,0.753,2,WEAK_NETWORK_SUPPORT,EGFR
CCKAR,False,0,,,0,NO_NETWORK_SUPPORT,
CDCA7,False,0,,,0,NO_NETWORK_SUPPORT,
CYP1A2,False,0,,,0,NO_NETWORK_SUPPORT,
CYP2C9,False,0,,,0,NO_NETWORK_SUPPORT,
CYP2D6,False,0,,,0,NO_NETWORK_SUPPORT,
CYP3A4,False,1,0.921,0.921,3,MODERATE_NETWORK_SUPPORT,HSD17B8
DPP4,False,1,0.999,0.999,3,MODERATE_NETWORK_SUPPORT,ADA
DPP8,False,0,,,0,NO_NETWORK_SUPPORT,
DPP9,False,0,,,0,NO_NETWORK_SUPPORT,
FAP,False,1,0.891,0.891,2,WEAK_NETWORK_SUPPORT,ADA
FBXO44,False,0,,,0,NO_NETWORK_SUPPORT,
FOLH1,False,1,0.782,0.782,2,WEAK_NETWORK_SUPPORT,EGFR
GRM5,False,0,,,0,NO_NETWORK_SUPPORT,
HDAC6,False,4,0.86475,0.953,4,MODERATE_NETWORK_SUPPORT,DYSF | EGFR | MAPT | TUBA1A
HEMGN,False,0,,,0,NO_NETWORK_SUPPORT,
HIF1A,False,5,0.8324,0.956,5,MODERATE_NETWORK_SUPPORT,CDKN2A | EGFR | GATA3 | SIAH2 | SLC16A3
HPGD,False,1,0.723,0.723,2,WEAK_NETWORK_SUPPORT,PTGES
HRH1,False,0,,,0,NO_NETWORK_SUPPORT,
HRH2,False,0,,,0,NO_NETWORK_SUPPORT,
HSD17B10,False,0,,,0,NO_NETWORK_SUPPORT,
HTR1A,False,0,,,0,NO_NETWORK_SUPPORT,
HTR1B,False,1,0.842,0.842,2,WEAK_NETWORK_SUPPORT,S100A10
HTR1D,False,0,,,0,NO_NETWORK_SUPPORT,
HTR2A,False,0,,,0,NO_NETWORK_SUPPORT,
HTR3A,False,1,0.767,0.767,2,WEAK_NETWORK_SUPPORT,DEGS2
HTR3B,False,0,,,0,NO_NETWORK_SUPPORT,
KCNH2,False,1,0.855,0.855,2,WEAK_NETWORK_SUPPORT,KCND3
KMT2A,False,0,,,0,NO_NETWORK_SUPPORT,
LMNA,False,0,,,0,NO_NETWORK_SUPPORT,
MAPK1,False,4,0.8585,0.952,4,MODERATE_NETWORK_SUPPORT,CDKN2A | DUSP4 | MAPT | PLAAT3
MAPT,True,4,0.86375,0.978,8,STRONG_NETWORK_SUPPORT,CALML5 | EGFR | TUBA1A | TUBB6
MED10,False,0,,,0,NO_NETWORK_SUPPORT,
MEN1,False,0,,,0,NO_NETWORK_SUPPORT,
MMRN1,False,0,,,0,NO_NETWORK_SUPPORT,
NPSR1,False,8,0.8841249999999999,0.959,5,MODERATE_NETWORK_SUPPORT,RPL12 | RPL15 | RPL27A | RPLP1 | RPS12 | RPS2 | RPS29 | RPS3A
PIM1,False,0,,,0,NO_NETWORK_SUPPORT,
PTPN1,False,1,0.997,0.997,3,MODERATE_NETWORK_SUPPORT,EGFR
PTPN2,False,1,0.714,0.714,2,WEAK_NETWORK_SUPPORT,EGFR
SCN4A,False,2,0.8775,0.898,3,MODERATE_NETWORK_SUPPORT,CALML5 | NAV1
SLC47A1,False,0,,,0,NO_NETWORK_SUPPORT,
SLC6A4,False,1,0.716,0.716,2,WEAK_NETWORK_SUPPORT,ADRA2A
SLCO1B1,False,0,,,0,NO_NETWORK_SUPPORT,
SLCO1B3,False,0,,,0,NO_NETWORK_SUPPORT,
SMN1,False,0,,,0,NO_NETWORK_SUPPORT,
THPO,False,1,0.705,0.705,2,WEAK_NETWORK_SUPPORT,EGFR
TP53,False,11,0.8334545454545453,0.999,6,STRONG_NETWORK_SUPPORT,BTG2 | CALML5 | CD44 | CDKN2A | EGFR | GATA3 | IGF2 | PLK2 | RUNX3 | S100A1 | VIM
TSHR,False,0,,,0,NO_NETWORK_SUPPORT,
