target_symbol,resistance_gene,string_score,network_link_type
FAP,ADA,0.891,STRING_NETWORK_LINK
MAPK1,LYN,0.829,STRING_NETWORK_LINK
MAPK1,EGR1,0.946,STRING_NETWORK_LINK
MAPK1,DAPK1,0.956,STRING_NETWORK_LINK
MAPK1,BCL2,0.969,STRING_NETWORK_LINK
MMRN1,VTN,0.738,STRING_NETWORK_LINK
TP53,EGR1,0.969,STRING_NETWORK_LINK
HIF1A,TWIST1,0.799,STRING_NETWORK_LINK
TP53,TWIST1,0.967,STRING_NETWORK_LINK
MAPT,APOE,0.991,STRING_NETWORK_LINK
TP53,GDF15,0.762,STRING_NETWORK_LINK
FOLH1,FOLR1,0.817,STRING_NETWORK_LINK
CYP2C9,ALOX15B,0.907,STRING_NETWORK_LINK
CYP2C9,ALDH1A3,0.923,STRING_NETWORK_LINK
SLC6A4,ADRA2A,0.716,STRING_NETWORK_LINK
SLC6A4,MAOA,0.942,STRING_NETWORK_LINK
KCNH2,NOS1AP,0.752,STRING_NETWORK_LINK
KCNH2,RNF207,0.761,STRING_NETWORK_LINK
TP53,EPAS1,0.736,STRING_NETWORK_LINK
HIF1A,EPAS1,0.998,STRING_NETWORK_LINK
TP53,GATA3,0.724,STRING_NETWORK_LINK
TP53,GPX2,0.802,STRING_NETWORK_LINK
TP53,PGR,0.849,STRING_NETWORK_LINK
TP53,DAPK1,0.866,STRING_NETWORK_LINK
TP53,S100A4,0.996,STRING_NETWORK_LINK
TP53,BCL2,0.999,STRING_NETWORK_LINK
ADRA2C,ADRA2A,0.781,STRING_NETWORK_LINK
CCKAR,PCDH7,0.787,STRING_NETWORK_LINK
ALDH1A1,ALDH1A3,0.903,STRING_NETWORK_LINK
ALDH1A1,DHRS3,0.951,STRING_NETWORK_LINK
CASP1,NOD2,0.923,STRING_NETWORK_LINK
GRM5,CAMK2B,0.933,STRING_NETWORK_LINK
CASP3,DAPK1,0.717,STRING_NETWORK_LINK
CASP3,GPX2,0.769,STRING_NETWORK_LINK
CASP3,BCL2,0.987,STRING_NETWORK_LINK
PTPN2,NKX2-3,0.752,STRING_NETWORK_LINK
HTR1A,GNG4,0.71,STRING_NETWORK_LINK
HTR1A,MAOA,0.861,STRING_NETWORK_LINK
HIF1A,PGR,0.717,STRING_NETWORK_LINK
CASP9,BCL2,0.946,STRING_NETWORK_LINK
CYP1A2,ALDH1A3,0.925,STRING_NETWORK_LINK
CYP3A4,ALDH1A3,0.925,STRING_NETWORK_LINK
HTR1B,MAOA,0.734,STRING_NETWORK_LINK
HTR2A,MAOA,0.786,STRING_NETWORK_LINK
CYP3A4,MAOA,0.953,STRING_NETWORK_LINK
CYP2D6,MAOA,0.963,STRING_NETWORK_LINK
MAPT,MARK1,0.902,STRING_NETWORK_LINK
MAPT,CAMK2B,0.937,STRING_NETWORK_LINK
HTR3A,SHISA9,0.737,STRING_NETWORK_LINK
CASP8,BCL2,0.984,STRING_NETWORK_LINK
DPP4,CXCR4,0.985,STRING_NETWORK_LINK
DPP4,ADA,0.999,STRING_NETWORK_LINK
SCN4A,NAV1,0.898,STRING_NETWORK_LINK
HTR1B,GNG4,0.704,STRING_NETWORK_LINK
HTR1D,GNG4,0.706,STRING_NETWORK_LINK
HIF1A,GATA3,0.714,STRING_NETWORK_LINK
ADRA1A,CXCR4,0.795,STRING_NETWORK_LINK
CASP1,BCL2,0.817,STRING_NETWORK_LINK
HIF1A,BCL2,0.946,STRING_NETWORK_LINK
HIF1A,PPARA,0.761,STRING_NETWORK_LINK
HIF1A,CXCR4,0.915,STRING_NETWORK_LINK
THPO,KITLG,0.974,STRING_NETWORK_LINK
