consensus_rank,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau
1,BRD-K99447003,enalaprilat,-2.2494793,-94.18632,-95.63698,3,3,2,-64.02426,-94.18632,-95.63698
2,BRD-A81541225,oligomycin-a,-31.808538,-93.9972,-97.53348,3,3,2,-74.4464,-93.9972,-97.53348
3,BRD-K89687904,PKCbeta-inhibitor,-24.4503,-90.70964,-97.77263,3,3,2,-70.97752,-90.70964,-97.77263
4,BRD-K33483813,actarit,0.0,-98.7315,-94.041336,3,2,2,-64.25761,-94.041336,-98.7315
5,BRD-K45252063,clofibrate,0.0,-95.06695,-93.31658,3,2,2,-62.79451,-93.31658,-95.06695
6,BRD-K19416115,sitagliptin,0.0,-95.04602,-92.97872,3,2,2,-62.674915,-92.97872,-95.04602
7,BRD-K01976263,emetine,0.0,-96.723045,-91.63395,3,2,2,-62.785664,-91.63395,-96.723045
8,BRD-K98372770,L-2167,-4.3340383,-95.15143,-85.649376,3,3,1,-61.71162,-85.649376,-95.15143
9,BRD-K13356952,methazolamide,-19.686787,-95.77167,-85.611694,3,3,1,-67.023384,-85.611694,-95.77167
10,BRD-K22096725,ALW-II-49-7,-30.964382,-90.098976,-84.463036,3,3,1,-68.5088,-84.463036,-90.098976
11,BRD-K09859624,methantheline,-5.637197,-93.90965,-83.34844,3,3,1,-60.96509,-83.34844,-93.90965
12,BRD-K55420858,mirin,-17.979301,-91.8324,-80.71886,3,3,1,-63.51018,-80.71886,-91.8324
13,BRD-K74236984,UNC-0321,-16.522942,-78.77869,-91.15531,3,3,1,-62.152313,-78.77869,-91.15531
14,BRD-A48237631,mitomycin-c,-68.17052,-14.9456,-90.27484,3,3,1,-57.796986,-68.17052,-90.27484
15,BRD-A30977374,nifedipine,-7.0824523,-63.485985,-92.370224,3,3,1,-54.312885,-63.485985,-92.370224
16,BRD-U73238814,QL-XI-92,-1.1730272,-90.411026,-59.894768,3,3,1,-50.49294,-59.894768,-90.411026
17,BRD-A82238138,budesonide,-2.0436928,-51.70184,-93.93091,3,3,1,-49.22548,-51.70184,-93.93091
18,BRD-K55930204,phenytoin,-37.665825,-91.62154,-43.43479,3,3,1,-57.574055,-43.43479,-91.62154
19,BRD-A06352508,SB-218078,-2.3960536,-33.465538,-92.21864,3,3,1,-42.69341,-33.465538,-92.21864
20,BRD-K87426499,BRD-K87426499,0.0,-98.71467,-89.502975,3,2,1,-62.739216,-89.502975,-98.71467
21,BRD-A50454580,PD-0325901,0.0,-92.34772,-88.82858,3,2,1,-60.3921,-88.82858,-92.34772
22,BRD-K90885812,propantheline,0.0,-84.94934,-92.48811,3,2,1,-59.145817,-84.94934,-92.48811
23,BRD-K39187410,BRD-K39187410,0.7399577,-76.64527,-95.22302,3,2,1,-57.042774,-76.64527,-95.22302
24,BRD-K55462201,AM-404,0.0,-92.54888,-70.69331,3,2,1,-54.414062,-70.69331,-92.54888
25,BRD-K86873305,piperacillin,0.0,-90.123634,-70.28016,3,2,1,-53.46793,-70.28016,-90.123634
26,BRD-K88742110,PCI-34051,0.0,-90.8338,-49.909546,3,2,1,-46.914448,-49.909546,-90.8338
27,BRD-A37959677,estrone,0.0,-91.267944,-45.062786,3,2,1,-45.443577,-45.062786,-91.267944
28,BRD-K75478907,GS-39783,1.3742071,-90.20446,-31.642422,3,2,1,-40.15756,-31.642422,-90.20446
29,BRD-K78373679,Ro-3306,0.0,-4.0169134,-93.164406,3,2,1,-32.393772,-4.0169134,-93.164406
30,BRD-K93188295,ARC-239,-3.6230693,-86.81378,-89.50576,3,3,0,-59.98087,-86.81378,-89.50576
31,BRD-K59222562,BRD-K59222562,-22.267956,-89.29127,-86.78305,3,3,0,-66.11409,-86.78305,-89.29127
32,BRD-K52662033,lidocaine,-18.033361,-84.46893,-85.993546,3,3,0,-62.831944,-84.46893,-85.993546
33,BRD-K84141129,VU-0400193-3,-75.5129,-85.439865,-81.856476,3,3,0,-80.93641,-81.856476,-85.439865
34,BRD-K93095519,SJ-172550,-1.5386872,-81.85003,-88.01236,3,3,0,-57.133694,-81.85003,-88.01236
35,BRD-K94353609,fluocinolone,-77.6904,-79.7097,-63.414906,3,3,0,-73.605,-77.6904,-79.7097
36,BRD-K23875128,RHO-kinase-inhibitor-III[rockout],-39.11566,-75.69568,-82.66164,3,3,0,-65.824326,-75.69568,-82.66164
37,BRD-K56343971,vemurafenib,-0.45806906,-75.63464,-75.79654,3,3,0,-50.62975,-75.63464,-75.79654
38,BRD-A36010170,amcinonide,-4.827343,-74.5706,-80.699104,3,3,0,-53.36569,-74.5706,-80.699104
39,BRD-K48735772,PD-158780,-37.132057,-88.892075,-72.68061,3,3,0,-66.23492,-72.68061,-88.892075
40,BRD-K88677950,PD-198306,-2.60747,-72.456375,-75.62855,3,3,0,-50.2308,-72.456375,-75.62855
41,BRD-A22380646,pantoprazole,-7.7232695,-83.76643,-71.78507,3,3,0,-54.424927,-71.78507,-83.76643
42,BRD-K48923948,BMS-641988,-1.5856236,-76.76162,-71.08273,3,3,0,-49.809994,-71.08273,-76.76162
43,BRD-K22009844,phenprobamate,-1.5856236,-70.626915,-74.363754,3,3,0,-48.85876,-70.626915,-74.363754
44,BRD-K85603128,resorcinol,-1.1275547,-80.63106,-70.198425,3,3,0,-50.652344,-70.198425,-80.63106
45,BRD-K49865102,PD-0325901,-0.070472166,-85.03055,-69.95741,3,3,0,-51.686142,-69.95741,-85.03055
46,BRD-K16508793,diazepam,-18.38874,-68.46609,-76.20201,3,3,0,-54.352276,-68.46609,-76.20201
47,BRD-K89046952,ciclacillin,-2.4312897,-66.9463,-78.14059,3,3,0,-49.172726,-66.9463,-78.14059
48,BRD-A17448384,beclometasone,-25.780113,-66.75397,-69.12497,3,3,0,-53.886353,-66.75397,-69.12497
49,BRD-A94793051,gestrinone,-12.377667,-65.46309,-73.0588,3,3,0,-50.29985,-65.46309,-73.0588
50,BRD-K68558722,deracoxib,-0.10570825,-65.361244,-67.60476,3,3,0,-44.35724,-65.361244,-67.60476
