rank,pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,weakest_connectivity,sd_connectivity,n_cells,cell_lines,doses,times,n_negative_signatures
1,BRD-A89434049,sarmentogenin,1,-0.43220383,-0.43220383,-0.43220383,-0.43220383,0.0,1,VCAP,10 �M,6 h,1
2,BRD-K47192521,icosapent,2,-0.409799515,-0.409799515,-0.44424248,-0.37535655,0.04870970823134182,1,VCAP,10 �M,24 h;6 h,2
3,BRD-K60160658,tiagabine,3,-0.40944988,-0.36380036666666665,-0.42212814,-0.25982308,0.09026982705244613,2,HA1E;VCAP,10 �M,24 h;6 h,3
4,BRD-K84141129,VU-0400193-3,5,-0.3987685,-0.339441388,-0.40515444,-0.19547093,0.09331583345679913,4,A549;HCC515;PC3;VCAP,10 �M,24 h;6 h,5
5,BRD-A84045418,calpeptin,3,-0.39725196,-0.3623172133333334,-0.39951766,-0.29018202,0.062481180663064746,3,A375;HA1E;VCAP,10 �M,24 h,3
6,BRD-A25576662,streptozotocin,3,-0.38222232,-0.36942918999999996,-0.40596503,-0.32010022,0.044338916658864164,3,HT29;MCF7;VCAP,10 �M,24 h;6 h,3
7,BRD-K64314806,BRD-K64314806,3,-0.37951207,-0.3642856666666667,-0.40101987,-0.31232506,0.04626634683099619,3,A375;A549;VCAP,10 �M,6 h,3
8,BRD-K49328571,dasatinib,1,-0.37518686,-0.37518686,-0.37518686,-0.37518686,0.0,1,A375,10 �M,6 h,1
9,BRD-K05977823,tenovin-1,1,-0.37203526,-0.37203526,-0.37203526,-0.37203526,0.0,1,VCAP,10 �M,24 h,1
10,BRD-K89210380,biotin,3,-0.3697036,-0.33226124333333334,-0.3760119,-0.25106823,0.0703859199189201,3,HA1E;HCC515;VCAP,10 �M,6 h,3
11,BRD-K82561139,ricinine,3,-0.36830506,-0.3422102333333334,-0.37164164,-0.286684,0.04811605898933259,3,A375;HCC515;MCF7,10 �M,24 h;6 h,3
12,BRD-A67433117,NCS-382,2,-0.36601693,-0.36601693,-0.430901,-0.30113286,0.09175993177596527,2,HCC515;PC3,10 �M,24 h;6 h,2
13,BRD-M16762496,PIK-75,1,-0.36496222,-0.36496222,-0.36496222,-0.36496222,0.0,1,VCAP,10 �M,24 h,1
14,BRD-K32795028,1-benzylimidazole,7,-0.36466455,-0.32388899571428575,-0.41059113,-0.24181642,0.0731969827488781,5,HEPG2;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,7
15,BRD-K05434375,HA-1004,1,-0.3644723,-0.3644723,-0.3644723,-0.3644723,0.0,1,HCC515,10 �M,24 h,1
16,BRD-K40782193,QX-222,5,-0.36403942,-0.31725623999999997,-0.4129371,-0.20287597,0.08981431198398702,3,A549;MCF7;VCAP,10 �M,24 h;6 h,5
17,BRD-K14993104,bemegride,4,-0.36251445000000004,-0.3428867625,-0.39716738,-0.24935077,0.06488787387105208,4,HA1E;HCC515;PC3;VCAP,10 �M,24 h;6 h,4
18,BRD-K19220233,JNK-9L,2,-0.362010575,-0.362010575,-0.39607805,-0.3279431,0.048178685180806376,1,MCF7,500 nM,24 h;6 h,2
19,BRD-A98299281,"hydroxytacrine-maleate-(r,s)",2,-0.36166313000000005,-0.36166313000000005,-0.45587912,-0.26744714,0.1332415308504079,2,HCC515;VCAP,10 �M,6 h,2
20,BRD-A52172093,VU-0413807-2,1,-0.3610201,-0.3610201,-0.3610201,-0.3610201,0.0,1,VCAP,10 �M,24 h,1
21,BRD-A03816571,CP-55940,1,-0.36076412,-0.36076412,-0.36076412,-0.36076412,0.0,1,HA1E,10 �M,6 h,1
22,BRD-K52620403,STO-609,6,-0.3607294,-0.34976819833333334,-0.45407924,-0.24518174,0.07381576525658687,5,A549;HA1E;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
23,BRD-K20714604,RS-56812,1,-0.3597588,-0.3597588,-0.3597588,-0.3597588,0.0,1,HCC515,10 �M,6 h,1
24,BRD-K55430733,WAY-629,4,-0.359637815,-0.3681430625,-0.40888578,-0.34441084,0.028140666228271095,4,A375;A549;PC3;VCAP,10 �M,24 h;6 h,4
25,BRD-A26032986,zaldaride,3,-0.35902104,-0.3322716766666667,-0.41630787,-0.22148612,0.1001275431503222,2,A549;HEPG2,10 �M,24 h;6 h,3
26,BRD-K71035033,masitinib,4,-0.3573404,-0.329439775,-0.37585294,-0.22722536,0.06871314682041252,4,HCC515;HT29;MCF7;PC3,10 �M,6 h,4
27,BRD-A31107743,brefeldin-a,2,-0.35710816,-0.35710816,-0.38678154,-0.32743478,0.04196449643745057,2,A375;HEPG2,100 nM,6 h,2
