pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-A89434049,sarmentogenin,1,-0.43220383,-0.43220383,-0.43220383,-0.43220383,1
BRD-K47192521,icosapent,2,-0.409799515,-0.409799515,-0.44424248,-0.37535655,2
BRD-K60160658,tiagabine,3,-0.40944988,-0.36380036666666665,-0.42212814,-0.25982308,3
BRD-K84141129,VU-0400193-3,5,-0.3987685,-0.339441388,-0.40515444,-0.19547093,5
BRD-A84045418,calpeptin,3,-0.39725196,-0.3623172133333334,-0.39951766,-0.29018202,3
BRD-A25576662,streptozotocin,3,-0.38222232,-0.36942918999999996,-0.40596503,-0.32010022,3
BRD-K64314806,BRD-K64314806,3,-0.37951207,-0.3642856666666667,-0.40101987,-0.31232506,3
BRD-K49328571,dasatinib,1,-0.37518686,-0.37518686,-0.37518686,-0.37518686,1
BRD-K05977823,tenovin-1,1,-0.37203526,-0.37203526,-0.37203526,-0.37203526,1
BRD-K89210380,biotin,3,-0.3697036,-0.33226124333333334,-0.3760119,-0.25106823,3
BRD-K82561139,ricinine,3,-0.36830506,-0.3422102333333334,-0.37164164,-0.286684,3
BRD-A67433117,NCS-382,2,-0.36601693,-0.36601693,-0.430901,-0.30113286,2
BRD-M16762496,PIK-75,1,-0.36496222,-0.36496222,-0.36496222,-0.36496222,1
BRD-K32795028,1-benzylimidazole,7,-0.36466455,-0.32388899571428575,-0.41059113,-0.24181642,7
BRD-K05434375,HA-1004,1,-0.3644723,-0.3644723,-0.3644723,-0.3644723,1
BRD-K40782193,QX-222,5,-0.36403942,-0.31725623999999997,-0.4129371,-0.20287597,5
BRD-K14993104,bemegride,4,-0.36251445000000004,-0.3428867625,-0.39716738,-0.24935077,4
BRD-K19220233,JNK-9L,2,-0.362010575,-0.362010575,-0.39607805,-0.3279431,2
BRD-A98299281,"hydroxytacrine-maleate-(r,s)",2,-0.36166313000000005,-0.36166313000000005,-0.45587912,-0.26744714,2
BRD-A52172093,VU-0413807-2,1,-0.3610201,-0.3610201,-0.3610201,-0.3610201,1
BRD-A03816571,CP-55940,1,-0.36076412,-0.36076412,-0.36076412,-0.36076412,1
BRD-K52620403,STO-609,6,-0.3607294,-0.34976819833333334,-0.45407924,-0.24518174,6
BRD-K20714604,RS-56812,1,-0.3597588,-0.3597588,-0.3597588,-0.3597588,1
