query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,HOG003_MCF7_24H:BRD-A73680854-001-01-3:0.0412,BRD-A73680854,PT-630,trt_cp,MCF7,10 nM,24 h,1,0,-0.5202585
ATLAS_SIG_B_TOP100,CGS001_MCF7_144H:TMCO1:2,CGS001-54499,TMCO1,trt_sh.cgs,MCF7,2 �L,144 h,1,0,-0.5060824
ATLAS_SIG_B_TOP100,CGS001_HT29_96H:ATF3:1,CGS001-467,ATF3,trt_sh.cgs,HT29,1 �L,96 h,1,1,-0.5050091
ATLAS_SIG_B_TOP100,CPC001_VCAP_6H:BRD-K27871032-001-04-2:10,BRD-K27871032,lysergol,trt_cp,VCAP,10 �M,6 h,1,1,-0.5028757
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:GIT2:5,CGS001-9815,GIT2,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.48734567
ATLAS_SIG_B_TOP100,OEB005_HT29_96H:BRDN0000410814:-666,ccsbBroad304_00424,DBI,trt_oe,HT29,2 �L,96 h,1,1,-0.48634636
ATLAS_SIG_B_TOP100,HDAC002_MCF7_24H:BRD-K88742110-001-01-2:0.078125,BRD-K88742110,PCI-34051,trt_cp,MCF7,100 nM,24 h,1,0,-0.4860838
ATLAS_SIG_B_TOP100,CGS001_A375_96H:CFD:1,CGS001-1675,CFD,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.4858914
ATLAS_SIG_B_TOP100,OEB003_HT29_96H:BRDN0000404725:-666,ccsbBroad304_00774,HOXA10,trt_oe,HT29,2 �L,96 h,1,1,-0.48080707
ATLAS_SIG_B_TOP100,CGS001_A375_96H:SPTLC2:1,CGS001-9517,SPTLC2,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.48068702
ATLAS_SIG_B_TOP100,CGS001_PC3_96H:UBA52:2,CGS001-7311,UBA52,trt_sh.cgs,PC3,2 �L,96 h,1,1,-0.48061138
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:PLA2G2A:5,CGS001-5320,PLA2G2A,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.4784428
ATLAS_SIG_B_TOP100,CPC014_PC3_24H:BRD-A96799240-001-01-7:10,BRD-A96799240,4-hydroxyretinoic-acid,trt_cp,PC3,10 �M,24 h,1,0,-0.47815692
ATLAS_SIG_B_TOP100,CGS001_HT29_96H:ATP5C1:1,CGS001-509,ATP5C1,trt_sh.cgs,HT29,1 �L,96 h,1,1,-0.4773481
ATLAS_SIG_B_TOP100,CPC002_PC3_6H:BRD-K97440753-066-03-3:10,BRD-K97440753,dihydroergocristine,trt_cp,PC3,10 �M,6 h,1,0,-0.47641116
ATLAS_SIG_B_TOP100,CGS001_A375_96H:ALAS1:1,CGS001-211,ALAS1,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.47556692
ATLAS_SIG_B_TOP100,CGS001_A549_96H:SLC6A8:1,CGS001-6535,SLC6A8,trt_sh.cgs,A549,1 �L,96 h,1,1,-0.47535923
ATLAS_SIG_B_TOP100,CGS001_PC3_144H:CXCR4:2,CGS001-7852,CXCR4,trt_sh.cgs,PC3,2 �L,144 h,1,0,-0.4744737
ATLAS_SIG_B_TOP100,CPC003_VCAP_24H:BRD-K63504947-001-05-5:10,BRD-K63504947,semaxanib,trt_cp,VCAP,10 �M,24 h,1,0,-0.4742336
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:NFRKB:5,CGS001-4798,NFRKB,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.47393745
ATLAS_SIG_B_TOP100,CPD001_MCF7_6H:BRD-K55044200-001-09-6:10,BRD-K55044200,amoxicillin,trt_cp,MCF7,10 �M,6 h,1,0,-0.47216812
ATLAS_SIG_B_TOP100,CGS001_A375_96H:DNAJC15:1,CGS001-29103,DNAJC15,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.47197634
ATLAS_SIG_B_TOP100,CGS001_HT29_96H:ETS1:1,CGS001-2113,ETS1,trt_sh.cgs,HT29,1 �L,96 h,1,1,-0.47169983
ATLAS_SIG_B_TOP100,CPC017_A549_24H:BRD-K46142322-003-01-6:10,BRD-K46142322,RS-67333,trt_cp,A549,10 �M,24 h,1,0,-0.47135854
ATLAS_SIG_B_TOP100,CPC020_PC3_24H:BRD-K67511046-003-11-0:10,BRD-K67511046,naloxone,trt_cp,PC3,10 �M,24 h,1,0,-0.46851033
ATLAS_SIG_B_TOP100,CPC020_MCF7_6H:BRD-K66788707-001-07-7:10,BRD-K66788707,fludarabine,trt_cp,MCF7,10 �M,6 h,1,0,-0.46784842
ATLAS_SIG_B_TOP100,CPC013_MCF7_24H:F05,DMSO,DMSO,ctl_vehicle,MCF7,-666,24 h,1,0,-0.4657002
ATLAS_SIG_B_TOP100,CGS001_HEPG2_96H:TBL3:1.5,CGS001-10607,TBL3,trt_sh.cgs,HEPG2,1.5 �L,96 h,1,1,-0.4653077
ATLAS_SIG_B_TOP100,OEB006_HEPG2_96H:BRDN0000460547:-666,ccsbBroad304_01371,RALA,trt_oe,HEPG2,2 �L,96 h,1,1,-0.46520692
ATLAS_SIG_B_TOP100,CGS001_HCC515_96H:BCL2A1:2,CGS001-597,BCL2A1,trt_sh.cgs,HCC515,2 �L,96 h,1,1,-0.46497935
ATLAS_SIG_B_TOP100,CGS001_HT29_96H:TWIST2:1,CGS001-117581,TWIST2,trt_sh.cgs,HT29,1 �L,96 h,1,1,-0.46488568
ATLAS_SIG_B_TOP100,CGS001_A375_96H:ASF1A:1,CGS001-25842,ASF1A,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.4646351
ATLAS_SIG_B_TOP100,CPC002_HA1E_6H:BRD-K78959463-001-05-8:10,BRD-K78959463,FPL-64176,trt_cp,HA1E,10 �M,6 h,1,0,-0.46365154
ATLAS_SIG_B_TOP100,CGS001_A375_96H:BCL10:1,CGS001-8915,BCL10,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.4633692
ATLAS_SIG_B_TOP100,CPC004_PC3_24H:BRD-A90490067-001-01-9:10,BRD-A90490067,fulvestrant,trt_cp,PC3,10 �M,24 h,1,0,-0.46315756
ATLAS_SIG_B_TOP100,CGS001_HEPG2_96H:NNT:1.5,CGS001-23530,NNT,trt_sh.cgs,HEPG2,1.5 �L,96 h,1,1,-0.46302527
ATLAS_SIG_B_TOP100,CGS001_MCF7_96H:HOXA6:2,CGS001-3203,HOXA6,trt_sh.cgs,MCF7,2 �L,96 h,1,1,-0.46293366
ATLAS_SIG_B_TOP100,CPC020_VCAP_24H:BRD-A09472452-015-19-2:10,BRD-A09472452,flecainide,trt_cp,VCAP,10 �M,24 h,1,0,-0.46284658
ATLAS_SIG_B_TOP100,HOG003_MCF7_6H:BRD-A73680854-001-01-3:0.1234,BRD-A73680854,PT-630,trt_cp,MCF7,100 nM,6 h,1,0,-0.46214128
ATLAS_SIG_B_TOP100,CGS001_A375_96H:SUOX:1,CGS001-6821,SUOX,trt_sh.cgs,A375,1 �L,96 h,1,1,-0.46091306
ATLAS_SIG_B_TOP100,CGS001_MCF7_96H:PNRC1:2,CGS001-10957,PNRC1,trt_sh.cgs,MCF7,2 �L,96 h,1,1,-0.4603847
ATLAS_SIG_B_TOP100,OEB004_MCF7_96H:BRDN0000407843:-666,ccsbBroad304_04383,PCGF5,trt_oe,MCF7,2 �L,96 h,1,1,-0.4599337
ATLAS_SIG_B_TOP100,CPC009_VCAP_24H:BRD-A57457122-001-01-2:10,BRD-A57457122,VU-0400071-3,trt_cp,VCAP,10 �M,24 h,1,0,-0.4586764
ATLAS_SIG_B_TOP100,CPC014_A375_6H:BRD-K56343971-001-01-5:10,BRD-K56343971,vemurafenib,trt_cp,A375,10 �M,6 h,1,0,-0.4580104
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:ELL3:5,CGS001-80237,ELL3,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.45726484
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A98299281-050-04-7:10,BRD-A98299281,"hydroxytacrine-maleate-(r,s)",trt_cp,VCAP,10 �M,6 h,1,0,-0.45587912
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:ADCY9:5,CGS001-115,ADCY9,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.45585662
ATLAS_SIG_B_TOP100,CGS001_VCAP_120H:CLK3:5,CGS001-1198,CLK3,trt_sh.cgs,VCAP,5 �L,120 h,1,0,-0.45430204
ATLAS_SIG_B_TOP100,CPC002_HA1E_6H:BRD-K52620403-015-02-6:10,BRD-K52620403,STO-609,trt_cp,HA1E,10 �M,6 h,1,1,-0.45407924
ATLAS_SIG_B_TOP100,OEB004_VCAP_96H:BRDN0000408568:-666,ccsbBroad304_01380,RBBP7,trt_oe,VCAP,3 �L,96 h,1,1,-0.4538678
ATLAS_SIG_B_TOP100,OEB005_HEPG2_96H:BRDN0000410291:-666,ccsbBroad304_01025,ALDH6A1,trt_oe,HEPG2,2 �L,96 h,1,1,-0.453492
