query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-K33483813,actarit,trt_cp,-98.7315
ATLAS_SIG_B_TOP100,BRD-K87426499,BRD-K87426499,trt_cp,-98.71467
ATLAS_SIG_B_TOP100,BRD-K01976263,emetine,trt_cp,-96.723045
ATLAS_SIG_B_TOP100,BRD-K13356952,methazolamide,trt_cp,-95.77167
ATLAS_SIG_B_TOP100,BRD-K98372770,L-2167,trt_cp,-95.15143
ATLAS_SIG_B_TOP100,BRD-K45252063,clofibrate,trt_cp,-95.06695
ATLAS_SIG_B_TOP100,BRD-K19416115,sitagliptin,trt_cp,-95.04602
ATLAS_SIG_B_TOP100,BRD-K99447003,enalaprilat,trt_cp,-94.18632
ATLAS_SIG_B_TOP100,BRD-A81541225,oligomycin-a,trt_cp,-93.9972
ATLAS_SIG_B_TOP100,BRD-K09859624,methantheline,trt_cp,-93.90965
ATLAS_SIG_B_TOP100,BRD-K55462201,AM-404,trt_cp,-92.54888
ATLAS_SIG_B_TOP100,BRD-A50454580,PD-0325901,trt_cp,-92.34772
ATLAS_SIG_B_TOP100,BRD-K55420858,mirin,trt_cp,-91.8324
ATLAS_SIG_B_TOP100,BRD-K55930204,phenytoin,trt_cp,-91.62154
ATLAS_SIG_B_TOP100,BRD-A37959677,estrone,trt_cp,-91.267944
ATLAS_SIG_B_TOP100,BRD-K88742110,PCI-34051,trt_cp,-90.8338
ATLAS_SIG_B_TOP100,BRD-K89687904,PKCbeta-inhibitor,trt_cp,-90.70964
ATLAS_SIG_B_TOP100,BRD-U73238814,QL-XI-92,trt_cp,-90.411026
ATLAS_SIG_B_TOP100,BRD-K75478907,GS-39783,trt_cp,-90.20446
ATLAS_SIG_B_TOP100,BRD-K86873305,piperacillin,trt_cp,-90.123634
ATLAS_SIG_B_TOP100,BRD-K22096725,ALW-II-49-7,trt_cp,-90.098976
ATLAS_SIG_B_TOP100,BRD-K98521173,desoxycortone,trt_cp,-89.82852
ATLAS_SIG_B_TOP100,BRD-K67261995,adipiodone,trt_cp,-89.485275
ATLAS_SIG_B_TOP100,BRD-A07395371,esmolol,trt_cp,-89.37271
ATLAS_SIG_B_TOP100,BRD-K59222562,BRD-K59222562,trt_cp,-89.29127
ATLAS_SIG_B_TOP100,BRD-A54029483,IRL-2500,trt_cp,-88.94139
ATLAS_SIG_B_TOP100,BRD-K48735772,PD-158780,trt_cp,-88.892075
ATLAS_SIG_B_TOP100,BRD-K47328134,lysylphenylalanyl-tyrosine,trt_cp,-88.27896
ATLAS_SIG_B_TOP100,BRD-A36267905,buphenine,trt_cp,-87.35025
ATLAS_SIG_B_TOP100,BRD-K93188295,ARC-239,trt_cp,-86.81378
ATLAS_SIG_B_TOP100,BRD-K73589491,nizatidine,trt_cp,-86.64081
ATLAS_SIG_B_TOP100,BRD-K80527266,triacsin-c,trt_cp,-86.06775
ATLAS_SIG_B_TOP100,BRD-K34098590,tienilic-acid,trt_cp,-85.91019
ATLAS_SIG_B_TOP100,BRD-K46441700,GR-55562,trt_cp,-85.61006
ATLAS_SIG_B_TOP100,BRD-K84141129,VU-0400193-3,trt_cp,-85.439865
ATLAS_SIG_B_TOP100,BRD-A69636825,diltiazem,trt_cp,-85.20731
ATLAS_SIG_B_TOP100,BRD-K49865102,PD-0325901,trt_cp,-85.03055
ATLAS_SIG_B_TOP100,BRD-K90885812,propantheline,trt_cp,-84.94934
ATLAS_SIG_B_TOP100,BRD-K18895904,olanzapine,trt_cp,-84.90932
ATLAS_SIG_B_TOP100,BRD-K99107520,felbamate,trt_cp,-84.81013
ATLAS_SIG_B_TOP100,BRD-K50938287,sumatriptan,trt_cp,-84.55716
ATLAS_SIG_B_TOP100,BRD-K52662033,lidocaine,trt_cp,-84.46893
ATLAS_SIG_B_TOP100,BRD-K23566484,nilutamide,trt_cp,-83.79942
ATLAS_SIG_B_TOP100,BRD-A22380646,pantoprazole,trt_cp,-83.76643
ATLAS_SIG_B_TOP100,BRD-K33425534,exemestane,trt_cp,-83.68401
ATLAS_SIG_B_TOP100,BRD-A62184259,cycloheximide,trt_cp,-83.09422
ATLAS_SIG_B_TOP100,BRD-K01779529,fluoropyruvate,trt_cp,-82.97991
ATLAS_SIG_B_TOP100,BRD-K80778372,Ro-19-4605,trt_cp,-81.982765
ATLAS_SIG_B_TOP100,BRD-K49519092,immethridine,trt_cp,-81.91991
ATLAS_SIG_B_TOP100,BRD-K93095519,SJ-172550,trt_cp,-81.85003
ATLAS_SIG_B_TOP100,BRD-K57930253,nitrazepam,trt_cp,-81.4769
ATLAS_SIG_B_TOP100,BRD-K60476892,YC-1,trt_cp,-81.12747
ATLAS_SIG_B_TOP100,BRD-K55591206,epigallocatechin-gallate-(-),trt_cp,-80.946304
ATLAS_SIG_B_TOP100,BRD-K85603128,resorcinol,trt_cp,-80.63106
ATLAS_SIG_B_TOP100,BRD-K32795028,1-benzylimidazole,trt_cp,-80.62637
ATLAS_SIG_B_TOP100,BRD-K66876909,linezolid,trt_cp,-80.61222
ATLAS_SIG_B_TOP100,BRD-A99177642,deltaline,trt_cp,-80.44774
ATLAS_SIG_B_TOP100,BRD-K47635719,dexamethasone,trt_cp,-80.42497
ATLAS_SIG_B_TOP100,BRD-K53959060,indirubin,trt_cp,-80.276474
ATLAS_SIG_B_TOP100,BRD-K94353609,fluocinolone,trt_cp,-79.7097
ATLAS_SIG_B_TOP100,BRD-K05926469,lenalidomide,trt_cp,-78.98073
ATLAS_SIG_B_TOP100,BRD-K74236984,UNC-0321,trt_cp,-78.77869
ATLAS_SIG_B_TOP100,BRD-K78838262,austricine,trt_cp,-78.11801
ATLAS_SIG_B_TOP100,BRD-K55430733,WAY-629,trt_cp,-78.02915
ATLAS_SIG_B_TOP100,BRD-A14985772,L-ascorbyl-6-palmitate,trt_cp,-77.96875
ATLAS_SIG_B_TOP100,BRD-K41260949,valproic-acid,trt_cp,-77.66442
ATLAS_SIG_B_TOP100,BRD-K05673000,dicloxacillin,trt_cp,-77.3276
ATLAS_SIG_B_TOP100,BRD-A91555231,norepinephrine,trt_cp,-77.281006
ATLAS_SIG_B_TOP100,BRD-A30815329,felodipine,trt_cp,-76.98053
ATLAS_SIG_B_TOP100,BRD-K48923948,BMS-641988,trt_cp,-76.76162
ATLAS_SIG_B_TOP100,BRD-K22429181,retinol,trt_cp,-76.66814
ATLAS_SIG_B_TOP100,BRD-K39187410,BRD-K39187410,trt_cp,-76.64527
