query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-K33483813,actarit,trt_cp,-98.7315
ATLAS_SIG_B_TOP100,BRD-K87426499,BRD-K87426499,trt_cp,-98.71467
ATLAS_SIG_B_TOP100,BRD-K01976263,emetine,trt_cp,-96.723045
ATLAS_SIG_B_TOP100,BRD-K13356952,methazolamide,trt_cp,-95.77167
ATLAS_SIG_B_TOP100,BRD-K98372770,L-2167,trt_cp,-95.15143
ATLAS_SIG_B_TOP100,BRD-K45252063,clofibrate,trt_cp,-95.06695
ATLAS_SIG_B_TOP100,BRD-K19416115,sitagliptin,trt_cp,-95.04602
ATLAS_SIG_B_TOP100,BRD-K99447003,enalaprilat,trt_cp,-94.18632
ATLAS_SIG_B_TOP100,BRD-A81541225,oligomycin-a,trt_cp,-93.9972
ATLAS_SIG_B_TOP100,BRD-K09859624,methantheline,trt_cp,-93.90965
ATLAS_SIG_B_TOP100,BRD-K55462201,AM-404,trt_cp,-92.54888
ATLAS_SIG_B_TOP100,BRD-A50454580,PD-0325901,trt_cp,-92.34772
ATLAS_SIG_B_TOP100,BRD-K55420858,mirin,trt_cp,-91.8324
ATLAS_SIG_B_TOP100,BRD-K55930204,phenytoin,trt_cp,-91.62154
ATLAS_SIG_B_TOP100,BRD-A37959677,estrone,trt_cp,-91.267944
ATLAS_SIG_B_TOP100,BRD-K88742110,PCI-34051,trt_cp,-90.8338
ATLAS_SIG_B_TOP100,BRD-K89687904,PKCbeta-inhibitor,trt_cp,-90.70964
ATLAS_SIG_B_TOP100,BRD-U73238814,QL-XI-92,trt_cp,-90.411026
ATLAS_SIG_B_TOP100,BRD-K75478907,GS-39783,trt_cp,-90.20446
ATLAS_SIG_B_TOP100,BRD-K86873305,piperacillin,trt_cp,-90.123634
ATLAS_SIG_B_TOP100,BRD-K22096725,ALW-II-49-7,trt_cp,-90.098976
