priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
505,3,Tier 3 — Partial reversal,3,BRD-K87426499,BRD-K87426499,0.000000,-98.714670,-89.502975,3,2,1,-62.739215,-89.502975,-98.714670,-90.000000,20,False,False,True,True,True,False
506,3,Tier 3 — Partial reversal,3,BRD-A50454580,PD-0325901,0.000000,-92.347720,-88.828580,3,2,1,-60.392100,-88.828580,-92.347720,-90.000000,21,False,False,True,True,True,False
507,3,Tier 3 — Partial reversal,3,BRD-K90885812,propantheline,0.000000,-84.949340,-92.488110,3,2,1,-59.145817,-84.949340,-92.488110,-90.000000,22,False,False,True,False,True,True
508,3,Tier 3 — Partial reversal,3,BRD-K39187410,BRD-K39187410,0.739958,-76.645270,-95.223020,3,2,1,-57.042777,-76.645270,-95.223020,-90.000000,23,False,False,True,False,True,True
509,3,Tier 3 — Partial reversal,3,BRD-K55462201,AM-404,0.000000,-92.548880,-70.693310,3,2,1,-54.414063,-70.693310,-92.548880,-90.000000,24,False,False,True,True,True,False
510,3,Tier 3 — Partial reversal,3,BRD-K86873305,piperacillin,0.000000,-90.123634,-70.280160,3,2,1,-53.467931,-70.280160,-90.123634,-90.000000,25,False,False,True,True,True,False
511,3,Tier 3 — Partial reversal,3,BRD-K88742110,PCI-34051,0.000000,-90.833800,-49.909546,3,2,1,-46.914449,-49.909546,-90.833800,-90.000000,26,False,False,True,True,True,False
512,3,Tier 3 — Partial reversal,3,BRD-A37959677,estrone,0.000000,-91.267944,-45.062786,3,2,1,-45.443577,-45.062786,-91.267944,-90.000000,27,False,False,True,True,True,False
513,3,Tier 3 — Partial reversal,3,BRD-K75478907,GS-39783,1.374207,-90.204460,-31.642422,3,2,1,-40.157558,-31.642422,-90.204460,-90.000000,28,False,False,True,True,True,False
514,3,Tier 3 — Partial reversal,3,BRD-K78373679,Ro-3306,0.000000,-4.016913,-93.164406,3,2,1,-32.393773,-4.016913,-93.164406,-90.000000,29,False,False,True,False,True,True
