priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
1242,4,Tier 4 — Weak/single-signature,1,BRD-K12079898,PD-160170,1.122445,,-3.584734,2,1,0,-1.231144,-1.231144,-3.584734,-90.000000,1242,False,False,False,False,True,False
1243,4,Tier 4 — Weak/single-signature,1,BRD-K79131256,albendazole,,-3.515823,2.874655,2,1,0,-0.320584,-0.320584,-3.515823,-90.000000,1243,False,False,True,False,False,False
1244,4,Tier 4 — Weak/single-signature,1,BRD-K23192422,lestaurtinib,0.000000,0.000000,-75.024490,3,1,0,-25.008163,0.000000,-75.024490,-90.000000,1244,False,False,False,False,True,False
1245,4,Tier 4 — Weak/single-signature,1,BRD-K94325918,kinetin-riboside,0.000000,-73.839066,1.832276,3,1,0,-24.002263,0.000000,-73.839066,-90.000000,1245,False,False,True,False,False,False
1246,4,Tier 4 — Weak/single-signature,1,BRD-K93568044,hydrocortisone,0.000000,0.000000,-68.597790,3,1,0,-22.865930,0.000000,-68.597790,-90.000000,1246,False,False,False,False,True,False
1247,4,Tier 4 — Weak/single-signature,1,BRD-K63784565,10-hydroxycamptothecin,0.000000,0.000000,-60.796387,3,1,0,-20.265462,0.000000,-60.796387,-90.000000,1247,False,False,False,False,True,False
1248,4,Tier 4 — Weak/single-signature,1,BRD-A79803969,memantine,0.000000,0.000000,-54.834747,3,1,0,-18.278249,0.000000,-54.834747,-90.000000,1248,False,False,False,False,True,False
1249,4,Tier 4 — Weak/single-signature,1,BRD-A41250306,cyclopenthiazide,0.000000,-66.633420,11.899538,3,1,0,-18.244627,0.000000,-66.633420,-90.000000,1249,False,False,True,False,False,False
1250,4,Tier 4 — Weak/single-signature,1,BRD-K50387473,XMD-892,0.000000,0.000000,-49.975890,3,1,0,-16.658630,0.000000,-49.975890,-90.000000,1250,False,False,False,False,True,False
1251,4,Tier 4 — Weak/single-signature,1,BRD-K35458079,edaravone,0.000000,7.998590,-56.455300,3,1,0,-16.152237,0.000000,-56.455300,-90.000000,1251,False,False,False,False,True,False
1252,4,Tier 4 — Weak/single-signature,1,BRD-K06335600,tizanidine,0.000000,0.000000,-47.141476,3,1,0,-15.713825,0.000000,-47.141476,-90.000000,1252,False,False,False,False,True,False
1253,4,Tier 4 — Weak/single-signature,1,BRD-A61599461,BRD-A61599461,0.000000,-46.383034,0.000000,3,1,0,-15.461011,0.000000,-46.383034,-90.000000,1253,False,False,True,False,False,False
1254,4,Tier 4 — Weak/single-signature,1,BRD-K35687265,ON-01910,0.000000,-41.826263,0.000000,3,1,0,-13.942088,0.000000,-41.826263,-90.000000,1254,False,False,True,False,False,False
1255,4,Tier 4 — Weak/single-signature,1,BRD-K88701661,dimercaptosuccinic-acid,0.000000,8.776311,-49.015205,3,1,0,-13.412965,0.000000,-49.015205,-90.000000,1255,False,False,False,False,True,False
1256,4,Tier 4 — Weak/single-signature,1,BRD-A52588987,SKF-83566,0.000000,-43.544106,3.875969,3,1,0,-13.222712,0.000000,-43.544106,-90.000000,1256,False,False,True,False,False,False
1257,4,Tier 4 — Weak/single-signature,1,BRD-K32836707,CAY-10577,0.000000,-42.265990,8.085797,3,1,0,-11.393398,0.000000,-42.265990,-90.000000,1257,False,False,True,False,False,False
