priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,fda_application_record_found,fda_label_record_found,clinical_trial_record_found,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,canonical_smiles_pubchem,isomeric_smiles_pubchem,inchikey_pubchem,molecular_formula_pubchem,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions,pubchem_safety_annotation_found,hazard_statement_codes,severe_hazard_codes,high_concern_hazard_text_flag,pubchem_safety_annotation_text_chars,pains_evaluated,pains_flag,pains_filter_matches,safety_risk_score,safety_evidence_layers_n,safety_data_completeness,hard_safety_flag,translational_nonclinical_flag,safety_screening_recommendation,safety_screening_reasons
1,1,Tier 1 — Strong consensus,5,BRD-K99447003,enalaprilat,-2.249479,-94.18632,-95.63698,3,3,2,-64.02426,-94.18632,-95.63698,-90.0,1,True,False,True,True,True,True,5462501,Enalaprilat,C18H24N2O5,348.4,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,"InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1",LZFZMUMEGBBDTC-QEJZJMRPSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,LZFZMUMEGBBDTC-QEJZJMRPSA-N,C18H24N2O5,1000.0,31.0,769.0,20.0,800.0,0.03875,139.0,0.0,100009274.0 | 10242.0 | 11421.0 | 1636.0 | 2101.0 | 22066.0 | 24310.0 | 302668.0,AAC05178 | ADZ17378 | NP_001171528 | NP_005823 | P09470 | P12821 | P12822 | P47820 | Q5EGZ1,True,H302,,False,5170,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
4,1,Tier 1 — Strong consensus,4,BRD-K33483813,actarit,0.0,-98.7315,-94.041336,3,2,2,-64.257612,-94.041336,-98.7315,-90.0,4,False,False,True,True,True,True,2018,Actarit,C10H11NO3,193.2,CC(=O)NC1=CC=C(C=C1)CC(=O)O,CC(=O)NC1=CC=C(C=C1)CC(=O)O,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",MROJXXOCABQVEF-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC(=O)NC1=CC=C(C=C1)CC(=O)O,CC(=O)NC1=CC=C(C=C1)CC(=O)O,MROJXXOCABQVEF-UHFFFAOYSA-N,C10H11NO3,1620.0,4.0,1482.0,32.0,1486.0,0.0026917900403768,152.0,0.0,1812.0 | 3356.0,AAH96839 | NP_000785,True,H315 | H319 | H335,,False,6072,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
5,1,Tier 1 — Strong consensus,4,BRD-K45252063,clofibrate,0.0,-95.06695,-93.31658,3,2,2,-62.79451,-93.31658,-95.06695,-90.0,5,False,False,True,True,True,True,2796,Clofibrate,C12H15ClO3,242.7,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,True,False,True,FDA_APPLICATION_RECORD_FOUND,MODERATE_REGULATORY_EVIDENCE,True,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,KNHUKKLJHYUCFP-UHFFFAOYSA-N,C12H15ClO3,,,,,,,,,,,True,H302 | H315 | H318 | H335,,False,15639,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
6,1,Tier 1 — Strong consensus,4,BRD-K19416115,sitagliptin,0.0,-95.04602,-92.97872,3,2,2,-62.674913,-92.97872,-95.04602,-90.0,6,False,False,True,True,True,True,4369359,Sitagliptin,C16H15F6N5O,407.31,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/t9-/m1/s1",MFFMDFFZMYYVKS-SECBINFHSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,MFFMDFFZMYYVKS-SECBINFHSA-N,C16H15F6N5O,,,,,,,,,,,True,H302 | H318 | H373,,False,25350,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
9,2,Tier 2 — Consistent reversal,4,BRD-K13356952,methazolamide,-19.686787,-95.77167,-85.611694,3,3,1,-67.023384,-85.611694,-95.77167,-90.0,9,True,False,True,True,True,False,4100,Methazolamide,C5H8N4O3S2,236.3,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,"InChI=1S/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)",FLOSMHQXBMRNHR-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-N,C5H8N4O3S2,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
11,2,Tier 2 — Consistent reversal,4,BRD-K09859624,methantheline,-5.637197,-93.90965,-83.34844,3,3,1,-60.965096,-83.34844,-93.90965,-90.0,11,True,False,True,True,True,False,4097,Methantheline,C21H26NO3+,340.4,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,"InChI=1S/C21H26NO3/c1-4-22(3,5-2)14-15-24-21(23)20-16-10-6-8-12-18(16)25-19-13-9-7-11-17(19)20/h6-13,20H,4-5,14-15H2,1-3H3/q+1",GZHFODJQISUKAY-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,GZHFODJQISUKAY-UHFFFAOYSA-N,C21H26NO3+,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
25,2,Tier 2 — Consistent reversal,3,BRD-K94353609,fluocinolone,-77.6904,-79.7097,-63.414906,3,3,0,-73.605002,-77.6904,-79.7097,-90.0,35,True,False,True,False,True,False,91488,Fluocinolone,C21H26F2O6,412.4,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CC(C4=CC(=O)C=CC43C)F)F)O,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O,"InChI=1S/C21H26F2O6/c1-18-4-3-10(25)5-13(18)14(22)6-12-11-7-15(26)21(29,17(28)9-24)19(11,2)8-16(27)20(12,18)23/h3-5,11-12,14-16,24,26-27,29H,6-9H2,1-2H3/t11-,12-,14-,15+,16-,18-,19-,20-,21-/m0/s1",UUOUOERPONYGOS-CLCRDYEYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,True,True,True,FDA_APPLICATION_AND_LABEL_EVIDENCE,HIGH_REGULATORY_EVIDENCE,False,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CC(C4=CC(=O)C=CC43C)F)F)O,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O,UUOUOERPONYGOS-CLCRDYEYSA-N,C21H26F2O6,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,False,,,False,0,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
32,2,Tier 2 — Consistent reversal,3,BRD-K48923948,BMS-641988,-1.585624,-76.76162,-71.08273,3,3,0,-49.809991,-71.08273,-76.76162,-90.0,42,True,False,True,False,True,False,24768935,Bms-641988,C20H20F3N3O5S,471.5,CCS(=O)(=O)NC1CC2(C3C(C1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,CCS(=O)(=O)N[C@@H]1C[C@@]2([C@@H]3[C@H]([C@]1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,"InChI=1S/C20H20F3N3O5S/c1-4-32(29,30)25-13-8-18(2)14-15(19(13,3)31-18)17(28)26(16(14)27)11-6-5-10(9-24)12(7-11)20(21,22)23/h5-7,13-15,25H,4,8H2,1-3H3/t13-,14-,15+,18-,19+/m1/s1",HYNANJUKEMCYEQ-HIGHGGLBSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CCS(=O)(=O)NC1CC2(C3C(C1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,CCS(=O)(=O)N[C@@H]1C[C@@]2([C@@H]3[C@H]([C@]1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,HYNANJUKEMCYEQ-HIGHGGLBSA-N,C20H20F3N3O5S,7.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,367.0,P10275,False,,,False,0,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
33,2,Tier 2 — Consistent reversal,3,BRD-K22009844,phenprobamate,-1.585624,-70.626915,-74.363754,3,3,0,-48.858764,-70.626915,-74.363754,-90.0,43,True,False,True,False,True,False,4770,Phenprobamate,C10H13NO2,179.22,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,"InChI=1S/C10H13NO2/c11-10(12)13-8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H2,11,12)",CAMYKONBWHRPDD-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,CAMYKONBWHRPDD-UHFFFAOYSA-N,C10H13NO2,1038.0,8.0,994.0,13.0,1002.0,0.0079840319361277,87.0,0.0,1544.0 | 5335.0,AAI07878 | AAI36467 | EAW99313,True,,,False,3153,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
37,2,Tier 2 — Consistent reversal,3,BRD-K89046952,ciclacillin,-2.43129,-66.9463,-78.14059,3,3,0,-49.172727,-66.9463,-78.14059,-90.0,47,True,False,True,False,True,False,19003,Cyclacillin,C15H23N3O4S,341.4,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,"InChI=1S/C15H23N3O4S/c1-14(2)9(12(20)21)18-10(19)8(11(18)23-14)17-13(22)15(16)6-4-3-5-7-15/h8-9,11H,3-7,16H2,1-2H3,(H,17,22)(H,20,21)/t8-,9+,11-/m1/s1",HGBLNBBNRORJKI-WCABBAIRSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,HGBLNBBNRORJKI-WCABBAIRSA-N,C15H23N3O4S,401.0,5.0,293.0,12.0,298.0,0.0167785234899328,74.0,0.0,1131.0,2HDS_A | P20309,False,,,False,0,True,False,,0,3,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
