pubchem_cid,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions
6918140,113,12,11,1,23,0.5217391304347826,1,0,1551.0 | 5729.0 | 5731.0 | 5732.0 | 5733.0 | 5734.0 | 5739.0,NP_000756 | NP_000944 | NP_000946 | NP_000947 | NP_000949 | NP_000951 | NP_001119516 | P34995 | P43116 | P43119 | Q13258
91471,2,1,0,0,1,1.0,0,0,,
91488,2,0,0,0,0,,0,0,,
91769,431,32,332,53,364,0.0879120879120879,6,1,1544.0 | 1565.0 | 1576.0 | 2475.0 | 25229.0 | 2593.0 | 27232.0 | 3176.0 | 4837.0 | 5409.0,AAI07878 | B45705 | NP_000097 | NP_000752 | NP_001020332 | NP_004949 | NP_059488 | NP_542951 | NP_652928 | P11086 | P21964 | P40261 | P50135 | Q14353 | Q14749
9782,1806,54,1105,93,1159,0.0465918895599654,154,3,1080.0 | 1544.0 | 1557.0 | 1576.0 | 196.0 | 2908.0 | 3553.0 | 367.0 | 3783750.0 | 5241.0 | 84385.0 | 8484.0 | 8856.0,AAI32976 | AAV41877 | ABB72139 | ABD72211 | ABI96208 | ADP91253 | ADZ17384 | CAD53472 | EAL24281 | EAW99313 | EDM11231 | NP_000483 | NP_000567 | NP_001138884 | NP_001191194 | NP_003605 | P04150 | P10275
9800961,71,0,60,4,60,0.0,0,0,,
9903786,1037,137,119,41,256,0.53515625,64,49,10013.0 | 3106.0 | 3456.0 | 3551.0 | 5610.0 | 6850.0 | 7468.0 | 956584.0 | 956586.0 | 956592.0,3QFV_A | ACA62796 | BAC78637 | BAC78638 | NP_001547 | O14920 | O60674 | O96028 | P01574 | P09992 | P13699 | P19525 | P43405 | Q9UBN7
10219,1476,324,352,199,676,0.4792899408284023,116,51,10413.0 | 10741.0 | 1385.0 | 148.0 | 150.0 | 152.0 | 1588.0 | 19885.0 | 2034.0 | 2099.0 | 2100.0 | 2101.0 | 2475.0 | 24831.0 | 2737.0 | 2859.0 | 2908.0 | 3091.0 | 3106.0 | 3456.0 | 367.0 | 3757.0 | 4087.0 | 4088.0 | 43740568.0 | 4988.0 | 5241.0 | 5243.0 | 5914.0 | 6311.0 | 65975.0 | 6850.0 | 7151.0 | 7157.0 | 7421.0 | 7468.0 | 79915.0 | 814112.0 | 8856.0 | 9971.0,2VM6_A | A0A143MHK7 | AAH14804 | AAH14840 | AAH15051 | AAH50743 | AAI07878 | AAI13617 | AAI32976 | AAV31779 | AAV38316 | AAY56401 | ABB72139 | ABH03417 | ADP91253 | ADZ17337 | ADZ17378 | ADZ17382 | ADZ17384 | AEP43755 | B45705 | BAH02291 | CAC29064 | EAW77416 | NP_001119587 | NP_001123617 | NP_001257783 | NP_004949 | O61059 | O75884 | O96028 | O97467 | P01574 | P08183 | P08913 | P0C6X7 | P11166 | P15823 | P18825 | P35348 | P35372 | P43140 | P43405 | Q12809 | Q16665 | Q99700 | Q99814 | Q9HC97 | XP_001349989
11326715,234,29,93,73,122,0.2377049180327868,59,7,24208.0 | 367.0 | 6850.0 | 7468.0 | 956584.0 | 956586.0,O96028 | P10275 | P13699 | P15207 | P43405
11676786,814,260,174,84,434,0.5990783410138248,527,191,1551.0 | 1559.0 | 1565.0 | 673.0 | 6850.0 | 7468.0 | 7525.0 | 956584.0 | 956586.0,ABI96208 | ACA62796 | ANW61984 | NP_000756 | NP_004324 | NP_005424 | O96028 | P04049 | P07947 | P13699 | P15056 | P43405 | QLI62812
1206243,10,0,10,0,10,0.0,1,0,,
122077,647,41,447,100,488,0.0840163934426229,78,1,116160065.0 | 1551.0 | 1813.0 | 24831.0 | 24889.0 | 2798.0 | 3725.0 | 4780.0 | 5468.0 | 7201.0 | 7398.0 | 7421.0 | 8856.0 | 886.0,AAA29795 | AAH11558 | AAH18745 | AAH21195 | AAI13547 | ADZ17384 | BAH02283 | EAW91923 | EAX06628 | NP_000721 | NP_000756 | NP_001017535 | NP_001257783 | NP_006155 | NP_036820 | P32238
122272,158,23,93,23,116,0.1982758620689655,1,0,1559.0 | 1909.0 | 24326.0 | 7421.0,2O23_A | 2O23_B | AAG24257 | NP_000762 | NP_001017535 | P25101 | P26684
127861,171,14,106,19,120,0.1166666666666666,6,0,1544.0 | 1565.0 | 5739.0 | 7398.0,2O23_A | 2O23_B | 3I06_A | AAH18745 | NP_000097 | NP_000752 | NP_000951 | NP_001020332
128018,316,23,243,49,266,0.0864661654135338,3,0,1544.0 | 1565.0 | 2593.0 | 27232.0 | 3176.0 | 3351.0 | 3352.0 | 4837.0 | 5409.0,B45705 | CAQ07474 | NP_000097 | NP_000752 | NP_000854 | NP_001020332 | P08908 | P11086 | P21964 | P28221 | P28222 | P40261 | P50135 | Q14353 | Q14749
131682,492,176,46,46,222,0.7927927927927928,55,46,25750.0 | 4128.0 | 4129.0 | 6311.0 | 7151.0 | 7157.0 | 956584.0 | 956586.0 | 956592.0,ACA62796 | ASK51714 | NP_000889 | NP_001119587 | P09992 | P13699 | P19643 | P21396 | P21397 | P27338 | Q99700
145659,111,11,39,3,50,0.22,0,0,4221.0 | 4297.0 | 5243.0 | 9212.0,NP_000235 | NP_005924 | P04637 | P08183 | Q00987 | Q96GD4 | Q9UNQ0
16490,1553,33,1388,67,1421,0.0232230823363828,97,1,1080.0 | 1551.0 | 2737.0 | 2908.0 | 367.0 | 5241.0 | 5243.0 | 6850.0 | 7468.0 | 84385.0 | 8856.0,AAI13617 | AAI32976 | ABB72139 | ADP91253 | ADZ17384 | EDM11231 | NP_000483 | NP_000756 | NP_000918 | NP_001019265 | O96028 | P06401 | P10275 | P43405
1775,4962,50,2554,158,2604,0.0192012288786482,444,0,1557.0 | 1559.0 | 1565.0 | 24766.0 | 2737.0 | 3269.0 | 3356.0 | 4780.0 | 6326.0 | 8856.0,AAI13617 | AAV41877 | AAY56401 | ADZ17384 | AGS09764 | ANW61984 | NP_001035233 | NP_006155 | NP_036779 | P11712 | P28223 | P35367 | QLI62812
19003,401,5,293,12,298,0.0167785234899328,74,0,1131.0,2HDS_A | P20309
2018,1620,4,1482,32,1486,0.0026917900403768,152,0,1812.0 | 3356.0,AAH96839 | NP_000785
20469,1858,57,1306,105,1363,0.0418195157740278,112,1,1080.0 | 1551.0 | 1559.0 | 1565.0 | 1576.0 | 2100.0 | 2101.0 | 2908.0 | 3091.0 | 3553.0 | 367.0 | 5241.0 | 59350.0 | 6850.0 | 7468.0 | 811941.0 | 84385.0 | 8856.0,AAD47214 | AAI32976 | AAP88778 | AAV31779 | ABB72139 | ABI96208 | ADP91253 | ADZ17378 | ADZ17384 | AGS09764 | ANW61984 | EDM11231 | NP_000483 | NP_000567 | NP_000756 | NP_001019265 | NP_001138884 | NP_001191194 | O96028 | P04150 | P43405 | Q9HBX9 | QLI62812 | XP_001348533
216239,6834,2716,802,170,3518,0.7720295622512792,1790,938,100526835.0 | 10114.0 | 1018.0 | 1020.0 | 1021.0 | 1022.0 | 1024.0 | 10461.0 | 10733.0 | 109880.0 | 11113.0 | 11183.0 | 11350.0 | 1195.0 | 140.0 | 140469.0 | 14257.0 | 1432.0 | 1436.0 | 1445.0 | 1452.0 | 147746.0 | 1588.0 | 16542.0 | 16818.0 | 18596.0 | 1969.0 | 19885.0 | 2041.0 | 2042.0 | 2043.0 | 2044.0 | 2045.0 | 2046.0 | 2047.0 | 2048.0 | 204851.0 | 2050.0 | 2051.0 | 2053.0 | 2146.0 | 225689.0 | 2260.0 | 2261.0 | 2263.0 | 2268.0 | 23043.0 | 23097.0 | 2321.0 | 2322.0 | 2324.0 | 2444.0 | 24660.0 | 25.0 | 2534.0 | 27.0 | 27148.0 | 27330.0 | 285220.0 | 2862.0 | 2872.0 | 28996.0 | 2932.0 | 3055.0 | 3357.0 | 3358.0 | 3361.0 | 3362.0 | 3363.0 | 3456.0 | 3458.0 | 3643.0 | 3654.0 | 369.0 | 3707576.0 | 3718.0 | 3791.0 | 3815.0 | 3932.0 | 396442.0 | 3984.0 | 3985.0 | 4067.0 | 4128.0 | 4233.0 | 4593.0 | 4914.0 | 4915.0 | 4916.0 | 4921.0 | 50488.0 | 51053.0 | 51086.0 | 51265.0 | 5128.0 | 51347.0 | 5156.0 | 5159.0 | 51701.0 | 51776.0,3GCS_A | 3HEG_A | 4ASD_A | AAA75374 | AAC77369 | AAF17226 | AAH00442 | AAH35782 | AAI07878 | ACA62796 | BAA01847 | BAA35073 | CAA47004 | CAA49505 | CAA52777 | CAI14764 | NP_000213 | NP_000450 | NP_000610 | NP_001008910 | NP_001014796 | NP_001073917 | NP_001087241 | NP_001167538 | NP_001251 | NP_001790 | NP_001945 | NP_002010 | NP_002022 | NP_002244 | NP_002305 | NP_002341 | NP_002600 | NP_002742 | NP_002871 | NP_003812 | NP_004110 | NP_004324 | NP_004422 | NP_004429 | NP_004432 | NP_004435 | NP_004447 | NP_005148 | NP_005149 | NP_005202 | NP_005224 | NP_005347 | NP_005415 | NP_005424 | NP_005583 | NP_006171 | NP_006197 | NP_006566 | NP_032055 | NP_032835 | NP_035411 | NP_036527 | NP_055535 | NP_055891 | NP_056979 | NP_057062 | NP_057315 | NP_058733 | NP_059145 | NP_065387 | NP_065681 | NP_075259 | NP_075593 | NP_112168 | NP_598407 | NP_620581 | NP_620590 | O00444 | O14578 | O14965 | O15146 | O15197 | O15264 | O43193 | O43318 | O43353 | O43781 | O43924 | O94804 | O94921 | O95342 | O95819 | O96028 | P00519 | P00520 | P00523 | P00533 | P01574 | P04049 | P04626 | P04629 | P05622 | P06213 | P06239
221493,1106,12,557,6,569,0.0210896309314587,81,0,151306.0 | 227289.0 | 9971.0,NP_001070659 | Q80SS6 | Q8TDU6 | Q96RI1
23725,505,13,458,5,471,0.0276008492569002,13,2,11168.0 | 2671.0 | 2744.0 | 5888.0 | 811941.0,AAC83551 | AAF25870 | AAH38507 | CAG38796 | NP_005253 | Q7ZJM1 | XP_001348533
24768935,7,4,0,0,4,1.0,0,0,367.0,P10275
4770,1038,8,994,13,1002,0.0079840319361277,87,0,1544.0 | 5335.0,AAI07878 | AAI36467 | EAW99313
50287,732,21,627,26,648,0.0324074074074074,81,0,100729734.0 | 1551.0 | 1565.0 | 1576.0 | 1813.0 | 3274.0,AAH21195 | ABI96208 | ANW61984 | NP_000097 | NP_000756 | NP_001020332 | NP_001124527 | NP_037097 | NP_059488 | P25021 | P47747
5054,1668,37,1399,107,1436,0.0257660167130919,394,0,11238.0 | 1551.0 | 1576.0 | 2101.0 | 443551.0 | 760.0 | 763.0 | 771.0 | 836.0 | 840.0 | 8856.0,3AQT_A | 4E49_A | AAP35329 | ABI96208 | ADZ17378 | ADZ17384 | CAC88866 | NP_000756 | NP_059488 | O43570 | P00918 | P05979 | P35218 | Q2PCB5 | Q9Y2D0
51081,925,19,262,36,281,0.0676156583629893,74,4,1814.0 | 6850.0,AAF95916 | NP_371243 | P35462 | P43405
5277135,545,165,68,97,233,0.7081545064377682,57,30,1489834.0 | 2879.0 | 43740568.0 | 56339.0 | 6850.0 | 7468.0,ACA62796 | AMB37292 | O96028 | P05961 | P36969 | P43405 | P59594 | Q7ZJM1 | Q86U44
5280569,709,66,379,142,445,0.148314606741573,61,17,11201.0 | 115.0 | 1544.0 | 1551.0 | 2237.0 | 246.0 | 28989.0 | 3320.0 | 3326.0 | 4170.0 | 51426.0 | 5423.0 | 5566.0 | 5567.0 | 5568.0 | 814112.0 | 956584.0 | 956586.0 | 956592.0,1DE9_A | 2ISV_A | 2W2I_A | AAC52118 | AAD14062 | ACA62796 | CAA52898 | CAQ07474 | CAQ08732 | NP_000752 | NP_000756 | NP_001273728 | NP_002681 | NP_004102 | NP_005339 | NP_009126 | NP_057302 | O60503 | P00533 | P09992 | P13699 | P17612 | P22612 | P22694 | Q07820 | XP_001349989
5281004,2790,162,1614,209,1776,0.0912162162162162,195,13,10242.0 | 1080.0 | 1557.0 | 1559.0 | 1576.0 | 1831.0 | 196.0 | 19885.0 | 2099.0 | 2100.0 | 2101.0 | 24208.0 | 24413.0 | 24831.0 | 2737.0 | 2908.0 | 3553.0 | 367.0 | 3725.0 | 3778.0 | 3779.0 | 4215.0 | 4306.0 | 4780.0 | 5241.0 | 5243.0 | 5914.0 | 6772.0 | 7098.0 | 7201.0 | 84385.0 | 8856.0,AAH14804 | AAI13617 | AAI32976 | AAK17196 | AAV31779 | AAV41877 | ABB72139 | ABI96208 | ADP91253 | ADZ17337 | ADZ17378 | ADZ17384 | AEP43755 | AGS09764 | B45705 | EAL24281 | EAX06628 | EDM11231 | NP_000483 | NP_000567 | NP_000918 | NP_001019265 | NP_001159576 | NP_001189403 | NP_001191194 | NP_001257783 | NP_002238 | NP_003292 | NP_004128 | NP_005823 | NP_006155 | NP_009330 | NP_035411 | NP_059488 | NP_976226 | O15455 | P04150 | P06401 | P06536 | P08235 | P10275 | P14780 | P15207 | Q690N0 | Q99576 | QLI62812
