Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,33/200,3.757889636396747e-06,0.00012344966946449957,0,0,2.654126150032297,33.15442295090853,ECM1;LRP1;WIPF1;LAMC2;LAMC1;SAT1;FBLN5;LGALS1;CDH2;SPOCK1;TIMP1;MSX1;SLIT2;TGFB1;MAGEE1;CADM1;FUCA1;IGFBP3;WNT5A;PCOLCE;VEGFA;TGFBR3;DAB2;COL4A2;LOX;COL5A1;COL4A1;COL6A2;COL5A2;TGFBI;ITGA5;FERMT2;CRLF1
MSigDB_Hallmark_2020,Androgen Response,21/100,4.937986778579983e-06,0.00012344966946449957,0,0,3.5563400892661154,43.453329313817456,ABCC4;TNFAIP8;STK39;GNAI3;PTPN21;TMPRSS2;ACSL3;IQGAP2;SAT1;ELL2;CDC14B;UBE2J1;ALDH1A3;LMAN1;AZGP1;ANKH;SCD;PGM3;DNAJB9;SGK1;SEC24D
MSigDB_Hallmark_2020,Angiogenesis,11/36,2.306041470095893e-05,0.0003843402450159821,0,0,5.861406025824964,62.58453602035753,APP;VTN;COL5A2;STC1;LPL;S100A4;MSX1;TIMP1;TNFRSF21;SERPINA5;VEGFA
MSigDB_Hallmark_2020,Apical Junction,30/200,6.565878568647443e-05,0.0008207348210809304,0,0,2.364705882352941,22.77457490758509,COL17A1;NLGN3;SRC;SDC3;LAMC2;EGFR;ICAM1;CNN2;SGCE;CDH3;EPB41L2;SIRPA;FLNC;SLIT2;AMH;MYH10;KCNH2;SLC30A3;LAMB3;RHOF;ALOX15B;CDK8;NFASC;CLDN9;ADAM9;TGFBI;NECTIN3;SKAP2;ARHGEF6;ITGA9
MSigDB_Hallmark_2020,KRAS Signaling Up,29/200,0.00015825947382500089,0.0014586483191978,0,0,2.2707398340813274,19.8718679070921,FLT4;RGS16;ITGB2;SEMA3B;CXCR4;TFPI;ANKH;TSPAN7;APOD;EPHB2;EVI5;ACE;GALNT3;MMD;FUCA1;IGFBP3;TMEM176A;IGF2;NR0B2;ETV4;DUSP6;ETV5;MMP11;ALDH1A3;TMEM158;CPE;STRN;TRIB2;ENG
MSigDB_Hallmark_2020,UV Response Dn,23/144,0.00017503779830373931,0.0014586483191978,0,0,2.540945569362883,21.98047154324446,FZD2;FHL2;ATP2B4;PTPN21;PRKCA;SYNJ2;LAMC1;TFPI;FBLN5;ACVR2A;TGFBR3;DAB2;GRK5;DDAH1;PRKAR2B;MAP1B;COL5A2;BHLHE40;KCNMA1;APBB2;PLPP3;MET;ADGRL2
MSigDB_Hallmark_2020,Protein Secretion,17/96,0.0003465280704139456,0.0024752005029567,0,0,2.870645314266953,22.87200069046644,ABCA1;CAV2;CLTC;AP3B1;ARFGAP3;EGFR;NAPG;CLN5;LMAN1;GOLGA4;VAMP7;TSPAN8;YIPF6;TMED2;VAMP4;SEC22B;SEC24D
MSigDB_Hallmark_2020,UV Response Up,22/158,0.0015991657301333,0.0099947858133333,0,0,2.159085109097869,13.90077980390022,KCNH2;LYN;RET;CHRNA5;MAOA;ONECUT1;ASNS;FMO1;FURIN;CTSV;AQP3;HSPA13;ICAM1;SULT1A1;BCL2L11;GAL;LHX2;DLG4;EPCAM;CREG1;MSX1;NUP58
MSigDB_Hallmark_2020,Estrogen Response Late,25/200,0.0036145399620933,0.0180726998104665,0,0,1.906832298136646,10.721718892467123,RET;SCARB1;FOXC1;CLIC3;HSPA4L;SEMA3B;LAMC2;PRSS23;CELSR2;PAPSS2;SERPINA5;PRKAR2B;SFN;DUSP2;ATP2B4;ASS1;TIAM1;GAL;RAB31;ACOX2;CPE;SGK1;S100A9;FGFR3;PTGES
MSigDB_Hallmark_2020,p53 Pathway,25/200,0.0036145399620933,0.0180726998104665,0,0,1.906832298136646,10.721718892467123,APP;SLC35D1;RGS16;HSPA4L;SLC7A11;SAT1;GM2A;KIF13B;CLCA2;SFN;CTSF;IER3;GPX2;TGFB1;APAF1;PLK2;FUCA1;SPHK1;F2R;DNTTIP2;ALOX15B;DEF6;S100A4;ERCC5;ADA
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,24/200,0.00713539218224,0.0324336008283638,0,0,1.818741360015799,8.989471210903407,ABCA1;DUSP4;PTGER4;DUSP2;TNFAIP8;LAMB3;PLK2;SPHK1;IRS2;SAT1;SLC2A6;ETS2;ICAM1;VEGFA;NR4A2;MARCKS;CCRL2;MAFF;BHLHE40;PDE4B;PLPP3;SGK1;ICOSLG;IER3
MSigDB_Hallmark_2020,Hedgehog Signaling,7/36,0.011469574277204,0.0477898928216834,0,0,3.205613931231809,14.322867254476703,NRP2;OPHN1;PTCH1;CRMP1;ETS2;AMOT;VEGFA
MSigDB_Hallmark_2020,Estrogen Response Early,23/200,0.0134981455447741,0.0482076626599075,0,0,1.7317651483561856,7.455600460092716,RET;SCARB1;FOXC1;CLIC3;BCL11B;SEMA3B;FHL2;ADCY1;NAV2;AQP3;PRSS23;CELSR2;PAPSS2;DHRS3;TIAM1;MUC1;RAB31;INPP5F;OLFML3;PODXL;BHLHE40;SFN;PTGES
MSigDB_Hallmark_2020,Glycolysis,23/200,0.0134981455447741,0.0482076626599075,0,0,1.7317651483561856,7.455600460092716,IGFBP3;IDH1;SDC3;GFPT1;B3GAT1;STC1;CXCR4;IRS2;EGFR;VEGFA;HS2ST1;UGP2;COL5A1;CLDN9;ARTN;ME1;GPC4;TGFBI;ME2;SLC16A3;MET;IER3;GNE
MSigDB_Hallmark_2020,TGF-beta Signaling,8/54,0.0337988696950941,0.1126628989836472,0,0,2.3091718278298217,7.821922199926784,RAB31;TGFB1;NOG;XIAP;FURIN;LTBP2;MAP3K7;ENG
MSigDB_Hallmark_2020,Mitotic Spindle,21/199,0.0404740813818877,0.1176509389705949,0,0,1.5699365136065466,5.034933149916578,DOCK4;PLEKHG2;EPB41;ITSN1;ARAP3;RHOF;RASAL2;TIAM1;MARCKS;FGD6;BCL2L11;OPHN1;KIF3B;BIN1;EPB41L2;ALMS1;SASS6;ARHGEF3;RAPGEF5;SOS1;MYH10
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,21/199,0.0404740813818877,0.1176509389705949,0,0,1.5699365136065466,5.034933149916578,ECM1;S100A1;PTCH1;RGS16;SPRY4;FURIN;LCLAT1;ETV4;DHRS3;CKAP4;COCH;TIAM1;SPRED2;MUC1;SNX14;BHLHE40;MAFF;MAP6;SH3BGRL2;ITGA6;TNFRSF21
MSigDB_Hallmark_2020,Inflammatory Response,21/200,0.0423543380294141,0.1176509389705949,0,0,1.5610811509025737,4.935645969277917,LYN;ABCA1;PTGER4;CCL22;CSF3R;SLC31A1;SPHK1;RGS16;PTAFR;GNAI3;NOD2;ACVR2A;ICAM1;CCRL2;PDE4B;ITGB8;BDKRB1;TIMP1;ITGA5;MET;ICOSLG
MSigDB_Hallmark_2020,Coagulation,15/138,0.0607572153664001,0.1524643360910626,0,0,1.620635199157747,4.539187590312804,LRP1;S100A1;TMPRSS6;F12;FURIN;CTSV;PRSS23;DUSP6;MMP11;ACOX2;MAFF;S100A13;ADAM9;TIMP1;RAPGEF3
MSigDB_Hallmark_2020,Hypoxia,20/200,0.0701335946018888,0.1524643360910626,0,0,1.477336542318492,3.925805226769542,SCARB1;IGFBP3;SDC3;STC1;CXCR4;PRKCA;IRS2;EGFR;VEGFA;UGP2;LOX;COL5A1;BHLHE40;MAFF;GCNT2;S100A4;GPC4;TGFBI;B4GALNT2;IER3
MSigDB_Hallmark_2020,Complement,20/200,0.0701335946018888,0.1524643360910626,0,0,1.477336542318492,3.925805226769542,LYN;DOCK4;KLK1;LRP1;TMPRSS6;DOCK9;SRC;GNAI3;CTSV;DUSP6;COL4A2;CTSL;MAFF;S100A13;TIMP2;ME1;ADAM9;TIMP1;S100A9;SH2B3
MSigDB_Hallmark_2020,Xenobiotic Metabolism,20/200,0.0701335946018888,0.1524643360910626,0,0,1.477336542318492,3.925805226769542,ABCC3;MPP2;DDC;SLC35D1;MAOA;IDH1;FMO1;ABHD6;UPB1;PAPSS2;ETS2;VTN;ACOX2;TTPA;HSD17B2;ATOH8;PDK4;GCNT2;HGFAC;PTGES
MSigDB_Hallmark_2020,KRAS Signaling Dn,20/200,0.0701335946018888,0.1524643360910626,0,0,1.477336542318492,3.925805226769542,PNMT;SLC12A3;CALML5;SLC30A3;MAST3;ENTPD7;GP2;KRT5;CELSR2;TENT5C;NR4A2;ZC2HC1C;AKR1B10;NR6A1;KCNMB1;KCNQ2;TFF2;SGK1;SLC38A3;FGFR3
MSigDB_Hallmark_2020,Myogenesis,19/200,0.110916773278913,0.2310766109977356,0,0,1.3946329913180742,3.0667632901394515,KCNH2;APP;TGFB1;SPHK1;IGFBP3;LDB3;FOXO4;NAV2;CNN3;GNAO1;MRAS;KLF5;COL4A2;BIN1;SCD;COL6A2;BHLHE40;APOD;DMD
MSigDB_Hallmark_2020,Notch Signaling,4/32,0.1843512120756006,0.3687024241512012,0,0,1.893239522789844,3.201302525021368,MAML2;WNT5A;DTX1;PRKCA
MSigDB_Hallmark_2020,Pperoxisome,10/104,0.1944106627968946,0.3738666592247974,0,0,1.410889956531686,2.3107309348090173,SMARCC1;ABCD3;SCP2;CADM1;DLG4;ABCC8;IDH1;CEL;ABCD1;DHRS3
