Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,-0.8059974993220748,-3.3876459203809377,0.0,0.0,0.0,61/86,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;EEF1G;RPS20;RPS3;EEF1B2;EEF2;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;EEF1A2;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;EEF1D;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,-0.7989344551353241,-3.315206072642326,0.0,0.0,0.0,57/82,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;EEF2;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,-0.798672066391417,-3.313807749352614,0.0,0.0,0.0,57/84,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;TRMT112;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.7845307369777802,-3.2825163998399707,0.0,0.0,0.0,60/87,11.36%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;EIF4G1;RPS8;RPS23;RPL28
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.771233945404343,-3.2744286171811594,0.0,0.0,0.0,65/94,13.26%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;EIF3F;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;EIF3G;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;RPS8;RPS23;EIF3L;RPL28;EIF3K;RPL36A;RPL21
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,-0.7764064385017653,-3.2408014216384387,0.0,0.0,0.0,56/86,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.7549283956396914,-3.2080644996556114,0.0,0.0,0.0,62/93,11.36%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;TRIB3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;CEBPB;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;RPS8;RPS23;DDIT3;RPL28
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,-0.7590915767040619,-3.2019251590905733,0.0,0.0,0.0,56/86,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Cap-dependent Translation Initiation R-HSA-72737,-0.7245709931157166,-3.200451152040808,0.0,0.0,0.0,69/112,13.26%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;EIF3F;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;EIF3G;EIF2B5;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L;RPL28;EIF2B2;EIF3K;RPL36A;RPL21
prerank,Reactome_2022__L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,-0.7359455016515855,-3.1987372542367627,0.0,0.0,0.0,67/104,13.26%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;EIF3F;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;EIF3G;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L;RPL28;EIF3K;RPL36A;RPL21
prerank,Reactome_2022__GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,-0.7272455750742015,-3.176120255654794,0.0,0.0,0.0,67/105,13.26%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;EIF3F;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;EIF3G;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L;RPL28;EIF3K;RPL36A;RPL21
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,-0.7202219935418329,-3.1455008225273438,0.0,0.0,0.0,62/107,11.36%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;SMG5;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2;EIF4G1;RPS8;EIF4A3;RPS23;RPL28
prerank,Reactome_2022__Selenoamino Acid Metabolism R-HSA-2408522,-0.7004972023767723,-3.0805950404403477,0.0,0.0,0.0,63/107,11.36%,RPL12;MAT1A;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;VSIG2;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;KARS1;RPL9;RPL11;RPLP2;RPS8;RPS23;AIMP2;RPL28
prerank,Reactome_2022__SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,-0.7094356232559389,-3.080214198226769,0.0,0.0,0.0,56/104,8.44%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;RPL11;RPLP2
prerank,Reactome_2022__Cellular Response To Starvation R-HSA-9711097,-0.6538469803123632,-2.99595326718683,0.0,0.0,0.0,74/144,14.16%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;LAMTOR1;RPS15A;RPS28;RPS19;RPS16;RPL18;RPL36;RPS9;RPL10A;RPL3;TRIB3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;CEBPB;RPL23A;RPS4X;RPS6;RPL38;RPL23;RPL18A;RPS15;RPL9;ATP6V0D1;RPL11;RPLP2;WDR59;ATP6V0E2;ATP6V1B1;KPTN;RPS8;RPS23;DDIT3;RPL28;MLST8;LAMTOR4;RPL36A;RPL21;NPRL3;RPS7
prerank,Reactome_2022__rRNA Processing R-HSA-72312,-0.6048845078136447,-2.9082707715463028,0.0,0.0,0.0,103/194,19.63%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;NOB1;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;NOP56;RPL37;RPL19;RPL27;RPL41;TRMT112;RPS15A;RPS28;RPS19;RPS16;RPL18;DDX56;RPL36;RPS9;UTP4;RPL10A;CSNK1D;RPL3;EXOSC5;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;RCL1;NAT10;RPL23A;FBL;RPS4X;RPS6;RPL38;RPL23;SENP3;EXOSC1;BOP1;NOP2;RPL18A;RPS15;WDR18;RPL9;RPL11;RPLP2;EXOSC2;EXOSC4;RPS8;ELAC2;RPS23;RPL28;HSD17B10;PELP1;IMP4;RPL36A;RPL21;SNU13;RPS7;TSR3;MRM3;RPL39L;WDR46;EMG1;NOL6;EXOSC6;DDX49;RPL31;TBL3;NHP2;RPL36AL;RPL22L1;RPP21;MRM1;RPL34;PES1;RRP7A;RPL14
