pathway,Gene name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TGF-beta signaling,SMAD2,1301.5937102001833,0.7556276505978586,0.1437074274851992,5.258097398449936,1.455534284592907e-07,9.365979757773136e-07
TGF-beta signaling,TGFBR1,876.4616859295975,0.9010377895901514,0.1776160951076764,5.072951238140407,3.916928961971893e-07,2.313646346793537e-06
TGF-beta signaling,ACVR2B,172.89740271181412,1.127447072220918,0.2312954104777562,4.874489597057289,1.0909013363805075e-06,5.872333274227115e-06
TGF-beta signaling,ACVR2A,127.80380588323315,1.1526864924537998,0.2601061791013915,4.431599804495506,9.35365004479127e-06,4.141634564730134e-05
TGF-beta signaling,SMAD4,983.1133374976612,0.7117279484867524,0.162803020936304,4.371712173358336,1.232759713423284e-05,5.32782301511804e-05
TGF-beta signaling,TGFB1,107.68191367049792,1.1066470473549912,0.3217775180026148,3.4391683242021847,0.0005835043055029,0.0017045026700174
TGF-beta signaling,SMURF2,332.86410088631857,0.5833336787693492,0.1781100033287096,3.275131479801176,0.001056128075287,0.0029014904795107
TGF-beta signaling,ACVR1,219.5152879912576,0.7392849519353886,0.2277037023552737,3.2466971080774183,0.001167525710196,0.0031695624691681
TGF-beta signaling,SMAD7,96.70796343408216,-0.5964923287359283,0.2542525193525152,-2.346062608366549,0.0189729201640486,0.0374226280587268
TGF-beta signaling,BMPR1A,345.4709966390151,0.3151176205859715,0.1729867542870271,1.821628608992309,0.068511356964852,0.1144999520449024
TGF-beta signaling,BMPR2,583.4122330272397,0.1271855505981042,0.1513402892684092,0.8403945255617601,0.4006872175776031,0.4932965795788658
TGF-beta signaling,TGFBR2,127.37213191818478,-0.186436354699316,0.2334529784238994,-0.7986034530722004,0.4245203847663598,0.517147357826733
TGF-beta signaling,SMAD3,357.66975921680006,-0.0111274549287014,0.1770241980070857,-0.0628583835089936,0.949879274423592,0.962942447156333
TGF-beta signaling,SMURF1,757.1021380671232,-0.0057890561592313,0.1425859306478548,-0.0406004725215745,0.9676144074510592,0.9762684067178748
PD-1/PD-L1 axis,PTPN11,2833.549034694626,0.7852302680529166,0.1638148355028558,4.79340143792549,1.6397703809563613e-06,8.515960626907802e-06
PD-1/PD-L1 axis,PTPN6,727.4160951645855,-0.2931620627797088,0.1587134363183753,-1.8471155913456043,0.0647303892801164,0.1090259576030685
