accession,discovered_in_metadata,local_file_count,local_bytes,local_mb,local_gb,local_human_size
GSE121105,True,1,1185096,1.1301956176757812,0.0011037066578865051,1.13 MB
GSE15043,True,1,3204867,3.056399345397949,0.002984764985740185,3.06 MB
GSE237606,True,1,1769237,1.6872758865356445,0.0016477303579449654,1.69 MB
GSE55005,True,4,3446570,3.286905288696289,0.00320986844599247,3.29 MB
GSE89216,True,1,3594559,3.4280385971069336,0.00334769394248724,3.43 MB
05aa6d12-6d48-4ecb-8211-036e647ef72e,True,0,0,0.0,0.0,0.00 B
0e1999e0-9c02-4804-88b6-60b46d100739,True,0,0,0.0,0.0,0.00 B
16ffdede-3d07-431a-a4ed-318c7a66c096,True,0,0,0.0,0.0,0.00 B
176e739b-87e2-49b7-80e1-c27a6a632576,True,0,0,0.0,0.0,0.00 B
2291d3f5-8269-4f31-adad-4b873c7ac770,True,0,0,0.0,0.0,0.00 B
25294e7a-1f15-411c-a2fd-93097e387db2,True,0,0,0.0,0.0,0.00 B
28aa7b6c-d5ec-4aa1-9c39-70d571efe6fb,True,0,0,0.0,0.0,0.00 B
2c74854f-4afe-48c3-9c81-d64634c14677,True,0,0,0.0,0.0,0.00 B
385ddd6f-c126-4c4f-acde-1ef2d74d3639,True,0,0,0.0,0.0,0.00 B
3e8cff80-ed17-479c-8327-ca8e71ee7482,True,0,0,0.0,0.0,0.00 B
51aab02d-11b1-4ef3-a8f3-8146b6c24aad,True,0,0,0.0,0.0,0.00 B
69f5df3f-273f-4e02-934b-af9c9ec52067,True,0,0,0.0,0.0,0.00 B
6c3f2469-50ea-48a7-bb17-043e74e54535,True,0,0,0.0,0.0,0.00 B
7afb1455-c2b6-4ae2-95ec-682ae7df34a2,True,0,0,0.0,0.0,0.00 B
7ba3b335-cd4c-4b44-a4da-44fa1109a6f0,True,0,0,0.0,0.0,0.00 B
84cff855-d17a-4c09-b432-53893ae69c1e,True,0,0,0.0,0.0,0.00 B
88a16056-cc45-4fee-99e0-f7fc7e1971df,True,0,0,0.0,0.0,0.00 B
91060c43-f1e3-49ea-a3c9-96def417716b,True,0,0,0.0,0.0,0.00 B
9e056a2a-a643-478a-b96c-85d5221f487a,True,0,0,0.0,0.0,0.00 B
GPL570,True,0,0,0.0,0.0,0.00 B
GPL6244,True,0,0,0.0,0.0,0.00 B
GPL96,True,0,0,0.0,0.0,0.00 B
GSE107473,True,0,0,0.0,0.0,0.00 B
GSE114575,True,0,0,0.0,0.0,0.00 B
GSE119397,True,0,0,0.0,0.0,0.00 B
GSE123754,True,0,0,0.0,0.0,0.00 B
GSE123845,True,0,0,0.0,0.0,0.00 B
GSE132055,True,0,0,0.0,0.0,0.00 B
GSE148186,True,0,0,0.0,0.0,0.00 B
GSE161420,True,0,0,0.0,0.0,0.00 B
GSE161422,True,0,0,0.0,0.0,0.00 B
GSE161423,True,0,0,0.0,0.0,0.00 B
GSE161743,True,0,0,0.0,0.0,0.00 B
GSE17630,True,0,0,0.0,0.0,0.00 B
GSE186402,True,0,0,0.0,0.0,0.00 B
GSE188513,True,0,0,0.0,0.0,0.00 B
GSE189160,True,0,0,0.0,0.0,0.00 B
GSE197822,True,0,0,0.0,0.0,0.00 B
GSE213029,True,0,0,0.0,0.0,0.00 B
GSE217624,True,0,0,0.0,0.0,0.00 B
GSE230326,True,0,0,0.0,0.0,0.00 B
GSE230327,True,0,0,0.0,0.0,0.00 B
GSE237605,True,0,0,0.0,0.0,0.00 B
GSE237607,True,0,0,0.0,0.0,0.00 B
GSE244533,True,0,0,0.0,0.0,0.00 B
GSE244535,True,0,0,0.0,0.0,0.00 B
GSE244537,True,0,0,0.0,0.0,0.00 B
GSE245486,True,0,0,0.0,0.0,0.00 B
GSE262860,True,0,0,0.0,0.0,0.00 B
GSE286038,True,0,0,0.0,0.0,0.00 B
GSE297715,True,0,0,0.0,0.0,0.00 B
GSE297774,True,0,0,0.0,0.0,0.00 B
GSE300749,True,0,0,0.0,0.0,0.00 B
GSE327983,True,0,0,0.0,0.0,0.00 B
GSE6746,True,0,0,0.0,0.0,0.00 B
GSE69042,True,0,0,0.0,0.0,0.00 B
GSE83608,True,0,0,0.0,0.0,0.00 B
GSM3840100,True,0,0,0.0,0.0,0.00 B
GSM3840101,True,0,0,0.0,0.0,0.00 B
GSM3840102,True,0,0,0.0,0.0,0.00 B
GSM3840103,True,0,0,0.0,0.0,0.00 B
GSM3840104,True,0,0,0.0,0.0,0.00 B
GSM3840105,True,0,0,0.0,0.0,0.00 B
GSM3840106,True,0,0,0.0,0.0,0.00 B
GSM3840107,True,0,0,0.0,0.0,0.00 B
GSM3840108,True,0,0,0.0,0.0,0.00 B
GSM3840109,True,0,0,0.0,0.0,0.00 B
GSM3840110,True,0,0,0.0,0.0,0.00 B
GSM3840111,True,0,0,0.0,0.0,0.00 B
GSM3840112,True,0,0,0.0,0.0,0.00 B
GSM9067959,True,0,0,0.0,0.0,0.00 B
GSM9067960,True,0,0,0.0,0.0,0.00 B
GSM9067961,True,0,0,0.0,0.0,0.00 B
GSM9067962,True,0,0,0.0,0.0,0.00 B
GSM9067963,True,0,0,0.0,0.0,0.00 B
GSM9067964,True,0,0,0.0,0.0,0.00 B
GSM9067965,True,0,0,0.0,0.0,0.00 B
SRR26401907,True,0,0,0.0,0.0,0.00 B
SRR26401908,True,0,0,0.0,0.0,0.00 B
SRR26401909,True,0,0,0.0,0.0,0.00 B
