gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
ALL,GO:CC,GO:0071944,cell periphery,5.606073196922107e-08,6263,111,0.4805194805194805,0.01772313587737506
ALL,GO:CC,GO:0005886,plasma membrane,2.859026613607352e-07,5906,104,0.45021645021645024,0.01760921097189299
ALL,GO:CC,GO:0016020,membrane,1.2437185451387778e-06,9975,147,0.6363636363636364,0.014736842105263158
ALL,GO:CC,GO:0005576,extracellular region,7.469493592750547e-06,4249,78,0.33766233766233766,0.018357260531889855
ALL,GO:CC,GO:0005615,extracellular space,7.469493592750547e-06,3252,65,0.2813852813852814,0.01998769987699877
ALL,GO:CC,GO:0012505,endomembrane system,7.469493592750547e-06,4949,87,0.37662337662337664,0.017579308951303295
ALL,GO:CC,GO:0030054,cell junction,9.533083663997039e-06,2370,52,0.22510822510822512,0.021940928270042195
ALL,GO:CC,GO:0043005,neuron projection,5.695969236428112e-05,1321,34,0.1471861471861472,0.025738077214231644
ALL,GO:CC,GO:0098588,bounding membrane of organelle,7.133180987478347e-05,2268,48,0.2077922077922078,0.021164021164021163
ALL,GO:CC,GO:0031982,vesicle,0.0001101394538016938,4032,71,0.30735930735930733,0.017609126984126984
ALL,GO:CC,GO:0005737,cytoplasm,0.00013105655830852945,12601,165,0.7142857142857143,0.01309419887310531
ALL,GO:CC,GO:0005794,Golgi apparatus,0.00041464655101182337,1680,37,0.16017316017316016,0.022023809523809525
ALL,GO:CC,GO:0045202,synapse,0.00041464655101182337,1608,36,0.15584415584415584,0.022388059701492536
ALL,GO:CC,GO:0009986,cell surface,0.0008862220623871034,904,24,0.1038961038961039,0.02654867256637168
ALL,GO:CC,GO:0042995,cell projection,0.002276930398180657,2566,47,0.20346320346320346,0.018316445830085737
ALL,GO:CC,GO:0005783,endoplasmic reticulum,0.002276930398180657,2119,41,0.1774891774891775,0.019348749410099102
ALL,GO:CC,GO:1990660,calprotectin complex,0.0026115442219261167,2,2,0.008658008658008658,1.0
ALL,GO:CC,GO:0120025,plasma membrane bounded cell projection,0.0026115442219261167,2449,45,0.19480519480519481,0.01837484687627603
ALL,GO:CC,GO:0070701,mucus layer,0.0026115442219261167,2,2,0.008658008658008658,1.0
ALL,GO:CC,GO:0005788,endoplasmic reticulum lumen,0.0034600532841533617,322,12,0.05194805194805195,0.037267080745341616
ALL,GO:CC,GO:0043230,extracellular organelle,0.003984784033664109,2142,40,0.17316017316017315,0.018674136321195144
ALL,GO:CC,GO:0065010,extracellular membrane-bounded organelle,0.003984784033664109,2142,40,0.17316017316017315,0.018674136321195144
