gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
ALL,GO:MF,GO:0005201,extracellular matrix structural constituent,0.025977549877022405,169,9,0.04,0.05325443786982249
ALL,GO:MF,GO:0005509,calcium ion binding,0.025977549877022405,718,20,0.08888888888888889,0.027855153203342618
ALL,GO:MF,GO:0001223,transcription coactivator binding,0.025977549877022405,45,5,0.022222222222222223,0.1111111111111111
ALL,GO:MF,GO:0005518,collagen binding,0.025977549877022405,72,6,0.02666666666666667,0.08333333333333333
ALL,GO:MF,GO:0050786,RAGE receptor binding,0.025977549877022405,10,3,0.013333333333333334,0.3
ALL,GO:MF,GO:0050839,cell adhesion molecule binding,0.026638740470494023,563,17,0.07555555555555556,0.03019538188277087
ALL,GO:MF,GO:0046983,protein dimerization activity,0.037392962632111226,1122,26,0.11555555555555555,0.023172905525846704
ALL,GO:MF,GO:0042803,protein homodimerization activity,0.04399203888006041,717,19,0.08444444444444445,0.026499302649930265
ALL,GO:MF,GO:0042802,identical protein binding,0.04782278359060928,2179,41,0.18222222222222223,0.018815970628728775
ALL,GO:MF,GO:0098772,molecular function regulator activity,0.04956448495293642,2266,42,0.18666666666666668,0.018534863195057368
UP,GO:MF,GO:0050786,RAGE receptor binding,0.013787745652794359,10,3,0.02459016393442623,0.3
