stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000005178	9606.ENSP00000385523	PDK4	PPARA	9606	0.74	0	0	0	0.049	0	0	0.738
9606.ENSP00000161559	9606.ENSP00000221992	CEACAM1	CEACAM5	9606	0.909	0	0	0.059	0.128	0.188	0	0.88
9606.ENSP00000226218	9606.ENSP00000265132	VTN	AMBP	9606	0.737	0	0	0	0.376	0	0	0.596
9606.ENSP00000226218	9606.ENSP00000233813	VTN	IGFBP5	9606	0.875	0	0	0	0	0.292	0	0.831
9606.ENSP00000226218	9606.ENSP00000252486	VTN	APOE	9606	0.989	0	0	0	0.139	0.045	0	0.988
9606.ENSP00000231004	9606.ENSP00000369530	LOX	ALOX15B	9606	0.826	0	0	0	0	0.091	0	0.817
9606.ENSP00000231004	9606.ENSP00000345008	LOX	FBLN5	9606	0.969	0	0	0	0.163	0.456	0.4	0.9
9606.ENSP00000251102	9606.ENSP00000359245	CNGB1	ABCA4	9606	0.853	0	0	0	0.049	0.306	0	0.795
9606.ENSP00000252486	9606.ENSP00000307046	APOE	SDC2	9606	0.741	0	0	0	0.078	0	0.5	0.483
9606.ENSP00000252486	9606.ENSP00000345179	APOE	APOD	9606	0.936	0	0	0	0.109	0	0	0.932
9606.ENSP00000254066	9606.ENSP00000368632	RARA	GATA3	9606	0.786	0	0	0	0	0.303	0	0.705
9606.ENSP00000254661	9606.ENSP00000262178	RAMP1	VIPR2	9606	0.751	0	0	0	0.047	0.045	0	0.748
9606.ENSP00000257414	9606.ENSP00000376652	SEMA6A	EVL	9606	0.892	0	0	0	0.042	0.292	0	0.854
9606.ENSP00000264036	9606.ENSP00000497290	MCAM	CDH5	9606	0.703	0	0	0	0.203	0.045	0	0.641
9606.ENSP00000266058	9606.ENSP00000331902	SLIT1	COL4A5	9606	0.732	0	0	0	0	0.091	0.7	0.097
9606.ENSP00000278550	9606.ENSP00000360858	TENM4	OLFM1	9606	0.871	0	0	0	0.078	0.188	0	0.842
9606.ENSP00000278927	9606.ENSP00000497290	ESAM	CDH5	9606	0.85	0	0	0	0.24	0	0	0.81
9606.ENSP00000292401	9606.ENSP00000345179	AZGP1	APOD	9606	0.707	0	0	0	0.116	0	0	0.683
9606.ENSP00000297258	9606.ENSP00000385523	FABP5	PPARA	9606	0.708	0	0	0	0.06	0.05	0	0.699
9606.ENSP00000312185	9606.ENSP00000428924	ELMO1	LYN	9606	0.908	0	0	0	0.068	0	0.9	0.093
9606.ENSP00000325120	9606.ENSP00000368632	PGR	GATA3	9606	0.81	0	0	0	0.056	0.057	0.5	0.623
9606.ENSP00000325120	9606.ENSP00000370896	PGR	GREB1	9606	0.83	0	0	0	0.217	0	0	0.792
9606.ENSP00000325146	9606.ENSP00000364000	COL12A1	COL5A2	9606	0.861	0	0	0	0.474	0	0.4	0.597
9606.ENSP00000331902	9606.ENSP00000364000	COL4A5	COL5A2	9606	0.721	0	0	0.114	0.125	0	0.4	0.471
9606.ENSP00000332256	9606.ENSP00000480439	ALDH1A3	DHRS3	9606	0.961	0.042	0	0	0.167	0.069	0.913	0.497
9606.ENSP00000337065	9606.ENSP00000386884	CXCL14	CXCR4	9606	0.984	0	0	0	0.047	0.292	0.65	0.94
9606.ENSP00000337065	9606.ENSP00000472467	CXCL14	CXCL17	9606	0.997	0	0	0	0.042	0.994	0	0.576
9606.ENSP00000338283	9606.ENSP00000385523	NPAS2	PPARA	9606	0.797	0	0	0	0.08	0.183	0.5	0.525
9606.ENSP00000349252	9606.ENSP00000386884	ITGAL	CXCR4	9606	0.811	0	0	0	0.147	0	0	0.788
9606.ENSP00000351155	9606.ENSP00000392197	ATL1	REEP1	9606	0.983	0	0	0	0.074	0.087	0	0.981
9606.ENSP00000355260	9606.ENSP00000398342	PPP1R14C	PPP1R14D	9606	0.924	0	0	0	0	0	0	0.924
9606.ENSP00000357704	9606.ENSP00000379097	S100A4	AREG	9606	0.822	0	0	0	0.096	0.6	0	0.549
9606.ENSP00000357721	9606.ENSP00000357727	S100A8	S100A9	9606	0.999	0	0	0.125	0.999	0.977	0.9	0.988
9606.ENSP00000361471	9606.ENSP00000403768	ASS1	AASS	9606	0.733	0	0	0	0.133	0	0	0.704
9606.ENSP00000361471	9606.ENSP00000400057	ASS1	ASRGL1	9606	0.906	0	0	0	0	0	0.9	0.107
9606.ENSP00000364150	9606.ENSP00000485659	GALNT12	MUC5AC	9606	0.785	0	0	0	0	0.292	0.4	0.535
9606.ENSP00000369530	9606.ENSP00000374265	ALOX15B	GPX2	9606	0.915	0	0	0	0	0.045	0.9	0.182
9606.ENSP00000374265	9606.ENSP00000381185	GPX2	BCL2	9606	0.73	0	0	0	0	0	0	0.73
9606.ENSP00000377840	9606.ENSP00000379098	CACNB1	CAMK2B	9606	0.744	0	0	0	0.147	0	0.65	0.211
9606.ENSP00000381185	9606.ENSP00000386135	BCL2	DAPK1	9606	0.726	0	0	0	0	0	0	0.726
9606.ENSP00000381185	9606.ENSP00000386884	BCL2	CXCR4	9606	0.759	0	0	0	0.083	0	0	0.748
9606.ENSP00000386884	9606.ENSP00000398629	CXCR4	GNG4	9606	0.919	0	0	0	0	0.12	0.9	0.157
9606.ENSP00000386884	9606.ENSP00000495951	CXCR4	KITLG	9606	0.96	0	0	0	0	0	0	0.96
