preferredName_A,degree
CXCR4,5
BCL2,3
APOE,3
PPARA,3
VTN,3
ASS1,2
APOD,2
CXCL14,2
COL5A2,2
COL4A5,2
LOX,2
GPX2,2
GATA3,2
CDH5,2
ALOX15B,2
PGR,2
CACNB1,1
CAMK2B,1
ATL1,1
AREG,1
CNGB1,1
CEACAM1,1
CEACAM5,1
COL12A1,1
CXCL17,1
AZGP1,1
ASRGL1,1
AMBP,1
AASS,1
ALDH1A3,1
ABCA4,1
FABP5,1
EVL,1
ESAM,1
ELMO1,1
DHRS3,1
DAPK1,1
GNG4,1
GALNT12,1
ITGAL,1
KITLG,1
LYN,1
MCAM,1
MUC5AC,1
GREB1,1
IGFBP5,1
FBLN5,1
PDK4,1
OLFM1,1
NPAS2,1
PPP1R14C,1
RAMP1,1
RARA,1
REEP1,1
PPP1R14D,1
S100A4,1
S100A8,1
SDC2,1
S100A9,1
SEMA6A,1
SLIT1,1
TENM4,1
VIPR2,1
